sentid	comparison	pairid	contextid	lemma	condition	sentence	ROI
1	expected	1	1	like	obj_rel_no_comp_within	the movie the guards like is good	4
2	unexpected	1	1	like	obj_rel_no_comp_within	the movie the guards likes is good	4
3	expected	2	2	like	obj_rel_no_comp_within	the movie the guards like is bad	4
4	unexpected	2	2	like	obj_rel_no_comp_within	the movie the guards likes is bad	4
5	expected	3	3	like	obj_rel_no_comp_within	the movie the guards like is new	4
6	unexpected	3	3	like	obj_rel_no_comp_within	the movie the guards likes is new	4
7	expected	4	4	like	obj_rel_no_comp_within	the movie the guards like is popular	4
8	unexpected	4	4	like	obj_rel_no_comp_within	the movie the guards likes is popular	4
9	expected	5	5	like	obj_rel_no_comp_within	the movie the guards like is unpopular	4
10	unexpected	5	5	like	obj_rel_no_comp_within	the movie the guards likes is unpopular	4
11	expected	6	6	like	obj_rel_no_comp_within	the movie the guards like brings joy to people	4
12	unexpected	6	6	like	obj_rel_no_comp_within	the movie the guards likes brings joy to people	4
13	expected	7	7	like	obj_rel_no_comp_within	the movie the guards like interests people	4
14	unexpected	7	7	like	obj_rel_no_comp_within	the movie the guards likes interests people	4
15	expected	8	8	admire	obj_rel_no_comp_within	the movie the guards admire is good	4
16	unexpected	8	8	admire	obj_rel_no_comp_within	the movie the guards admires is good	4
17	expected	9	9	admire	obj_rel_no_comp_within	the movie the guards admire is bad	4
18	unexpected	9	9	admire	obj_rel_no_comp_within	the movie the guards admires is bad	4
19	expected	10	10	admire	obj_rel_no_comp_within	the movie the guards admire is new	4
20	unexpected	10	10	admire	obj_rel_no_comp_within	the movie the guards admires is new	4
21	expected	11	11	admire	obj_rel_no_comp_within	the movie the guards admire is popular	4
22	unexpected	11	11	admire	obj_rel_no_comp_within	the movie the guards admires is popular	4
23	expected	12	12	admire	obj_rel_no_comp_within	the movie the guards admire is unpopular	4
24	unexpected	12	12	admire	obj_rel_no_comp_within	the movie the guards admires is unpopular	4
25	expected	13	13	admire	obj_rel_no_comp_within	the movie the guards admire brings joy to people	4
26	unexpected	13	13	admire	obj_rel_no_comp_within	the movie the guards admires brings joy to people	4
27	expected	14	14	admire	obj_rel_no_comp_within	the movie the guards admire interests people	4
28	unexpected	14	14	admire	obj_rel_no_comp_within	the movie the guards admires interests people	4
29	expected	15	15	hate	obj_rel_no_comp_within	the movie the guards hate is good	4
30	unexpected	15	15	hate	obj_rel_no_comp_within	the movie the guards hates is good	4
31	expected	16	16	hate	obj_rel_no_comp_within	the movie the guards hate is bad	4
32	unexpected	16	16	hate	obj_rel_no_comp_within	the movie the guards hates is bad	4
33	expected	17	17	hate	obj_rel_no_comp_within	the movie the guards hate is new	4
34	unexpected	17	17	hate	obj_rel_no_comp_within	the movie the guards hates is new	4
35	expected	18	18	hate	obj_rel_no_comp_within	the movie the guards hate is popular	4
36	unexpected	18	18	hate	obj_rel_no_comp_within	the movie the guards hates is popular	4
37	expected	19	19	hate	obj_rel_no_comp_within	the movie the guards hate is unpopular	4
38	unexpected	19	19	hate	obj_rel_no_comp_within	the movie the guards hates is unpopular	4
39	expected	20	20	hate	obj_rel_no_comp_within	the movie the guards hate brings joy to people	4
40	unexpected	20	20	hate	obj_rel_no_comp_within	the movie the guards hates brings joy to people	4
41	expected	21	21	hate	obj_rel_no_comp_within	the movie the guards hate interests people	4
42	unexpected	21	21	hate	obj_rel_no_comp_within	the movie the guards hates interests people	4
43	expected	22	22	love	obj_rel_no_comp_within	the movie the guards love is good	4
