sentid	comparison	pairid	contextid	lemma	condition	sentence	ROI
1	expected	1	1	schwimmen	obj_rel_across	die Schriftsteller , die die Wächter mögen , schwimmen	8
2	unexpected	1	1	schwimmen	obj_rel_across	die Schriftsteller , die die Wächter mögen , schwimmt	8
3	expected	2	2	lachen	obj_rel_across	die Schriftsteller , die die Wächter mögen , lachen	8
4	unexpected	2	2	lachen	obj_rel_across	die Schriftsteller , die die Wächter mögen , lacht	8
5	expected	3	3	sprechen	obj_rel_across	die Schriftsteller , die die Wächter mögen , sprechen	8
6	unexpected	3	3	sprechen	obj_rel_across	die Schriftsteller , die die Wächter mögen , spricht	8
7	expected	4	4	sind	obj_rel_across	die Schriftsteller , die die Wächter mögen , sind alt	8
8	unexpected	4	4	sind	obj_rel_across	die Schriftsteller , die die Wächter mögen , ist alt	8
9	expected	5	5	sind	obj_rel_across	die Schriftsteller , die die Wächter mögen , sind klein	8
10	unexpected	5	5	sind	obj_rel_across	die Schriftsteller , die die Wächter mögen , ist klein	8
11	expected	6	6	sind	obj_rel_across	die Schriftsteller , die die Wächter mögen , sind jung	8
12	unexpected	6	6	sind	obj_rel_across	die Schriftsteller , die die Wächter mögen , ist jung	8
13	expected	7	7	sind	obj_rel_across	die Schriftsteller , die die Wächter mögen , sind groß	8
14	unexpected	7	7	sind	obj_rel_across	die Schriftsteller , die die Wächter mögen , ist groß	8
15	expected	8	8	schwimmen	obj_rel_across	die Direktoren , die die Wächter mögen , schwimmen	8
16	unexpected	8	8	schwimmen	obj_rel_across	die Direktoren , die die Wächter mögen , schwimmt	8
17	expected	9	9	lachen	obj_rel_across	die Direktoren , die die Wächter mögen , lachen	8
18	unexpected	9	9	lachen	obj_rel_across	die Direktoren , die die Wächter mögen , lacht	8
19	expected	10	10	sprechen	obj_rel_across	die Direktoren , die die Wächter mögen , sprechen	8
20	unexpected	10	10	sprechen	obj_rel_across	die Direktoren , die die Wächter mögen , spricht	8
21	expected	11	11	sind	obj_rel_across	die Direktoren , die die Wächter mögen , sind alt	8
22	unexpected	11	11	sind	obj_rel_across	die Direktoren , die die Wächter mögen , ist alt	8
23	expected	12	12	sind	obj_rel_across	die Direktoren , die die Wächter mögen , sind klein	8
24	unexpected	12	12	sind	obj_rel_across	die Direktoren , die die Wächter mögen , ist klein	8
25	expected	13	13	sind	obj_rel_across	die Direktoren , die die Wächter mögen , sind jung	8
26	unexpected	13	13	sind	obj_rel_across	die Direktoren , die die Wächter mögen , ist jung	8
27	expected	14	14	sind	obj_rel_across	die Direktoren , die die Wächter mögen , sind groß	8
28	unexpected	14	14	sind	obj_rel_across	die Direktoren , die die Wächter mögen , ist groß	8
29	expected	15	15	schwimmen	obj_rel_across	die Bauern , die die Wächter mögen , schwimmen	8
30	unexpected	15	15	schwimmen	obj_rel_across	die Bauern , die die Wächter mögen , schwimmt	8
31	expected	16	16	lachen	obj_rel_across	die Bauern , die die Wächter mögen , lachen	8
32	unexpected	16	16	lachen	obj_rel_across	die Bauern , die die Wächter mögen , lacht	8
33	expected	17	17	sprechen	obj_rel_across	die Bauern , die die Wächter mögen , sprechen	8
34	unexpected	17	17	sprechen	obj_rel_across	die Bauern , die die Wächter mögen , spricht	8
35	expected	18	18	sind	obj_rel_across	die Bauern , die die Wächter mögen , sind alt	8
36	unexpected	18	18	sind	obj_rel_across	die Bauern , die die Wächter mögen , ist alt	8
37	expected	19	19	sind	obj_rel_across	die Bauern , die die Wächter mögen , sind klein	8
38	unexpected	19	19	sind	obj_rel_across	die Bauern , die die Wächter mögen , ist klein	8
39	expected	20	20	sind	obj_rel_across	die Bauern , die die Wächter mögen , sind jung	8
40	unexpected	20	20	sind	obj_rel_across	die Bauern , die die Wächter mögen , ist jung	8
41	expected	21	21	sind	obj_rel_across	die Bauern , die die Wächter mögen , sind groß	8
42	unexpected	21	21	sind	obj_rel_across	die Bauern , die die Wächter mögen , ist groß	8
