	model	pairid	lemma	condition	comparison	surpsum	surpmean
0	bert-base-cased	1	likes	obj_rel_within	expected	12.06544303894043	12.06544303894043
1	bert-base-cased	1	likes	obj_rel_within	unexpected	10.608723640441896	10.608723640441896
2	bert-base-cased	2	likes	obj_rel_within	expected	15.46878433227539	15.46878433227539
3	bert-base-cased	2	likes	obj_rel_within	unexpected	13.995503425598145	13.995503425598145
4	bert-base-cased	3	likes	obj_rel_within	expected	9.90073013305664	9.90073013305664
5	bert-base-cased	3	likes	obj_rel_within	unexpected	9.945415496826172	9.945415496826172
6	bert-base-cased	4	likes	obj_rel_within	expected	15.754982948303224	15.754982948303224
7	bert-base-cased	4	likes	obj_rel_within	unexpected	15.818739891052246	15.818739891052246
8	bert-base-cased	5	likes	obj_rel_within	expected	13.862712860107422	13.862712860107422
9	bert-base-cased	5	likes	obj_rel_within	unexpected	11.587169647216797	11.587169647216797
10	bert-base-cased	6	likes	obj_rel_within	expected	12.561874389648438	12.561874389648438
11	bert-base-cased	6	likes	obj_rel_within	unexpected	11.546992301940918	11.546992301940918
12	bert-base-cased	7	likes	obj_rel_within	expected	12.54807949066162	12.54807949066162
13	bert-base-cased	7	likes	obj_rel_within	unexpected	12.181754112243652	12.181754112243652
14	bert-base-cased	8	admires	obj_rel_within	expected	9.327631950378418	9.327631950378418
15	bert-base-cased	8	admires	obj_rel_within	unexpected	17.239023208618164	17.239023208618164
16	bert-base-cased	9	admires	obj_rel_within	expected	9.21850848197937	9.21850848197937
17	bert-base-cased	9	admires	obj_rel_within	unexpected	19.43973922729492	19.43973922729492
18	bert-base-cased	10	admires	obj_rel_within	expected	8.924691081047058	8.924691081047058
19	bert-base-cased	10	admires	obj_rel_within	unexpected	15.908502578735352	15.908502578735352
20	bert-base-cased	11	admires	obj_rel_within	expected	8.802814587950706	8.802814587950706
21	bert-base-cased	11	admires	obj_rel_within	unexpected	22.975509643554688	22.975509643554688
22	bert-base-cased	12	admires	obj_rel_within	expected	8.25493516586721	8.25493516586721
23	bert-base-cased	12	admires	obj_rel_within	unexpected	16.563549041748047	16.563549041748047
24	bert-base-cased	13	admires	obj_rel_within	expected	8.357499732635915	8.357499732635915
25	bert-base-cased	13	admires	obj_rel_within	unexpected	18.165573120117188	18.165573120117188
26	bert-base-cased	14	admires	obj_rel_within	expected	7.874842133373021	7.874842133373021
27	bert-base-cased	14	admires	obj_rel_within	unexpected	17.792709350585938	17.792709350585938
28	bert-base-cased	15	hates	obj_rel_within	expected	9.46224880218506	9.46224880218506
29	bert-base-cased	15	hates	obj_rel_within	unexpected	13.096120834350586	13.096120834350586
30	bert-base-cased	16	hates	obj_rel_within	expected	14.39107608795166	14.39107608795166
31	bert-base-cased	16	hates	obj_rel_within	unexpected	17.350465774536133	17.350465774536133
32	bert-base-cased	17	hates	obj_rel_within	expected	9.750532150268556	9.750532150268556
33	bert-base-cased	17	hates	obj_rel_within	unexpected	13.099687576293944	13.099687576293944
34	bert-base-cased	18	hates	obj_rel_within	expected	16.991464614868164	16.991464614868164
35	bert-base-cased	18	hates	obj_rel_within	unexpected	20.297521591186523	20.297521591186523
36	bert-base-cased	19	hates	obj_rel_within	expected	14.008289337158203	14.008289337158203
37	bert-base-cased	19	hates	obj_rel_within	unexpected	15.095401763916016	15.095401763916016
