sentid	comparison	pairid	contextid	lemma	condition	sentence	ROI
1	expected	1	1	spricht	long_vp_coord	der Schriftsteller spricht viele verschiedene Sprachen und spricht viele verschiedene Sprachen	7
2	unexpected	1	1	spricht	long_vp_coord	der Schriftsteller spricht viele verschiedene Sprachen und sprechen viele verschiedene Sprachen	7
3	expected	2	2	sieht	long_vp_coord	der Schriftsteller spricht viele verschiedene Sprachen und sieht gern Fernsehprogramme	7
4	unexpected	2	2	sieht	long_vp_coord	der Schriftsteller spricht viele verschiedene Sprachen und sehen gern Fernsehprogramme	7
5	expected	3	3	ist	long_vp_coord	der Schriftsteller spricht viele verschiedene Sprachen und ist zwanzig Jahre alt	7
6	unexpected	3	3	ist	long_vp_coord	der Schriftsteller spricht viele verschiedene Sprachen und sind zwanzig Jahre alt	7
7	expected	4	4	mag	long_vp_coord	der Schriftsteller spricht viele verschiedene Sprachen und mag lieber Tennis mit seinen Kollegen spielen	7
8	unexpected	4	4	mag	long_vp_coord	der Schriftsteller spricht viele verschiedene Sprachen und mögen lieber Tennis mit seinen Kollegen spielen	7
9	expected	5	5	schreibt	long_vp_coord	der Schriftsteller spricht viele verschiedene Sprachen und schreibt jeden Tag in seinem Journal	7
10	unexpected	5	5	schreibt	long_vp_coord	der Schriftsteller spricht viele verschiedene Sprachen und schreiben jeden Tag in seinem Journal	7
11	expected	6	6	spricht	long_vp_coord	der Direktor spricht viele verschiedene Sprachen und spricht viele verschiedene Sprachen	7
12	unexpected	6	6	spricht	long_vp_coord	der Direktor spricht viele verschiedene Sprachen und sprechen viele verschiedene Sprachen	7
13	expected	7	7	sieht	long_vp_coord	der Direktor spricht viele verschiedene Sprachen und sieht gern Fernsehprogramme	7
14	unexpected	7	7	sieht	long_vp_coord	der Direktor spricht viele verschiedene Sprachen und sehen gern Fernsehprogramme	7
15	expected	8	8	ist	long_vp_coord	der Direktor spricht viele verschiedene Sprachen und ist zwanzig Jahre alt	7
16	unexpected	8	8	ist	long_vp_coord	der Direktor spricht viele verschiedene Sprachen und sind zwanzig Jahre alt	7
17	expected	9	9	mag	long_vp_coord	der Direktor spricht viele verschiedene Sprachen und mag lieber Tennis mit seinen Kollegen spielen	7
18	unexpected	9	9	mag	long_vp_coord	der Direktor spricht viele verschiedene Sprachen und mögen lieber Tennis mit seinen Kollegen spielen	7
19	expected	10	10	schreibt	long_vp_coord	der Direktor spricht viele verschiedene Sprachen und schreibt jeden Tag in seinem Journal	7
20	unexpected	10	10	schreibt	long_vp_coord	der Direktor spricht viele verschiedene Sprachen und schreiben jeden Tag in seinem Journal	7
21	expected	11	11	spricht	long_vp_coord	der Bauer spricht viele verschiedene Sprachen und spricht viele verschiedene Sprachen	7
22	unexpected	11	11	spricht	long_vp_coord	der Bauer spricht viele verschiedene Sprachen und sprechen viele verschiedene Sprachen	7
23	expected	12	12	sieht	long_vp_coord	der Bauer spricht viele verschiedene Sprachen und sieht gern Fernsehprogramme	7
24	unexpected	12	12	sieht	long_vp_coord	der Bauer spricht viele verschiedene Sprachen und sehen gern Fernsehprogramme	7
25	expected	13	13	ist	long_vp_coord	der Bauer spricht viele verschiedene Sprachen und ist zwanzig Jahre alt	7
26	unexpected	13	13	ist	long_vp_coord	der Bauer spricht viele verschiedene Sprachen und sind zwanzig Jahre alt	7
27	expected	14	14	mag	long_vp_coord	der Bauer spricht viele verschiedene Sprachen und mag lieber Tennis mit seinen Kollegen spielen	7
28	unexpected	14	14	mag	long_vp_coord	der Bauer spricht viele verschiedene Sprachen und mögen lieber Tennis mit seinen Kollegen spielen	7
29	expected	15	15	schreibt	long_vp_coord	der Bauer spricht viele verschiedene Sprachen und schreibt jeden Tag in seinem Journal	7
30	unexpected	15	15	schreibt	long_vp_coord	der Bauer spricht viele verschiedene Sprachen und schreiben jeden Tag in seinem Journal	7
31	expected	16	16	spricht	long_vp_coord	der Chirurg spricht viele verschiedene Sprachen und spricht viele verschiedene Sprachen	7
32	unexpected	16	16	spricht	long_vp_coord	der Chirurg spricht viele verschiedene Sprachen und sprechen viele verschiedene Sprachen	7
33	expected	17	17	sieht	long_vp_coord	der Chirurg spricht viele verschiedene Sprachen und sieht gern Fernsehprogramme	7
34	unexpected	17	17	sieht	long_vp_coord	der Chirurg spricht viele verschiedene Sprachen und sehen gern Fernsehprogramme	7
35	expected	18	18	ist	long_vp_coord	der Chirurg spricht viele verschiedene Sprachen und ist zwanzig Jahre alt	7
36	unexpected	18	18	ist	long_vp_coord	der Chirurg spricht viele verschiedene Sprachen und sind zwanzig Jahre alt	7
37	expected	19	19	mag	long_vp_coord	der Chirurg spricht viele verschiedene Sprachen und mag lieber Tennis mit seinen Kollegen spielen	7
38	unexpected	19	19	mag	long_vp_coord	der Chirurg spricht viele verschiedene Sprachen und mögen lieber Tennis mit seinen Kollegen spielen	7
39	expected	20	20	schreibt	long_vp_coord	der Chirurg spricht viele verschiedene Sprachen und schreibt jeden Tag in seinem Journal	7
40	unexpected	20	20	schreibt	long_vp_coord	der Chirurg spricht viele verschiedene Sprachen und schreiben jeden Tag in seinem Journal	7
41	expected	21	21	spricht	long_vp_coord	der Senator spricht viele verschiedene Sprachen und spricht viele verschiedene Sprachen	7
42	unexpected	21	21	spricht	long_vp_coord	der Senator spricht viele verschiedene Sprachen und sprechen viele verschiedene Sprachen	7
43	expected	22	22	sieht	long_vp_coord	der Senator spricht viele verschiedene Sprachen und sieht gern Fernsehprogramme	7
44	unexpected	22	22	sieht	long_vp_coord	der Senator spricht viele verschiedene Sprachen und sehen gern Fernsehprogramme	7
45	expected	23	23	ist	long_vp_coord	der Senator spricht viele verschiedene Sprachen und ist zwanzig Jahre alt	7
46	unexpected	23	23	ist	long_vp_coord	der Senator spricht viele verschiedene Sprachen und sind zwanzig Jahre alt	7
47	expected	24	24	mag	long_vp_coord	der Senator spricht viele verschiedene Sprachen und mag lieber Tennis mit seinen Kollegen spielen	7
48	unexpected	24	24	mag	long_vp_coord	der Senator spricht viele verschiedene Sprachen und mögen lieber Tennis mit seinen Kollegen spielen	7
49	expected	25	25	schreibt	long_vp_coord	der Senator spricht viele verschiedene Sprachen und schreibt jeden Tag in seinem Journal	7
50	unexpected	25	25	schreibt	long_vp_coord	der Senator spricht viele verschiedene Sprachen und schreiben jeden Tag in seinem Journal	7
51	expected	26	26	spricht	long_vp_coord	der Lehrer spricht viele verschiedene Sprachen und spricht viele verschiedene Sprachen	7
52	unexpected	26	26	spricht	long_vp_coord	der Lehrer spricht viele verschiedene Sprachen und sprechen viele verschiedene Sprachen	7
53	expected	27	27	sieht	long_vp_coord	der Lehrer spricht viele verschiedene Sprachen und sieht gern Fernsehprogramme	7
54	unexpected	27	27	sieht	long_vp_coord	der Lehrer spricht viele verschiedene Sprachen und sehen gern Fernsehprogramme	7
55	expected	28	28	ist	long_vp_coord	der Lehrer spricht viele verschiedene Sprachen und ist zwanzig Jahre alt	7
56	unexpected	28	28	ist	long_vp_coord	der Lehrer spricht viele verschiedene Sprachen und sind zwanzig Jahre alt	7
57	expected	29	29	mag	long_vp_coord	der Lehrer spricht viele verschiedene Sprachen und mag lieber Tennis mit seinen Kollegen spielen	7
58	unexpected	29	29	mag	long_vp_coord	der Lehrer spricht viele verschiedene Sprachen und mögen lieber Tennis mit seinen Kollegen spielen	7
59	expected	30	30	schreibt	long_vp_coord	der Lehrer spricht viele verschiedene Sprachen und schreibt jeden Tag in seinem Journal	7
60	unexpected	30	30	schreibt	long_vp_coord	der Lehrer spricht viele verschiedene Sprachen und schreiben jeden Tag in seinem Journal	7
61	expected	31	31	spricht	long_vp_coord	der Kunde spricht viele verschiedene Sprachen und spricht viele verschiedene Sprachen	7
62	unexpected	31	31	spricht	long_vp_coord	der Kunde spricht viele verschiedene Sprachen und sprechen viele verschiedene Sprachen	7
63	expected	32	32	sieht	long_vp_coord	der Kunde spricht viele verschiedene Sprachen und sieht gern Fernsehprogramme	7
64	unexpected	32	32	sieht	long_vp_coord	der Kunde spricht viele verschiedene Sprachen und sehen gern Fernsehprogramme	7
65	expected	33	33	ist	long_vp_coord	der Kunde spricht viele verschiedene Sprachen und ist zwanzig Jahre alt	7
66	unexpected	33	33	ist	long_vp_coord	der Kunde spricht viele verschiedene Sprachen und sind zwanzig Jahre alt	7
67	expected	34	34	mag	long_vp_coord	der Kunde spricht viele verschiedene Sprachen und mag lieber Tennis mit seinen Kollegen spielen	7
68	unexpected	34	34	mag	long_vp_coord	der Kunde spricht viele verschiedene Sprachen und mögen lieber Tennis mit seinen Kollegen spielen	7
69	expected	35	35	schreibt	long_vp_coord	der Kunde spricht viele verschiedene Sprachen und schreibt jeden Tag in seinem Journal	7
70	unexpected	35	35	schreibt	long_vp_coord	der Kunde spricht viele verschiedene Sprachen und schreiben jeden Tag in seinem Journal	7
71	expected	36	36	spricht	long_vp_coord	der Polizist spricht viele verschiedene Sprachen und spricht viele verschiedene Sprachen	7
72	unexpected	36	36	spricht	long_vp_coord	der Polizist spricht viele verschiedene Sprachen und sprechen viele verschiedene Sprachen	7
73	expected	37	37	sieht	long_vp_coord	der Polizist spricht viele verschiedene Sprachen und sieht gern Fernsehprogramme	7
74	unexpected	37	37	sieht	long_vp_coord	der Polizist spricht viele verschiedene Sprachen und sehen gern Fernsehprogramme	7
75	expected	38	38	ist	long_vp_coord	der Polizist spricht viele verschiedene Sprachen und ist zwanzig Jahre alt	7
76	unexpected	38	38	ist	long_vp_coord	der Polizist spricht viele verschiedene Sprachen und sind zwanzig Jahre alt	7
77	expected	39	39	mag	long_vp_coord	der Polizist spricht viele verschiedene Sprachen und mag lieber Tennis mit seinen Kollegen spielen	7
78	unexpected	39	39	mag	long_vp_coord	der Polizist spricht viele verschiedene Sprachen und mögen lieber Tennis mit seinen Kollegen spielen	7
79	expected	40	40	schreibt	long_vp_coord	der Polizist spricht viele verschiedene Sprachen und schreibt jeden Tag in seinem Journal	7
80	unexpected	40	40	schreibt	long_vp_coord	der Polizist spricht viele verschiedene Sprachen und schreiben jeden Tag in seinem Journal	7
81	expected	41	41	spricht	long_vp_coord	der Pilot spricht viele verschiedene Sprachen und spricht viele verschiedene Sprachen	7
82	unexpected	41	41	spricht	long_vp_coord	der Pilot spricht viele verschiedene Sprachen und sprechen viele verschiedene Sprachen	7
83	expected	42	42	sieht	long_vp_coord	der Pilot spricht viele verschiedene Sprachen und sieht gern Fernsehprogramme	7
84	unexpected	42	42	sieht	long_vp_coord	der Pilot spricht viele verschiedene Sprachen und sehen gern Fernsehprogramme	7
85	expected	43	43	ist	long_vp_coord	der Pilot spricht viele verschiedene Sprachen und ist zwanzig Jahre alt	7
86	unexpected	43	43	ist	long_vp_coord	der Pilot spricht viele verschiedene Sprachen und sind zwanzig Jahre alt	7
87	expected	44	44	mag	long_vp_coord	der Pilot spricht viele verschiedene Sprachen und mag lieber Tennis mit seinen Kollegen spielen	7
88	unexpected	44	44	mag	long_vp_coord	der Pilot spricht viele verschiedene Sprachen und mögen lieber Tennis mit seinen Kollegen spielen	7
89	expected	45	45	schreibt	long_vp_coord	der Pilot spricht viele verschiedene Sprachen und schreibt jeden Tag in seinem Journal	7
90	unexpected	45	45	schreibt	long_vp_coord	der Pilot spricht viele verschiedene Sprachen und schreiben jeden Tag in seinem Journal	7
91	expected	46	46	spricht	long_vp_coord	der Berater spricht viele verschiedene Sprachen und spricht viele verschiedene Sprachen	7
