sentid	comparison	pairid	contextid	lemma	condition	sentence	ROI
1	expected	1	1	sind	simple_agrmt	die Schriftsteller sind alt	2
2	unexpected	1	1	sind	simple_agrmt	die Schriftsteller ist alt	2
3	expected	2	2	sind	simple_agrmt	die Schriftsteller sind jung	2
4	unexpected	2	2	sind	simple_agrmt	die Schriftsteller ist jung	2
5	expected	3	3	sind	simple_agrmt	die Schriftsteller sind klein	2
6	unexpected	3	3	sind	simple_agrmt	die Schriftsteller ist klein	2
7	expected	4	4	sind	simple_agrmt	die Schriftsteller sind groß	2
8	unexpected	4	4	sind	simple_agrmt	die Schriftsteller ist groß	2
9	expected	5	5	schwimmen	simple_agrmt	die Schriftsteller schwimmen	2
10	unexpected	5	5	schwimmen	simple_agrmt	die Schriftsteller schwimmt	2
11	expected	6	6	sprechen	simple_agrmt	die Schriftsteller sprechen	2
12	unexpected	6	6	sprechen	simple_agrmt	die Schriftsteller spricht	2
13	expected	7	7	lachen	simple_agrmt	die Schriftsteller lachen	2
14	unexpected	7	7	lachen	simple_agrmt	die Schriftsteller lacht	2
15	expected	8	8	sind	simple_agrmt	die Direktoren sind alt	2
16	unexpected	8	8	sind	simple_agrmt	die Direktoren ist alt	2
17	expected	9	9	sind	simple_agrmt	die Direktoren sind jung	2
18	unexpected	9	9	sind	simple_agrmt	die Direktoren ist jung	2
19	expected	10	10	sind	simple_agrmt	die Direktoren sind klein	2
20	unexpected	10	10	sind	simple_agrmt	die Direktoren ist klein	2
21	expected	11	11	sind	simple_agrmt	die Direktoren sind groß	2
22	unexpected	11	11	sind	simple_agrmt	die Direktoren ist groß	2
23	expected	12	12	schwimmen	simple_agrmt	die Direktoren schwimmen	2
24	unexpected	12	12	schwimmen	simple_agrmt	die Direktoren schwimmt	2
25	expected	13	13	sprechen	simple_agrmt	die Direktoren sprechen	2
26	unexpected	13	13	sprechen	simple_agrmt	die Direktoren spricht	2
27	expected	14	14	lachen	simple_agrmt	die Direktoren lachen	2
28	unexpected	14	14	lachen	simple_agrmt	die Direktoren lacht	2
29	expected	15	15	sind	simple_agrmt	die Bauern sind alt	2
30	unexpected	15	15	sind	simple_agrmt	die Bauern ist alt	2
31	expected	16	16	sind	simple_agrmt	die Bauern sind jung	2
32	unexpected	16	16	sind	simple_agrmt	die Bauern ist jung	2
33	expected	17	17	sind	simple_agrmt	die Bauern sind klein	2
