sentid	comparison	pairid	contextid	lemma	condition	sentence	ROI
1	expected	1	1	connaît	long_vp_coord	l' auteur connaît beaucoup de langues étrangères et connaît beaucoup de langues étrangères	8
2	unexpected	1	1	connaît	long_vp_coord	l' auteur connaît beaucoup de langues étrangères et connaissent beaucoup de langues étrangères	8
3	expected	2	2	aime	long_vp_coord	l' auteur connaît beaucoup de langues étrangères et aime regarder des émissions de télévision	8
4	unexpected	2	2	aime	long_vp_coord	l' auteur connaît beaucoup de langues étrangères et aiment regarder des émissions de télévision	8
5	expected	3	3	a	long_vp_coord	l' auteur connaît beaucoup de langues étrangères et a vingt trois ans	8
6	unexpected	3	3	a	long_vp_coord	l' auteur connaît beaucoup de langues étrangères et ont vingt trois ans	8
7	expected	4	4	préfère	long_vp_coord	l' auteur connaît beaucoup de langues étrangères et préfère jouer au tennis avec des collègues	8
8	unexpected	4	4	préfère	long_vp_coord	l' auteur connaît beaucoup de langues étrangères et préfèrent jouer au tennis avec des collègues	8
9	expected	5	5	écrit	long_vp_coord	l' auteur connaît beaucoup de langues étrangères et écrit dans un journal tous les jours	8
10	unexpected	5	5	écrit	long_vp_coord	l' auteur connaît beaucoup de langues étrangères et écrivent dans un journal tous les jours	8
11	expected	6	6	connaît	long_vp_coord	le directeur connaît beaucoup de langues étrangères et connaît beaucoup de langues étrangères	8
12	unexpected	6	6	connaît	long_vp_coord	le directeur connaît beaucoup de langues étrangères et connaissent beaucoup de langues étrangères	8
13	expected	7	7	aime	long_vp_coord	le directeur connaît beaucoup de langues étrangères et aime regarder des émissions de télévision	8
14	unexpected	7	7	aime	long_vp_coord	le directeur connaît beaucoup de langues étrangères et aiment regarder des émissions de télévision	8
15	expected	8	8	a	long_vp_coord	le directeur connaît beaucoup de langues étrangères et a vingt trois ans	8
16	unexpected	8	8	a	long_vp_coord	le directeur connaît beaucoup de langues étrangères et ont vingt trois ans	8
