sentid	comparison	pairid	contextid	lemma	condition	sentence	ROI
1	expected	1	1	מבשל	vp_coord	ה מלצר רוקד ו מבשל	4
2	unexpected	1	1	מבשל	vp_coord	ה מלצר רוקד ו מבשלים	4
3	expected	2	2	נוסע	vp_coord	ה מלצר רוקד ו נוסע	4
4	unexpected	2	2	נוסע	vp_coord	ה מלצר רוקד ו נוסעים	4
5	expected	3	3	אוכל	vp_coord	ה מלצר רוקד ו אוכל	4
6	unexpected	3	3	אוכל	vp_coord	ה מלצר רוקד ו אוכלים	4
7	expected	4	4	שותה	vp_coord	ה מלצר רוקד ו שותה	4
8	unexpected	4	4	שותה	vp_coord	ה מלצר רוקד ו שותים	4
9	expected	5	5	שוחה	vp_coord	ה מלצר רוקד ו שוחה	4
10	unexpected	5	5	שוחה	vp_coord	ה מלצר רוקד ו שוחים	4
11	expected	6	6	חי	vp_coord	ה מלצר רוקד ו חי	4
12	unexpected	6	6	חי	vp_coord	ה מלצר רוקד ו חיים	4
13	expected	7	7	צוחק	vp_coord	ה מלצר רוקד ו צוחק	4
14	unexpected	7	7	צוחק	vp_coord	ה מלצר רוקד ו צוחקים	4
15	expected	8	8	מבשל	vp_coord	ה מנהל רוקד ו מבשל	4
16	unexpected	8	8	מבשל	vp_coord	ה מנהל רוקד ו מבשלים	4
17	expected	9	9	נוסע	vp_coord	ה מנהל רוקד ו נוסע	4
18	unexpected	9	9	נוסע	vp_coord	ה מנהל רוקד ו נוסעים	4
19	expected	10	10	אוכל	vp_coord	ה מנהל רוקד ו אוכל	4
20	unexpected	10	10	אוכל	vp_coord	ה מנהל רוקד ו אוכלים	4
21	expected	11	11	שותה	vp_coord	ה מנהל רוקד ו שותה	4
22	unexpected	11	11	שותה	vp_coord	ה מנהל רוקד ו שותים	4
23	expected	12	12	שוחה	vp_coord	ה מנהל רוקד ו שוחה	4
24	unexpected	12	12	שוחה	vp_coord	ה מנהל רוקד ו שוחים	4
25	expected	13	13	חי	vp_coord	ה מנהל רוקד ו חי	4
26	unexpected	13	13	חי	vp_coord	ה מנהל רוקד ו חיים	4
27	expected	14	14	צוחק	vp_coord	ה מנהל רוקד ו צוחק	4
28	unexpected	14	14	צוחק	vp_coord	ה מנהל רוקד ו צוחקים	4
29	expected	15	15	מבשל	vp_coord	ה חקלאי רוקד ו מבשל	4
30	unexpected	15	15	מבשל	vp_coord	ה חקלאי רוקד ו מבשלים	4
31	expected	16	16	נוסע	vp_coord	ה חקלאי רוקד ו נוסע	4
32	unexpected	16	16	נוסע	vp_coord	ה חקלאי רוקד ו נוסעים	4
33	expected	17	17	אוכל	vp_coord	ה חקלאי רוקד ו אוכל	4
34	unexpected	17	17	אוכל	vp_coord	ה חקלאי רוקד ו אוכלים	4
35	expected	18	18	שותה	vp_coord	ה חקלאי רוקד ו שותה	4
36	unexpected	18	18	שותה	vp_coord	ה חקלאי רוקד ו שותים	4
37	expected	19	19	שוחה	vp_coord	ה חקלאי רוקד ו שוחה	4
38	unexpected	19	19	שוחה	vp_coord	ה חקלאי רוקד ו שוחים	4
39	expected	20	20	חי	vp_coord	ה חקלאי רוקד ו חי	4
40	unexpected	20	20	חי	vp_coord	ה חקלאי רוקד ו חיים	4
41	expected	21	21	צוחק	vp_coord	ה חקלאי רוקד ו צוחק	4
42	unexpected	21	21	צוחק	vp_coord	ה חקלאי רוקד ו צוחקים	4
43	expected	22	22	מבשל	vp_coord	ה רופא רוקד ו מבשל	4
44	unexpected	22	22	מבשל	vp_coord	ה רופא רוקד ו מבשלים	4
45	expected	23	23	נוסע	vp_coord	ה רופא רוקד ו נוסע	4
46	unexpected	23	23	נוסע	vp_coord	ה רופא רוקד ו נוסעים	4
47	expected	24	24	אוכל	vp_coord	ה רופא רוקד ו אוכל	4
