sentid	comparison	pairid	contextid	lemma	condition	sentence	ROI
1	expected	1	1	רוקד	simple_agrmt	ה מלצר רוקד	2
2	unexpected	1	1	רוקד	simple_agrmt	ה מלצר רוקדים	2
3	expected	2	2	נוסע	simple_agrmt	ה מלצר נוסע	2
4	unexpected	2	2	נוסע	simple_agrmt	ה מלצר נוסעים	2
5	expected	3	3	רץ	simple_agrmt	ה מלצר רץ	2
6	unexpected	3	3	רץ	simple_agrmt	ה מלצר רצים	2
7	expected	4	4	ישן	simple_agrmt	ה מלצר ישן	2
8	unexpected	4	4	ישן	simple_agrmt	ה מלצר ישנים	2
9	expected	5	5	שוחה	simple_agrmt	ה מלצר שוחה	2
10	unexpected	5	5	שוחה	simple_agrmt	ה מלצר שוחים	2
11	expected	6	6	חי	simple_agrmt	ה מלצר חי	2
12	unexpected	6	6	חי	simple_agrmt	ה מלצר חיים	2
13	expected	7	7	צוחק	simple_agrmt	ה מלצר צוחק	2
14	unexpected	7	7	צוחק	simple_agrmt	ה מלצר צוחקים	2
15	expected	8	8	רוקד	simple_agrmt	ה מנהל רוקד	2
16	unexpected	8	8	רוקד	simple_agrmt	ה מנהל רוקדים	2
17	expected	9	9	נוסע	simple_agrmt	ה מנהל נוסע	2
18	unexpected	9	9	נוסע	simple_agrmt	ה מנהל נוסעים	2
19	expected	10	10	רץ	simple_agrmt	ה מנהל רץ	2
20	unexpected	10	10	רץ	simple_agrmt	ה מנהל רצים	2
21	expected	11	11	ישן	simple_agrmt	ה מנהל ישן	2
22	unexpected	11	11	ישן	simple_agrmt	ה מנהל ישנים	2
23	expected	12	12	שוחה	simple_agrmt	ה מנהל שוחה	2
24	unexpected	12	12	שוחה	simple_agrmt	ה מנהל שוחים	2
25	expected	13	13	חי	simple_agrmt	ה מנהל חי	2
26	unexpected	13	13	חי	simple_agrmt	ה מנהל חיים	2
27	expected	14	14	צוחק	simple_agrmt	ה מנהל צוחק	2
28	unexpected	14	14	צוחק	simple_agrmt	ה מנהל צוחקים	2
29	expected	15	15	רוקד	simple_agrmt	ה חקלאי רוקד	2
30	unexpected	15	15	רוקד	simple_agrmt	ה חקלאי רוקדים	2
31	expected	16	16	נוסע	simple_agrmt	ה חקלאי נוסע	2
32	unexpected	16	16	נוסע	simple_agrmt	ה חקלאי נוסעים	2
33	expected	17	17	רץ	simple_agrmt	ה חקלאי רץ	2
34	unexpected	17	17	רץ	simple_agrmt	ה חקלאי רצים	2
35	expected	18	18	ישן	simple_agrmt	ה חקלאי ישן	2
36	unexpected	18	18	ישן	simple_agrmt	ה חקלאי ישנים	2
37	expected	19	19	שוחה	simple_agrmt	ה חקלאי שוחה	2
