	model	pairid	lemma	condition	comparison	surpsum	surpmean
0	bert-base-cased	1	laugh	subj_rel	expected	20.3924503326416	20.3924503326416
1	bert-base-cased	1	laugh	subj_rel	unexpected	22.194801330566406	22.194801330566406
2	bert-base-cased	2	swim	subj_rel	expected	23.798219680786133	23.798219680786133
3	bert-base-cased	2	swim	subj_rel	unexpected	14.375564098358154	14.375564098358154
4	bert-base-cased	3	smile	subj_rel	expected	19.399110794067383	19.399110794067383
5	bert-base-cased	3	smile	subj_rel	unexpected	22.49519920349121	22.49519920349121
6	bert-base-cased	4	are	subj_rel	expected	4.598320960998535	4.598320960998535
7	bert-base-cased	4	are	subj_rel	unexpected	3.2490508556365967	3.2490508556365967
8	bert-base-cased	5	are	subj_rel	expected	5.909192562103272	5.909192562103272
9	bert-base-cased	5	are	subj_rel	unexpected	6.004218578338623	6.004218578338623
10	bert-base-cased	6	are	subj_rel	expected	4.126051425933838	4.126051425933838
11	bert-base-cased	6	are	subj_rel	unexpected	4.176372051239014	4.176372051239014
12	bert-base-cased	7	are	subj_rel	expected	1.7236700057983398	1.7236700057983398
13	bert-base-cased	7	are	subj_rel	unexpected	4.277642726898193	4.277642726898193
14	bert-base-cased	8	laugh	subj_rel	expected	20.142383575439453	20.142383575439453
15	bert-base-cased	8	laugh	subj_rel	unexpected	21.830345153808597	21.830345153808597
16	bert-base-cased	9	swim	subj_rel	expected	23.86607360839844	23.86607360839844
17	bert-base-cased	9	swim	subj_rel	unexpected	14.925814151763918	14.925814151763918
18	bert-base-cased	10	smile	subj_rel	expected	18.93516540527344	18.93516540527344
19	bert-base-cased	10	smile	subj_rel	unexpected	22.2509708404541	22.2509708404541
20	bert-base-cased	11	are	subj_rel	expected	3.374203681945801	3.374203681945801
21	bert-base-cased	11	are	subj_rel	unexpected	4.476436138153076	4.476436138153076
22	bert-base-cased	12	are	subj_rel	expected	5.788625240325928	5.788625240325928
23	bert-base-cased	12	are	subj_rel	unexpected	5.694827556610107	5.694827556610107
24	bert-base-cased	13	are	subj_rel	expected	2.312432050704956	2.312432050704956
25	bert-base-cased	13	are	subj_rel	unexpected	5.04605770111084	5.04605770111084
26	bert-base-cased	14	are	subj_rel	expected	1.1725454330444336	1.1725454330444336
27	bert-base-cased	14	are	subj_rel	unexpected	5.482605457305908	5.482605457305908
28	bert-base-cased	15	laugh	subj_rel	expected	21.37034034729004	21.37034034729004
29	bert-base-cased	15	laugh	subj_rel	unexpected	23.643047332763672	23.643047332763672
30	bert-base-cased	16	swim	subj_rel	expected	24.775941848754883	24.775941848754883
31	bert-base-cased	16	swim	subj_rel	unexpected	14.365365982055666	14.365365982055666
32	bert-base-cased	17	smile	subj_rel	expected	20.61952781677246	20.61952781677246
33	bert-base-cased	17	smile	subj_rel	unexpected	24.07466506958008	24.07466506958008
34	bert-base-cased	18	are	subj_rel	expected	2.169144868850708	2.169144868850708
35	bert-base-cased	18	are	subj_rel	unexpected	6.172688484191895	6.172688484191895
36	bert-base-cased	19	are	subj_rel	expected	4.701572895050049	4.701572895050049
37	bert-base-cased	19	are	subj_rel	unexpected	7.11309289932251	7.11309289932251
38	bert-base-cased	20	are	subj_rel	expected	2.206132650375366	2.206132650375366
39	bert-base-cased	20	are	subj_rel	unexpected	6.273012161254883	6.273012161254883
40	bert-base-cased	21	are	subj_rel	expected	1.03779399394989	1.03779399394989
41	bert-base-cased	21	are	subj_rel	unexpected	6.302341938018799	6.302341938018799
42	bert-base-cased	22	laugh	subj_rel	expected	20.88187789916992	20.88187789916992
43	bert-base-cased	22	laugh	subj_rel	unexpected	22.686168670654297	22.686168670654297
44	bert-base-cased	23	swim	subj_rel	expected	23.61248016357422	23.61248016357422
45	bert-base-cased	23	swim	subj_rel	unexpected	14.497654438018799	14.497654438018799
46	bert-base-cased	24	smile	subj_rel	expected	19.81729888916016	19.81729888916016
47	bert-base-cased	24	smile	subj_rel	unexpected	22.83523368835449	22.83523368835449
48	bert-base-cased	25	are	subj_rel	expected	3.828561544418335	3.828561544418335
49	bert-base-cased	25	are	subj_rel	unexpected	3.458482265472412	3.458482265472412
50	bert-base-cased	26	are	subj_rel	expected	5.208422183990479	5.208422183990479
51	bert-base-cased	26	are	subj_rel	unexpected	5.076484680175781	5.076484680175781
52	bert-base-cased	27	are	subj_rel	expected	2.7251105308532715	2.7251105308532715
53	bert-base-cased	27	are	subj_rel	unexpected	5.050709247589111	5.050709247589111
54	bert-base-cased	28	are	subj_rel	expected	1.2629905939102173	1.2629905939102173
55	bert-base-cased	28	are	subj_rel	unexpected	4.791953086853027	4.791953086853027
56	bert-base-cased	29	laugh	subj_rel	expected	20.58380889892578	20.58380889892578
57	bert-base-cased	29	laugh	subj_rel	unexpected	22.646181106567383	22.646181106567383
58	bert-base-cased	30	swim	subj_rel	expected	23.73335075378418	23.73335075378418
59	bert-base-cased	30	swim	subj_rel	unexpected	12.93669843673706	12.93669843673706
60	bert-base-cased	31	smile	subj_rel	expected	19.83506774902344	19.83506774902344
61	bert-base-cased	31	smile	subj_rel	unexpected	23.391977310180664	23.391977310180664
62	bert-base-cased	32	are	subj_rel	expected	4.156051635742188	4.156051635742188
63	bert-base-cased	32	are	subj_rel	unexpected	3.095323085784912	3.095323085784912
64	bert-base-cased	33	are	subj_rel	expected	5.440759658813477	5.440759658813477
65	bert-base-cased	33	are	subj_rel	unexpected	5.179642200469971	5.179642200469971
66	bert-base-cased	34	are	subj_rel	expected	3.7358181476593018	3.7358181476593018
67	bert-base-cased	34	are	subj_rel	unexpected	4.325586318969727	4.325586318969727
68	bert-base-cased	35	are	subj_rel	expected	1.5576798915863037	1.5576798915863037
69	bert-base-cased	35	are	subj_rel	unexpected	5.170751094818115	5.170751094818115
70	bert-base-cased	36	laugh	subj_rel	expected	20.660268783569336	20.660268783569336
71	bert-base-cased	36	laugh	subj_rel	unexpected	22.936670303344727	22.936670303344727
72	bert-base-cased	37	swim	subj_rel	expected	24.298154830932617	24.298154830932617
73	bert-base-cased	37	swim	subj_rel	unexpected	14.048596858978271	14.048596858978271
74	bert-base-cased	38	smile	subj_rel	expected	19.895631790161133	19.895631790161133
75	bert-base-cased	38	smile	subj_rel	unexpected	23.498680114746094	23.498680114746094
76	bert-base-cased	39	are	subj_rel	expected	2.796170234680176	2.796170234680176
77	bert-base-cased	39	are	subj_rel	unexpected	5.047595977783203	5.047595977783203
78	bert-base-cased	40	are	subj_rel	expected	8.543341636657715	8.543341636657715
79	bert-base-cased	40	are	subj_rel	unexpected	7.018311500549316	7.018311500549316
80	bert-base-cased	41	are	subj_rel	expected	2.433100938796997	2.433100938796997
81	bert-base-cased	41	are	subj_rel	unexpected	5.777571201324463	5.777571201324463
82	bert-base-cased	42	are	subj_rel	expected	1.192775845527649	1.192775845527649
83	bert-base-cased	42	are	subj_rel	unexpected	6.113476276397705	6.113476276397705
84	bert-base-cased	43	laugh	subj_rel	expected	7.664133071899414	7.664133071899414
85	bert-base-cased	43	laugh	subj_rel	unexpected	9.421394348144531	9.421394348144531
86	bert-base-cased	44	swim	subj_rel	expected	12.708710670471191	12.708710670471191
87	bert-base-cased	44	swim	subj_rel	unexpected	16.69752073287964	16.69752073287964
88	bert-base-cased	45	smile	subj_rel	expected	6.462392330169678	6.462392330169678
89	bert-base-cased	45	smile	subj_rel	unexpected	7.092455863952637	7.092455863952637
90	bert-base-cased	46	are	subj_rel	expected	15.004725456237791	15.004725456237791
91	bert-base-cased	46	are	subj_rel	unexpected	13.888898849487305	13.888898849487305
92	bert-base-cased	47	are	subj_rel	expected	15.004725456237791	15.004725456237791
93	bert-base-cased	47	are	subj_rel	unexpected	13.888898849487305	13.888898849487305
94	bert-base-cased	48	are	subj_rel	expected	15.004725456237791	15.004725456237791
95	bert-base-cased	48	are	subj_rel	unexpected	13.888898849487305	13.888898849487305
96	bert-base-cased	49	are	subj_rel	expected	15.004725456237791	15.004725456237791
97	bert-base-cased	49	are	subj_rel	unexpected	13.888898849487305	13.888898849487305
98	bert-base-cased	50	laugh	subj_rel	expected	20.674983978271484	20.674983978271484
99	bert-base-cased	50	laugh	subj_rel	unexpected	22.02324867248535	22.02324867248535
100	bert-base-cased	51	swim	subj_rel	expected	24.78850555419922	24.78850555419922
101	bert-base-cased	51	swim	subj_rel	unexpected	14.322146892547607	14.322146892547607
102	bert-base-cased	52	smile	subj_rel	expected	19.409744262695312	19.409744262695312
103	bert-base-cased	52	smile	subj_rel	unexpected	22.45263290405273	22.45263290405273
104	bert-base-cased	53	are	subj_rel	expected	2.323216676712036	2.323216676712036
105	bert-base-cased	53	are	subj_rel	unexpected	3.976263046264648	3.976263046264648
106	bert-base-cased	54	are	subj_rel	expected	5.7454328536987305	5.7454328536987305
107	bert-base-cased	54	are	subj_rel	unexpected	5.540975093841553	5.540975093841553
108	bert-base-cased	55	are	subj_rel	expected	1.9493311643600464	1.9493311643600464
109	bert-base-cased	55	are	subj_rel	unexpected	4.584704399108887	4.584704399108887
110	bert-base-cased	56	are	subj_rel	expected	0.9432405829429626	0.9432405829429626
111	bert-base-cased	56	are	subj_rel	unexpected	5.216893672943115	5.216893672943115
112	bert-base-cased	57	laugh	subj_rel	expected	21.15876197814941	21.15876197814941
113	bert-base-cased	57	laugh	subj_rel	unexpected	23.23628234863281	23.23628234863281
114	bert-base-cased	58	swim	subj_rel	expected	24.745994567871094	24.745994567871094
115	bert-base-cased	58	swim	subj_rel	unexpected	15.427036762237547	15.427036762237547
116	bert-base-cased	59	smile	subj_rel	expected	19.640869140625	19.640869140625
117	bert-base-cased	59	smile	subj_rel	unexpected	23.294095993041992	23.294095993041992
118	bert-base-cased	60	are	subj_rel	expected	2.4407732486724854	2.4407732486724854
119	bert-base-cased	60	are	subj_rel	unexpected	3.1478188037872314	3.1478188037872314
120	bert-base-cased	61	are	subj_rel	expected	4.198670864105225	4.198670864105225
121	bert-base-cased	61	are	subj_rel	unexpected	5.6363019943237305	5.6363019943237305
122	bert-base-cased	62	are	subj_rel	expected	2.580310821533203	2.580310821533203
123	bert-base-cased	62	are	subj_rel	unexpected	4.572459220886231	4.572459220886231
124	bert-base-cased	63	are	subj_rel	expected	1.830812931060791	1.830812931060791
125	bert-base-cased	63	are	subj_rel	unexpected	5.314148426055908	5.314148426055908
126	bert-base-cased	64	laugh	subj_rel	expected	21.181081771850582	21.181081771850582
127	bert-base-cased	64	laugh	subj_rel	unexpected	23.52922248840332	23.52922248840332
128	bert-base-cased	65	swim	subj_rel	expected	24.49679946899414	24.49679946899414
129	bert-base-cased	65	swim	subj_rel	unexpected	16.197980403900146	16.197980403900146
130	bert-base-cased	66	smile	subj_rel	expected	20.399900436401367	20.399900436401367
131	bert-base-cased	66	smile	subj_rel	unexpected	23.45154571533203	23.45154571533203
132	bert-base-cased	67	are	subj_rel	expected	3.359354257583618	3.359354257583618
133	bert-base-cased	67	are	subj_rel	unexpected	2.7893872261047363	2.7893872261047363
134	bert-base-cased	68	are	subj_rel	expected	5.369324684143066	5.369324684143066
135	bert-base-cased	68	are	subj_rel	unexpected	4.306131839752197	4.306131839752197
136	bert-base-cased	69	are	subj_rel	expected	4.842924118041992	4.842924118041992
137	bert-base-cased	69	are	subj_rel	unexpected	4.151885509490967	4.151885509490967
138	bert-base-cased	70	are	subj_rel	expected	1.216111660003662	1.216111660003662
139	bert-base-cased	70	are	subj_rel	unexpected	5.084918022155762	5.084918022155762
140	bert-base-cased	71	laugh	subj_rel	expected	23.305421829223636	23.305421829223636
141	bert-base-cased	71	laugh	subj_rel	unexpected	24.567630767822266	24.567630767822266
142	bert-base-cased	72	swim	subj_rel	expected	25.566883087158203	25.566883087158203
143	bert-base-cased	72	swim	subj_rel	unexpected	12.46742868423462	12.46742868423462
144	bert-base-cased	73	smile	subj_rel	expected	21.44412040710449	21.44412040710449
145	bert-base-cased	73	smile	subj_rel	unexpected	24.09691047668457	24.09691047668457
146	bert-base-cased	74	are	subj_rel	expected	0.8250007629394531	0.8250007629394531
147	bert-base-cased	74	are	subj_rel	unexpected	4.754284381866455	4.754284381866455
148	bert-base-cased	75	are	subj_rel	expected	4.380935192108154	4.380935192108154
149	bert-base-cased	75	are	subj_rel	unexpected	5.065645217895508	5.065645217895508
150	bert-base-cased	76	are	subj_rel	expected	1.2810993194580078	1.2810993194580078
151	bert-base-cased	76	are	subj_rel	unexpected	5.119740009307861	5.119740009307861
152	bert-base-cased	77	are	subj_rel	expected	0.5149407982826233	0.5149407982826233
153	bert-base-cased	77	are	subj_rel	unexpected	6.69796895980835	6.69796895980835
154	bert-base-cased	78	laugh	subj_rel	expected	23.304386138916016	23.304386138916016
155	bert-base-cased	78	laugh	subj_rel	unexpected	24.517053604125977	24.517053604125977
156	bert-base-cased	79	swim	subj_rel	expected	25.54180908203125	25.54180908203125
157	bert-base-cased	79	swim	subj_rel	unexpected	13.631227493286135	13.631227493286135
158	bert-base-cased	80	smile	subj_rel	expected	21.397165298461918	21.397165298461918
159	bert-base-cased	80	smile	subj_rel	unexpected	24.411035537719727	24.411035537719727
160	bert-base-cased	81	are	subj_rel	expected	0.929599404335022	0.929599404335022
161	bert-base-cased	81	are	subj_rel	unexpected	5.6697258949279785	5.6697258949279785
162	bert-base-cased	82	are	subj_rel	expected	4.596119403839111	4.596119403839111
163	bert-base-cased	82	are	subj_rel	unexpected	4.688347339630127	4.688347339630127
164	bert-base-cased	83	are	subj_rel	expected	1.1166325807571411	1.1166325807571411
165	bert-base-cased	83	are	subj_rel	unexpected	6.165064334869385	6.165064334869385
166	bert-base-cased	84	are	subj_rel	expected	1.224457621574402	1.224457621574402
167	bert-base-cased	84	are	subj_rel	unexpected	6.789456844329834	6.789456844329834
168	bert-base-cased	85	laugh	subj_rel	expected	24.423784255981445	24.423784255981445
169	bert-base-cased	85	laugh	subj_rel	unexpected	26.223953247070312	26.223953247070312
170	bert-base-cased	86	swim	subj_rel	expected	26.547971725463867	26.547971725463867
171	bert-base-cased	86	swim	subj_rel	unexpected	13.811444759368896	13.811444759368896
172	bert-base-cased	87	smile	subj_rel	expected	22.726886749267575	22.726886749267575
173	bert-base-cased	87	smile	subj_rel	unexpected	26.27723503112793	26.27723503112793
174	bert-base-cased	88	are	subj_rel	expected	1.1783242225646973	1.1783242225646973
175	bert-base-cased	88	are	subj_rel	unexpected	6.864326477050781	6.864326477050781
176	bert-base-cased	89	are	subj_rel	expected	5.077250003814697	5.077250003814697
177	bert-base-cased	89	are	subj_rel	unexpected	6.271734714508057	6.271734714508057
178	bert-base-cased	90	are	subj_rel	expected	1.3893992900848389	1.3893992900848389
179	bert-base-cased	90	are	subj_rel	unexpected	6.909409999847412	6.909409999847412
180	bert-base-cased	91	are	subj_rel	expected	1.6657170057296753	1.6657170057296753
181	bert-base-cased	91	are	subj_rel	unexpected	7.163586616516113	7.163586616516113
182	bert-base-cased	92	laugh	subj_rel	expected	23.53609275817871	23.53609275817871
