sentid	comparison	pairid	contextid	lemma	condition	sentence	ROI
1	expected	1	1	aiment	obj_rel_within	les auteurs que les gardes aiment déménagent	5
2	unexpected	1	1	aiment	obj_rel_within	les auteurs que les gardes aime déménagent	5
3	expected	2	2	détestent	obj_rel_within	les auteurs que les gardes détestent déménagent	5
4	unexpected	2	2	détestent	obj_rel_within	les auteurs que les gardes déteste déménagent	5
5	expected	3	3	admirent	obj_rel_within	les auteurs que les gardes admirent déménagent	5
6	unexpected	3	3	admirent	obj_rel_within	les auteurs que les gardes admire déménagent	5
7	expected	4	4	évitent	obj_rel_within	les auteurs que les gardes évitent déménagent	5
8	unexpected	4	4	évitent	obj_rel_within	les auteurs que les gardes évite déménagent	5
9	expected	5	5	aiment	obj_rel_within	les directeurs que les gardes aiment déménagent	5
10	unexpected	5	5	aiment	obj_rel_within	les directeurs que les gardes aime déménagent	5
11	expected	6	6	détestent	obj_rel_within	les directeurs que les gardes détestent déménagent	5
12	unexpected	6	6	détestent	obj_rel_within	les directeurs que les gardes déteste déménagent	5
13	expected	7	7	admirent	obj_rel_within	les directeurs que les gardes admirent déménagent	5
14	unexpected	7	7	admirent	obj_rel_within	les directeurs que les gardes admire déménagent	5
15	expected	8	8	évitent	obj_rel_within	les directeurs que les gardes évitent déménagent	5
16	unexpected	8	8	évitent	obj_rel_within	les directeurs que les gardes évite déménagent	5
17	expected	9	9	aiment	obj_rel_within	les agriculteurs que les gardes aiment déménagent	5
18	unexpected	9	9	aiment	obj_rel_within	les agriculteurs que les gardes aime déménagent	5
19	expected	10	10	détestent	obj_rel_within	les agriculteurs que les gardes détestent déménagent	5
20	unexpected	10	10	détestent	obj_rel_within	les agriculteurs que les gardes déteste déménagent	5
21	expected	11	11	admirent	obj_rel_within	les agriculteurs que les gardes admirent déménagent	5
22	unexpected	11	11	admirent	obj_rel_within	les agriculteurs que les gardes admire déménagent	5
23	expected	12	12	évitent	obj_rel_within	les agriculteurs que les gardes évitent déménagent	5
24	unexpected	12	12	évitent	obj_rel_within	les agriculteurs que les gardes évite déménagent	5
25	expected	13	13	aiment	obj_rel_within	les chirurgiens que les gardes aiment déménagent	5
26	unexpected	13	13	aiment	obj_rel_within	les chirurgiens que les gardes aime déménagent	5
27	expected	14	14	détestent	obj_rel_within	les chirurgiens que les gardes détestent déménagent	5
28	unexpected	14	14	détestent	obj_rel_within	les chirurgiens que les gardes déteste déménagent	5
29	expected	15	15	admirent	obj_rel_within	les chirurgiens que les gardes admirent déménagent	5
30	unexpected	15	15	admirent	obj_rel_within	les chirurgiens que les gardes admire déménagent	5
31	expected	16	16	évitent	obj_rel_within	les chirurgiens que les gardes évitent déménagent	5
32	unexpected	16	16	évitent	obj_rel_within	les chirurgiens que les gardes évite déménagent	5
33	expected	17	17	aiment	obj_rel_within	les sénateurs que les gardes aiment déménagent	5
34	unexpected	17	17	aiment	obj_rel_within	les sénateurs que les gardes aime déménagent	5
35	expected	18	18	détestent	obj_rel_within	les sénateurs que les gardes détestent déménagent	5
36	unexpected	18	18	détestent	obj_rel_within	les sénateurs que les gardes déteste déménagent	5
37	expected	19	19	admirent	obj_rel_within	les sénateurs que les gardes admirent déménagent	5
38	unexpected	19	19	admirent	obj_rel_within	les sénateurs que les gardes admire déménagent	5
39	expected	20	20	évitent	obj_rel_within	les sénateurs que les gardes évitent déménagent	5
40	unexpected	20	20	évitent	obj_rel_within	les sénateurs que les gardes évite déménagent	5
41	expected	21	21	aiment	obj_rel_within	les professeurs que les gardes aiment déménagent	5
42	unexpected	21	21	aiment	obj_rel_within	les professeurs que les gardes aime déménagent	5
43	expected	22	22	détestent	obj_rel_within	les professeurs que les gardes détestent déménagent	5
44	unexpected	22	22	détestent	obj_rel_within	les professeurs que les gardes déteste déménagent	5
45	expected	23	23	admirent	obj_rel_within	les professeurs que les gardes admirent déménagent	5
46	unexpected	23	23	admirent	obj_rel_within	les professeurs que les gardes admire déménagent	5
47	expected	24	24	évitent	obj_rel_within	les professeurs que les gardes évitent déménagent	5
48	unexpected	24	24	évitent	obj_rel_within	les professeurs que les gardes évite déménagent	5
49	expected	25	25	aiment	obj_rel_within	les clients que les gardes aiment déménagent	5
50	unexpected	25	25	aiment	obj_rel_within	les clients que les gardes aime déménagent	5
51	expected	26	26	détestent	obj_rel_within	les clients que les gardes détestent déménagent	5
52	unexpected	26	26	détestent	obj_rel_within	les clients que les gardes déteste déménagent	5
