	model	pairid	lemma	condition	comparison	surpsum	surpmean
0	bert-base-cased	1	laugh	prep	expected	24.578371047973636	24.578371047973636
1	bert-base-cased	1	laugh	prep	unexpected	25.4833984375	25.4833984375
2	bert-base-cased	2	swim	prep	expected	25.87883949279785	25.87883949279785
3	bert-base-cased	2	swim	prep	unexpected	12.550006866455078	12.550006866455078
4	bert-base-cased	3	smile	prep	expected	23.20703125	23.20703125
5	bert-base-cased	3	smile	prep	unexpected	24.847076416015625	24.847076416015625
6	bert-base-cased	4	are	prep	expected	3.12705659866333	3.12705659866333
7	bert-base-cased	4	are	prep	unexpected	3.0971386432647705	3.0971386432647705
8	bert-base-cased	5	are	prep	expected	2.4347047805786133	2.4347047805786133
9	bert-base-cased	5	are	prep	unexpected	5.346935272216797	5.346935272216797
10	bert-base-cased	6	are	prep	expected	1.4397940635681152	1.4397940635681152
11	bert-base-cased	6	are	prep	unexpected	5.077463626861572	5.077463626861572
12	bert-base-cased	7	are	prep	expected	2.0494277477264404	2.0494277477264404
13	bert-base-cased	7	are	prep	unexpected	4.600548267364502	4.600548267364502
14	bert-base-cased	8	laugh	prep	expected	25.07874870300293	25.07874870300293
15	bert-base-cased	8	laugh	prep	unexpected	26.058650970458984	26.058650970458984
16	bert-base-cased	9	swim	prep	expected	26.120744705200195	26.120744705200195
17	bert-base-cased	9	swim	prep	unexpected	12.260115623474121	12.260115623474121
18	bert-base-cased	10	smile	prep	expected	23.20305633544922	23.20305633544922
19	bert-base-cased	10	smile	prep	unexpected	25.38392639160156	25.38392639160156
20	bert-base-cased	11	are	prep	expected	2.160769462585449	2.160769462585449
21	bert-base-cased	11	are	prep	unexpected	4.299647331237793	4.299647331237793
22	bert-base-cased	12	are	prep	expected	2.9320528507232666	2.9320528507232666
23	bert-base-cased	12	are	prep	unexpected	4.723097324371338	4.723097324371338
24	bert-base-cased	13	are	prep	expected	1.655853033065796	1.655853033065796
25	bert-base-cased	13	are	prep	unexpected	4.376269340515137	4.376269340515137
26	bert-base-cased	14	are	prep	expected	5.138575553894043	5.138575553894043
27	bert-base-cased	14	are	prep	unexpected	6.033271789550781	6.033271789550781
28	bert-base-cased	15	laugh	prep	expected	26.574684143066406	26.574684143066406
29	bert-base-cased	15	laugh	prep	unexpected	27.826602935791016	27.826602935791016
30	bert-base-cased	16	swim	prep	expected	26.97268486022949	26.97268486022949
31	bert-base-cased	16	swim	prep	unexpected	13.73402452468872	13.73402452468872
32	bert-base-cased	17	smile	prep	expected	24.932735443115234	24.932735443115234
33	bert-base-cased	17	smile	prep	unexpected	27.142257690429688	27.142257690429688
34	bert-base-cased	18	are	prep	expected	1.5755858421325684	1.5755858421325684
35	bert-base-cased	18	are	prep	unexpected	4.681467533111572	4.681467533111572
36	bert-base-cased	19	are	prep	expected	2.673935651779175	2.673935651779175
37	bert-base-cased	19	are	prep	unexpected	4.898537635803223	4.898537635803223
38	bert-base-cased	20	are	prep	expected	1.7717663049697876	1.7717663049697876
39	bert-base-cased	20	are	prep	unexpected	5.469033718109131	5.469033718109131
40	bert-base-cased	21	are	prep	expected	2.597796440124512	2.597796440124512
41	bert-base-cased	21	are	prep	unexpected	5.249519348144531	5.249519348144531
42	bert-base-cased	22	laugh	prep	expected	25.19194984436035	25.19194984436035
43	bert-base-cased	22	laugh	prep	unexpected	26.571748733520508	26.571748733520508
44	bert-base-cased	23	swim	prep	expected	24.98411750793457	24.98411750793457
45	bert-base-cased	23	swim	prep	unexpected	13.329998970031738	13.329998970031738
46	bert-base-cased	24	smile	prep	expected	23.199705123901367	23.199705123901367
47	bert-base-cased	24	smile	prep	unexpected	25.45164680480957	25.45164680480957
48	bert-base-cased	25	are	prep	expected	1.186889886856079	1.186889886856079
49	bert-base-cased	25	are	prep	unexpected	3.220738649368286	3.220738649368286
50	bert-base-cased	26	are	prep	expected	1.4129531383514404	1.4129531383514404
51	bert-base-cased	26	are	prep	unexpected	4.511358261108398	4.511358261108398
52	bert-base-cased	27	are	prep	expected	1.3556510210037231	1.3556510210037231
53	bert-base-cased	27	are	prep	unexpected	4.713222980499268	4.713222980499268
54	bert-base-cased	28	are	prep	expected	2.363402366638184	2.363402366638184
55	bert-base-cased	28	are	prep	unexpected	4.912859916687012	4.912859916687012
56	bert-base-cased	29	laugh	prep	expected	26.316938400268555	26.316938400268555
57	bert-base-cased	29	laugh	prep	unexpected	27.0031795501709	27.0031795501709
58	bert-base-cased	30	swim	prep	expected	26.591602325439453	26.591602325439453
59	bert-base-cased	30	swim	prep	unexpected	11.71806001663208	11.71806001663208
60	bert-base-cased	31	smile	prep	expected	24.569862365722656	24.569862365722656
61	bert-base-cased	31	smile	prep	unexpected	26.78742408752441	26.78742408752441
62	bert-base-cased	32	are	prep	expected	1.9042656421661377	1.9042656421661377
63	bert-base-cased	32	are	prep	unexpected	2.817174434661865	2.817174434661865
64	bert-base-cased	33	are	prep	expected	2.716517448425293	2.716517448425293
65	bert-base-cased	33	are	prep	unexpected	3.9113965034484863	3.9113965034484863
66	bert-base-cased	34	are	prep	expected	2.373709917068481	2.373709917068481
67	bert-base-cased	34	are	prep	unexpected	4.460843563079834	4.460843563079834
68	bert-base-cased	35	are	prep	expected	5.253239631652832	5.253239631652832
69	bert-base-cased	35	are	prep	unexpected	6.001937389373779	6.001937389373779
70	bert-base-cased	36	laugh	prep	expected	26.53737449645996	26.53737449645996
71	bert-base-cased	36	laugh	prep	unexpected	27.40019798278809	27.40019798278809
72	bert-base-cased	37	swim	prep	expected	27.113435745239254	27.113435745239254
73	bert-base-cased	37	swim	prep	unexpected	12.359389305114746	12.359389305114746
74	bert-base-cased	38	smile	prep	expected	24.81803703308105	24.81803703308105
75	bert-base-cased	38	smile	prep	unexpected	26.93075561523437	26.93075561523437
76	bert-base-cased	39	are	prep	expected	2.806771993637085	2.806771993637085
77	bert-base-cased	39	are	prep	unexpected	5.568617820739746	5.568617820739746
78	bert-base-cased	40	are	prep	expected	6.47459077835083	6.47459077835083
79	bert-base-cased	40	are	prep	unexpected	4.630118846893311	4.630118846893311
80	bert-base-cased	41	are	prep	expected	2.4356648921966557	2.4356648921966557
81	bert-base-cased	41	are	prep	unexpected	5.485654830932617	5.485654830932617
82	bert-base-cased	42	are	prep	expected	2.759814500808716	2.759814500808716
83	bert-base-cased	42	are	prep	unexpected	5.25705623626709	5.25705623626709
84	bert-base-cased	43	laugh	prep	expected	8.46680736541748	8.46680736541748
85	bert-base-cased	43	laugh	prep	unexpected	11.001253128051758	11.001253128051758
86	bert-base-cased	44	swim	prep	expected	13.947379112243652	13.947379112243652
87	bert-base-cased	44	swim	prep	unexpected	17.12654972076416	17.12654972076416
88	bert-base-cased	45	smile	prep	expected	7.003171443939209	7.003171443939209
89	bert-base-cased	45	smile	prep	unexpected	9.727725982666016	9.727725982666016
90	bert-base-cased	46	are	prep	expected	13.747336387634276	13.747336387634276
91	bert-base-cased	46	are	prep	unexpected	13.50104808807373	13.50104808807373
92	bert-base-cased	47	are	prep	expected	13.747336387634276	13.747336387634276
93	bert-base-cased	47	are	prep	unexpected	13.50104808807373	13.50104808807373
94	bert-base-cased	48	are	prep	expected	13.747336387634276	13.747336387634276
95	bert-base-cased	48	are	prep	unexpected	13.50104808807373	13.50104808807373
96	bert-base-cased	49	are	prep	expected	13.747336387634276	13.747336387634276
97	bert-base-cased	49	are	prep	unexpected	13.50104808807373	13.50104808807373
98	bert-base-cased	50	laugh	prep	expected	25.81036949157715	25.81036949157715
99	bert-base-cased	50	laugh	prep	unexpected	26.500459671020508	26.500459671020508
100	bert-base-cased	51	swim	prep	expected	27.73514747619629	27.73514747619629
101	bert-base-cased	51	swim	prep	unexpected	15.069952964782715	15.069952964782715
102	bert-base-cased	52	smile	prep	expected	23.81412124633789	23.81412124633789
103	bert-base-cased	52	smile	prep	unexpected	25.671396255493164	25.671396255493164
104	bert-base-cased	53	are	prep	expected	2.0878682136535645	2.0878682136535645
105	bert-base-cased	53	are	prep	unexpected	4.3720808029174805	4.3720808029174805
106	bert-base-cased	54	are	prep	expected	4.390783309936523	4.390783309936523
107	bert-base-cased	54	are	prep	unexpected	3.8777010440826416	3.8777010440826416
108	bert-base-cased	55	are	prep	expected	2.507942914962769	2.507942914962769
109	bert-base-cased	55	are	prep	unexpected	4.227657794952393	4.227657794952393
110	bert-base-cased	56	are	prep	expected	2.426024436950684	2.426024436950684
111	bert-base-cased	56	are	prep	unexpected	4.442437171936035	4.442437171936035
112	bert-base-cased	57	laugh	prep	expected	25.88420295715332	25.88420295715332
113	bert-base-cased	57	laugh	prep	unexpected	27.32670021057129	27.32670021057129
114	bert-base-cased	58	swim	prep	expected	26.9040641784668	26.9040641784668
115	bert-base-cased	58	swim	prep	unexpected	15.217832565307617	15.217832565307617
116	bert-base-cased	59	smile	prep	expected	23.12410545349121	23.12410545349121
117	bert-base-cased	59	smile	prep	unexpected	25.85430908203125	25.85430908203125
118	bert-base-cased	60	are	prep	expected	1.9795019626617432	1.9795019626617432
119	bert-base-cased	60	are	prep	unexpected	3.980124950408936	3.980124950408936
120	bert-base-cased	61	are	prep	expected	2.8819143772125244	2.8819143772125244
121	bert-base-cased	61	are	prep	unexpected	4.212156295776367	4.212156295776367
122	bert-base-cased	62	are	prep	expected	1.1334599256515503	1.1334599256515503
123	bert-base-cased	62	are	prep	unexpected	4.244083881378174	4.244083881378174
124	bert-base-cased	63	are	prep	expected	2.8181140422821045	2.8181140422821045
125	bert-base-cased	63	are	prep	unexpected	5.482231140136719	5.482231140136719
126	bert-base-cased	64	laugh	prep	expected	25.02947998046875	25.02947998046875
127	bert-base-cased	64	laugh	prep	unexpected	27.355398178100582	27.355398178100582
128	bert-base-cased	65	swim	prep	expected	26.60863494873047	26.60863494873047
129	bert-base-cased	65	swim	prep	unexpected	15.840277194976807	15.840277194976807
130	bert-base-cased	66	smile	prep	expected	23.38605308532715	23.38605308532715
131	bert-base-cased	66	smile	prep	unexpected	25.79337501525879	25.79337501525879
132	bert-base-cased	67	are	prep	expected	1.4034132957458496	1.4034132957458496
133	bert-base-cased	67	are	prep	unexpected	3.606079339981079	3.606079339981079
134	bert-base-cased	68	are	prep	expected	2.031658172607422	2.031658172607422
135	bert-base-cased	68	are	prep	unexpected	3.838757038116455	3.838757038116455
136	bert-base-cased	69	are	prep	expected	2.581843137741089	2.581843137741089
137	bert-base-cased	69	are	prep	unexpected	4.818491458892822	4.818491458892822
138	bert-base-cased	70	are	prep	expected	1.5081323385238647	1.5081323385238647
139	bert-base-cased	70	are	prep	unexpected	4.604311466217041	4.604311466217041
140	bert-base-cased	71	laugh	prep	expected	23.162208557128903	23.162208557128903
141	bert-base-cased	71	laugh	prep	unexpected	23.92706298828125	23.92706298828125
142	bert-base-cased	72	swim	prep	expected	25.328022003173828	25.328022003173828
143	bert-base-cased	72	swim	prep	unexpected	15.277437210083008	15.277437210083008
144	bert-base-cased	73	smile	prep	expected	21.745895385742188	21.745895385742188
145	bert-base-cased	73	smile	prep	unexpected	23.720977783203125	23.720977783203125
146	bert-base-cased	74	are	prep	expected	2.734221935272217	2.734221935272217
147	bert-base-cased	74	are	prep	unexpected	4.973722457885742	4.973722457885742
148	bert-base-cased	75	are	prep	expected	2.940795421600342	2.940795421600342
149	bert-base-cased	75	are	prep	unexpected	6.191507339477539	6.191507339477539
150	bert-base-cased	76	are	prep	expected	1.4213581085205078	1.4213581085205078
151	bert-base-cased	76	are	prep	unexpected	6.410781383514404	6.410781383514404
152	bert-base-cased	77	are	prep	expected	2.2467143535614014	2.2467143535614014
