	model	pairid	lemma	condition	comparison	surpsum	surpmean
0	bert-base-cased	1	himself	reflexive_sent_comp	expected	14.74251937866211	14.74251937866211
1	bert-base-cased	1	himself	reflexive_sent_comp	unexpected	16.05734634399414	16.05734634399414
2	bert-base-cased	2	herself	reflexive_sent_comp	expected	16.064382553100586	16.064382553100586
3	bert-base-cased	2	herself	reflexive_sent_comp	unexpected	16.05734634399414	16.05734634399414
4	bert-base-cased	3	himself	reflexive_sent_comp	expected	18.194807052612305	18.194807052612305
5	bert-base-cased	3	himself	reflexive_sent_comp	unexpected	20.790010452270508	20.790010452270508
6	bert-base-cased	4	herself	reflexive_sent_comp	expected	20.518943786621094	20.518943786621094
7	bert-base-cased	4	herself	reflexive_sent_comp	unexpected	20.790010452270508	20.790010452270508
8	bert-base-cased	5	himself	reflexive_sent_comp	expected	8.651331901550293	8.651331901550293
9	bert-base-cased	5	himself	reflexive_sent_comp	unexpected	9.308011054992676	9.308011054992676
10	bert-base-cased	6	herself	reflexive_sent_comp	expected	9.85306453704834	9.85306453704834
11	bert-base-cased	6	herself	reflexive_sent_comp	unexpected	9.308011054992676	9.308011054992676
12	bert-base-cased	7	himself	reflexive_sent_comp	expected	15.692450523376465	15.692450523376465
13	bert-base-cased	7	himself	reflexive_sent_comp	unexpected	17.6389102935791	17.6389102935791
14	bert-base-cased	8	herself	reflexive_sent_comp	expected	17.582178115844727	17.582178115844727
15	bert-base-cased	8	herself	reflexive_sent_comp	unexpected	17.6389102935791	17.6389102935791
16	bert-base-cased	9	himself	reflexive_sent_comp	expected	14.24126148223877	14.24126148223877
17	bert-base-cased	9	himself	reflexive_sent_comp	unexpected	16.501026153564453	16.501026153564453
18	bert-base-cased	10	herself	reflexive_sent_comp	expected	16.9268741607666	16.9268741607666
19	bert-base-cased	10	herself	reflexive_sent_comp	unexpected	16.501026153564453	16.501026153564453
20	bert-base-cased	11	himself	reflexive_sent_comp	expected	12.04362964630127	12.04362964630127
21	bert-base-cased	11	himself	reflexive_sent_comp	unexpected	12.376340866088867	12.376340866088867
22	bert-base-cased	12	herself	reflexive_sent_comp	expected	14.346654891967772	14.346654891967772
23	bert-base-cased	12	herself	reflexive_sent_comp	unexpected	12.376340866088867	12.376340866088867
24	bert-base-cased	13	himself	reflexive_sent_comp	expected	17.850967407226562	17.850967407226562
25	bert-base-cased	13	himself	reflexive_sent_comp	unexpected	19.724119186401367	19.724119186401367
26	bert-base-cased	14	herself	reflexive_sent_comp	expected	19.76639938354492	19.76639938354492
27	bert-base-cased	14	herself	reflexive_sent_comp	unexpected	19.724119186401367	19.724119186401367
28	bert-base-cased	15	himself	reflexive_sent_comp	expected	18.33344078063965	18.33344078063965
29	bert-base-cased	15	himself	reflexive_sent_comp	unexpected	21.71413803100586	21.71413803100586
30	bert-base-cased	16	herself	reflexive_sent_comp	expected	21.01677131652832	21.01677131652832
31	bert-base-cased	16	herself	reflexive_sent_comp	unexpected	21.71413803100586	21.71413803100586
32	bert-base-cased	17	himself	reflexive_sent_comp	expected	20.30166244506836	20.30166244506836
33	bert-base-cased	17	himself	reflexive_sent_comp	unexpected	25.131811141967773	25.131811141967773
34	bert-base-cased	18	herself	reflexive_sent_comp	expected	23.856773376464844	23.856773376464844
35	bert-base-cased	18	herself	reflexive_sent_comp	unexpected	25.131811141967773	25.131811141967773
36	bert-base-cased	19	himself	reflexive_sent_comp	expected	8.383400917053223	8.383400917053223
37	bert-base-cased	19	himself	reflexive_sent_comp	unexpected	10.899065017700195	10.899065017700195
38	bert-base-cased	20	herself	reflexive_sent_comp	expected	9.538575172424316	9.538575172424316
39	bert-base-cased	20	herself	reflexive_sent_comp	unexpected	10.899065017700195	10.899065017700195
40	bert-base-cased	21	himself	reflexive_sent_comp	expected	18.658992767333984	18.658992767333984
41	bert-base-cased	21	himself	reflexive_sent_comp	unexpected	21.74794006347656	21.74794006347656
42	bert-base-cased	22	herself	reflexive_sent_comp	expected	21.396881103515625	21.396881103515625
43	bert-base-cased	22	herself	reflexive_sent_comp	unexpected	21.74794006347656	21.74794006347656
44	bert-base-cased	23	himself	reflexive_sent_comp	expected	14.367635726928713	14.367635726928713
45	bert-base-cased	23	himself	reflexive_sent_comp	unexpected	18.76941680908203	18.76941680908203
46	bert-base-cased	24	herself	reflexive_sent_comp	expected	18.30714225769043	18.30714225769043
