	model	pairid	lemma	condition	comparison	surpsum	surpmean
0	bert-base-cased	1	likes	obj_rel_no_comp_within	expected	17.6219482421875	17.6219482421875
1	bert-base-cased	1	likes	obj_rel_no_comp_within	unexpected	11.944046020507812	11.944046020507812
2	bert-base-cased	2	likes	obj_rel_no_comp_within	expected	18.575647354125977	18.575647354125977
3	bert-base-cased	2	likes	obj_rel_no_comp_within	unexpected	13.506391525268556	13.506391525268556
4	bert-base-cased	3	likes	obj_rel_no_comp_within	expected	18.021602630615234	18.021602630615234
5	bert-base-cased	3	likes	obj_rel_no_comp_within	unexpected	12.227483749389648	12.227483749389648
6	bert-base-cased	4	likes	obj_rel_no_comp_within	expected	14.006651878356934	14.006651878356934
7	bert-base-cased	4	likes	obj_rel_no_comp_within	unexpected	14.6297607421875	14.6297607421875
8	bert-base-cased	5	likes	obj_rel_no_comp_within	expected	15.510869026184082	15.510869026184082
9	bert-base-cased	5	likes	obj_rel_no_comp_within	unexpected	15.013147354125977	15.013147354125977
10	bert-base-cased	6	likes	obj_rel_no_comp_within	expected	13.731656074523926	13.731656074523926
11	bert-base-cased	6	likes	obj_rel_no_comp_within	unexpected	13.32618808746338	13.32618808746338
12	bert-base-cased	7	likes	obj_rel_no_comp_within	expected	14.359111785888672	14.359111785888672
13	bert-base-cased	7	likes	obj_rel_no_comp_within	unexpected	16.195749282836914	16.195749282836914
14	bert-base-cased	8	admires	obj_rel_no_comp_within	expected	11.40529406070709	11.40529406070709
15	bert-base-cased	8	admires	obj_rel_no_comp_within	unexpected	21.12743759155273	21.12743759155273
16	bert-base-cased	9	admires	obj_rel_no_comp_within	expected	10.216118097305298	10.216118097305298
17	bert-base-cased	9	admires	obj_rel_no_comp_within	unexpected	20.532764434814453	20.532764434814453
18	bert-base-cased	10	admires	obj_rel_no_comp_within	expected	12.15757417678833	12.15757417678833
19	bert-base-cased	10	admires	obj_rel_no_comp_within	unexpected	20.46751976013184	20.46751976013184
20	bert-base-cased	11	admires	obj_rel_no_comp_within	expected	9.303722307085991	9.303722307085991
