sentid	comparison	pairid	contextid	lemma	condition	sentence	ROI
1	expected	1	1	דובר	long_vp_coord	ה מלצר דובר חמש שפות שונות ו דובר חמש שפות שונות	7
2	unexpected	1	1	דובר	long_vp_coord	ה מלצר דובר חמש שפות שונות ו דוברים חמש שפות שונות	7
3	expected	2	2	אוהב	long_vp_coord	ה מלצר דובר חמש שפות שונות ו אוהב לצפות ב תוכניות טלוויזיה	7
4	unexpected	2	2	אוהב	long_vp_coord	ה מלצר דובר חמש שפות שונות ו אוהבים לצפות ב תוכניות טלוויזיה	7
5	expected	3	3	גר	long_vp_coord	ה מלצר דובר חמש שפות שונות ו גר ב מרכז ה עיר	7
6	unexpected	3	3	גר	long_vp_coord	ה מלצר דובר חמש שפות שונות ו גרים ב מרכז ה עיר	7
7	expected	4	4	משחק	long_vp_coord	ה מלצר דובר חמש שפות שונות ו משחק כדורגל עם חברים	7
8	unexpected	4	4	משחק	long_vp_coord	ה מלצר דובר חמש שפות שונות ו משחקים כדורגל עם חברים	7
9	expected	5	5	כותב	long_vp_coord	ה מלצר דובר חמש שפות שונות ו כותב ב יומן מדי יום	7
10	unexpected	5	5	כותב	long_vp_coord	ה מלצר דובר חמש שפות שונות ו כותבים ב יומן מדי יום	7
11	expected	6	6	דובר	long_vp_coord	ה מנהל דובר חמש שפות שונות ו דובר חמש שפות שונות	7
12	unexpected	6	6	דובר	long_vp_coord	ה מנהל דובר חמש שפות שונות ו דוברים חמש שפות שונות	7
13	expected	7	7	אוהב	long_vp_coord	ה מנהל דובר חמש שפות שונות ו אוהב לצפות ב תוכניות טלוויזיה	7
14	unexpected	7	7	אוהב	long_vp_coord	ה מנהל דובר חמש שפות שונות ו אוהבים לצפות ב תוכניות טלוויזיה	7
15	expected	8	8	גר	long_vp_coord	ה מנהל דובר חמש שפות שונות ו גר ב מרכז ה עיר	7
16	unexpected	8	8	גר	long_vp_coord	ה מנהל דובר חמש שפות שונות ו גרים ב מרכז ה עיר	7
17	expected	9	9	משחק	long_vp_coord	ה מנהל דובר חמש שפות שונות ו משחק כדורגל עם חברים	7
18	unexpected	9	9	משחק	long_vp_coord	ה מנהל דובר חמש שפות שונות ו משחקים כדורגל עם חברים	7
19	expected	10	10	כותב	long_vp_coord	ה מנהל דובר חמש שפות שונות ו כותב ב יומן מדי יום	7
20	unexpected	10	10	כותב	long_vp_coord	ה מנהל דובר חמש שפות שונות ו כותבים ב יומן מדי יום	7
21	expected	11	11	דובר	long_vp_coord	ה חקלאי דובר חמש שפות שונות ו דובר חמש שפות שונות	7
22	unexpected	11	11	דובר	long_vp_coord	ה חקלאי דובר חמש שפות שונות ו דוברים חמש שפות שונות	7
