sentid	comparison	pairid	contextid	lemma	condition	sentence	ROI
1	expected	1	1	likes	long_vp_coord	the author knows many different foreign languages and likes to watch television shows	8
2	unexpected	1	1	likes	long_vp_coord	the author knows many different foreign languages and like to watch television shows	8
3	expected	2	2	is	long_vp_coord	the author knows many different foreign languages and is twenty three years old	8
4	unexpected	2	2	is	long_vp_coord	the author knows many different foreign languages and are twenty three years old	8
5	expected	3	3	enjoys	long_vp_coord	the author knows many different foreign languages and enjoys playing tennis with colleagues	8
6	unexpected	3	3	enjoys	long_vp_coord	the author knows many different foreign languages and enjoy playing tennis with colleagues	8
7	expected	4	4	writes	long_vp_coord	the author knows many different foreign languages and writes in a journal every day	8
8	unexpected	4	4	writes	long_vp_coord	the author knows many different foreign languages and write in a journal every day	8
9	expected	5	5	knows	long_vp_coord	the author likes to watch television shows and knows many different foreign languages	8
10	unexpected	5	5	knows	long_vp_coord	the author likes to watch television shows and know many different foreign languages	8
11	expected	6	6	is	long_vp_coord	the author likes to watch television shows and is twenty three years old	8
12	unexpected	6	6	is	long_vp_coord	the author likes to watch television shows and are twenty three years old	8
13	expected	7	7	enjoys	long_vp_coord	the author likes to watch television shows and enjoys playing tennis with colleagues	8
14	unexpected	7	7	enjoys	long_vp_coord	the author likes to watch television shows and enjoy playing tennis with colleagues	8
15	expected	8	8	writes	long_vp_coord	the author likes to watch television shows and writes in a journal every day	8
16	unexpected	8	8	writes	long_vp_coord	the author likes to watch television shows and write in a journal every day	8
17	expected	9	9	knows	long_vp_coord	the author is twenty three years old and knows many different foreign languages	8
18	unexpected	9	9	knows	long_vp_coord	the author is twenty three years old and know many different foreign languages	8
19	expected	10	10	likes	long_vp_coord	the author is twenty three years old and likes to watch television shows	8
20	unexpected	10	10	likes	long_vp_coord	the author is twenty three years old and like to watch television shows	8
21	expected	11	11	enjoys	long_vp_coord	the author is twenty three years old and enjoys playing tennis with colleagues	8
22	unexpected	11	11	enjoys	long_vp_coord	the author is twenty three years old and enjoy playing tennis with colleagues	8
23	expected	12	12	writes	long_vp_coord	the author is twenty three years old and writes in a journal every day	8
24	unexpected	12	12	writes	long_vp_coord	the author is twenty three years old and write in a journal every day	8
25	expected	13	13	knows	long_vp_coord	the author enjoys playing tennis with colleagues and knows many different foreign languages	8
26	unexpected	13	13	knows	long_vp_coord	the author enjoys playing tennis with colleagues and know many different foreign languages	8
27	expected	14	14	likes	long_vp_coord	the author enjoys playing tennis with colleagues and likes to watch television shows	8
28	unexpected	14	14	likes	long_vp_coord	the author enjoys playing tennis with colleagues and like to watch television shows	8
29	expected	15	15	is	long_vp_coord	the author enjoys playing tennis with colleagues and is twenty three years old	8
30	unexpected	15	15	is	long_vp_coord	the author enjoys playing tennis with colleagues and are twenty three years old	8
31	expected	16	16	writes	long_vp_coord	the author enjoys playing tennis with colleagues and writes in a journal every day	8
32	unexpected	16	16	writes	long_vp_coord	the author enjoys playing tennis with colleagues and write in a journal every day	8
33	expected	17	17	knows	long_vp_coord	the author writes in a journal every day and knows many different foreign languages	9
34	unexpected	17	17	knows	long_vp_coord	the author writes in a journal every day and know many different foreign languages	9
35	expected	18	18	likes	long_vp_coord	the author writes in a journal every day and likes to watch television shows	9
36	unexpected	18	18	likes	long_vp_coord	the author writes in a journal every day and like to watch television shows	9
37	expected	19	19	is	long_vp_coord	the author writes in a journal every day and is twenty three years old	9
38	unexpected	19	19	is	long_vp_coord	the author writes in a journal every day and are twenty three years old	9
39	expected	20	20	enjoys	long_vp_coord	the author writes in a journal every day and enjoys playing tennis with colleagues	9
40	unexpected	20	20	enjoys	long_vp_coord	the author writes in a journal every day and enjoy playing tennis with colleagues	9
41	expected	21	21	likes	long_vp_coord	the pilot knows many different foreign languages and likes to watch television shows	8
42	unexpected	21	21	likes	long_vp_coord	the pilot knows many different foreign languages and like to watch television shows	8
43	expected	22	22	is	long_vp_coord	the pilot knows many different foreign languages and is twenty three years old	8
44	unexpected	22	22	is	long_vp_coord	the pilot knows many different foreign languages and are twenty three years old	8
45	expected	23	23	enjoys	long_vp_coord	the pilot knows many different foreign languages and enjoys playing tennis with colleagues	8
46	unexpected	23	23	enjoys	long_vp_coord	the pilot knows many different foreign languages and enjoy playing tennis with colleagues	8
47	expected	24	24	writes	long_vp_coord	the pilot knows many different foreign languages and writes in a journal every day	8
48	unexpected	24	24	writes	long_vp_coord	the pilot knows many different foreign languages and write in a journal every day	8
49	expected	25	25	knows	long_vp_coord	the pilot likes to watch television shows and knows many different foreign languages	8
50	unexpected	25	25	knows	long_vp_coord	the pilot likes to watch television shows and know many different foreign languages	8
51	expected	26	26	is	long_vp_coord	the pilot likes to watch television shows and is twenty three years old	8
52	unexpected	26	26	is	long_vp_coord	the pilot likes to watch television shows and are twenty three years old	8
53	expected	27	27	enjoys	long_vp_coord	the pilot likes to watch television shows and enjoys playing tennis with colleagues	8
54	unexpected	27	27	enjoys	long_vp_coord	the pilot likes to watch television shows and enjoy playing tennis with colleagues	8
55	expected	28	28	writes	long_vp_coord	the pilot likes to watch television shows and writes in a journal every day	8
56	unexpected	28	28	writes	long_vp_coord	the pilot likes to watch television shows and write in a journal every day	8
57	expected	29	29	knows	long_vp_coord	the pilot is twenty three years old and knows many different foreign languages	8
58	unexpected	29	29	knows	long_vp_coord	the pilot is twenty three years old and know many different foreign languages	8
59	expected	30	30	likes	long_vp_coord	the pilot is twenty three years old and likes to watch television shows	8
60	unexpected	30	30	likes	long_vp_coord	the pilot is twenty three years old and like to watch television shows	8
61	expected	31	31	enjoys	long_vp_coord	the pilot is twenty three years old and enjoys playing tennis with colleagues	8
62	unexpected	31	31	enjoys	long_vp_coord	the pilot is twenty three years old and enjoy playing tennis with colleagues	8
63	expected	32	32	writes	long_vp_coord	the pilot is twenty three years old and writes in a journal every day	8
64	unexpected	32	32	writes	long_vp_coord	the pilot is twenty three years old and write in a journal every day	8
65	expected	33	33	knows	long_vp_coord	the pilot enjoys playing tennis with colleagues and knows many different foreign languages	8
66	unexpected	33	33	knows	long_vp_coord	the pilot enjoys playing tennis with colleagues and know many different foreign languages	8
67	expected	34	34	likes	long_vp_coord	the pilot enjoys playing tennis with colleagues and likes to watch television shows	8
68	unexpected	34	34	likes	long_vp_coord	the pilot enjoys playing tennis with colleagues and like to watch television shows	8
69	expected	35	35	is	long_vp_coord	the pilot enjoys playing tennis with colleagues and is twenty three years old	8
70	unexpected	35	35	is	long_vp_coord	the pilot enjoys playing tennis with colleagues and are twenty three years old	8
71	expected	36	36	writes	long_vp_coord	the pilot enjoys playing tennis with colleagues and writes in a journal every day	8
72	unexpected	36	36	writes	long_vp_coord	the pilot enjoys playing tennis with colleagues and write in a journal every day	8
73	expected	37	37	knows	long_vp_coord	the pilot writes in a journal every day and knows many different foreign languages	9
74	unexpected	37	37	knows	long_vp_coord	the pilot writes in a journal every day and know many different foreign languages	9
75	expected	38	38	likes	long_vp_coord	the pilot writes in a journal every day and likes to watch television shows	9
76	unexpected	38	38	likes	long_vp_coord	the pilot writes in a journal every day and like to watch television shows	9
77	expected	39	39	is	long_vp_coord	the pilot writes in a journal every day and is twenty three years old	9
78	unexpected	39	39	is	long_vp_coord	the pilot writes in a journal every day and are twenty three years old	9
79	expected	40	40	enjoys	long_vp_coord	the pilot writes in a journal every day and enjoys playing tennis with colleagues	9
80	unexpected	40	40	enjoys	long_vp_coord	the pilot writes in a journal every day and enjoy playing tennis with colleagues	9
81	expected	41	41	likes	long_vp_coord	the surgeon knows many different foreign languages and likes to watch television shows	8
82	unexpected	41	41	likes	long_vp_coord	the surgeon knows many different foreign languages and like to watch television shows	8
83	expected	42	42	is	long_vp_coord	the surgeon knows many different foreign languages and is twenty three years old	8
84	unexpected	42	42	is	long_vp_coord	the surgeon knows many different foreign languages and are twenty three years old	8
85	expected	43	43	enjoys	long_vp_coord	the surgeon knows many different foreign languages and enjoys playing tennis with colleagues	8
86	unexpected	43	43	enjoys	long_vp_coord	the surgeon knows many different foreign languages and enjoy playing tennis with colleagues	8
87	expected	44	44	writes	long_vp_coord	the surgeon knows many different foreign languages and writes in a journal every day	8
