sentid	comparison	pairid	contextid	lemma	condition	sentence	ROI
1	expected	1	1	schwimmt	vp_coord	der Schriftsteller schwimmt und schwimmt	4
2	unexpected	1	1	schwimmt	vp_coord	der Schriftsteller schwimmt und schwimmen	4
3	expected	2	2	lacht	vp_coord	der Schriftsteller schwimmt und lacht	4
4	unexpected	2	2	lacht	vp_coord	der Schriftsteller schwimmt und lachen	4
5	expected	3	3	spricht	vp_coord	der Schriftsteller schwimmt und spricht	4
6	unexpected	3	3	spricht	vp_coord	der Schriftsteller schwimmt und sprechen	4
7	expected	4	4	ist	vp_coord	der Schriftsteller schwimmt und ist klein	4
8	unexpected	4	4	ist	vp_coord	der Schriftsteller schwimmt und sind klein	4
9	expected	5	5	ist	vp_coord	der Schriftsteller schwimmt und ist groß	4
10	unexpected	5	5	ist	vp_coord	der Schriftsteller schwimmt und sind groß	4
11	expected	6	6	ist	vp_coord	der Schriftsteller schwimmt und ist alt	4
12	unexpected	6	6	ist	vp_coord	der Schriftsteller schwimmt und sind alt	4
13	expected	7	7	ist	vp_coord	der Schriftsteller schwimmt und ist jung	4
14	unexpected	7	7	ist	vp_coord	der Schriftsteller schwimmt und sind jung	4
15	expected	8	8	schwimmt	vp_coord	der Direktor schwimmt und schwimmt	4
16	unexpected	8	8	schwimmt	vp_coord	der Direktor schwimmt und schwimmen	4
17	expected	9	9	lacht	vp_coord	der Direktor schwimmt und lacht	4
18	unexpected	9	9	lacht	vp_coord	der Direktor schwimmt und lachen	4
19	expected	10	10	spricht	vp_coord	der Direktor schwimmt und spricht	4
20	unexpected	10	10	spricht	vp_coord	der Direktor schwimmt und sprechen	4
21	expected	11	11	ist	vp_coord	der Direktor schwimmt und ist klein	4
22	unexpected	11	11	ist	vp_coord	der Direktor schwimmt und sind klein	4
23	expected	12	12	ist	vp_coord	der Direktor schwimmt und ist groß	4
24	unexpected	12	12	ist	vp_coord	der Direktor schwimmt und sind groß	4
25	expected	13	13	ist	vp_coord	der Direktor schwimmt und ist alt	4
26	unexpected	13	13	ist	vp_coord	der Direktor schwimmt und sind alt	4
27	expected	14	14	ist	vp_coord	der Direktor schwimmt und ist jung	4
28	unexpected	14	14	ist	vp_coord	der Direktor schwimmt und sind jung	4
29	expected	15	15	schwimmt	vp_coord	der Bauer schwimmt und schwimmt	4
30	unexpected	15	15	schwimmt	vp_coord	der Bauer schwimmt und schwimmen	4
31	expected	16	16	lacht	vp_coord	der Bauer schwimmt und lacht	4
32	unexpected	16	16	lacht	vp_coord	der Bauer schwimmt und lachen	4
33	expected	17	17	spricht	vp_coord	der Bauer schwimmt und spricht	4
34	unexpected	17	17	spricht	vp_coord	der Bauer schwimmt und sprechen	4
35	expected	18	18	ist	vp_coord	der Bauer schwimmt und ist klein	4
36	unexpected	18	18	ist	vp_coord	der Bauer schwimmt und sind klein	4
37	expected	19	19	ist	vp_coord	der Bauer schwimmt und ist groß	4
38	unexpected	19	19	ist	vp_coord	der Bauer schwimmt und sind groß	4
39	expected	20	20	ist	vp_coord	der Bauer schwimmt und ist alt	4
40	unexpected	20	20	ist	vp_coord	der Bauer schwimmt und sind alt	4
41	expected	21	21	ist	vp_coord	der Bauer schwimmt und ist jung	4
42	unexpected	21	21	ist	vp_coord	der Bauer schwimmt und sind jung	4
43	expected	22	22	schwimmt	vp_coord	der Chirurg schwimmt und schwimmt	4
44	unexpected	22	22	schwimmt	vp_coord	der Chirurg schwimmt und schwimmen	4
45	expected	23	23	lacht	vp_coord	der Chirurg schwimmt und lacht	4
46	unexpected	23	23	lacht	vp_coord	der Chirurg schwimmt und lachen	4
47	expected	24	24	spricht	vp_coord	der Chirurg schwimmt und spricht	4
48	unexpected	24	24	spricht	vp_coord	der Chirurg schwimmt und sprechen	4
49	expected	25	25	ist	vp_coord	der Chirurg schwimmt und ist klein	4
50	unexpected	25	25	ist	vp_coord	der Chirurg schwimmt und sind klein	4
51	expected	26	26	ist	vp_coord	der Chirurg schwimmt und ist groß	4
52	unexpected	26	26	ist	vp_coord	der Chirurg schwimmt und sind groß	4
53	expected	27	27	ist	vp_coord	der Chirurg schwimmt und ist alt	4
54	unexpected	27	27	ist	vp_coord	der Chirurg schwimmt und sind alt	4
55	expected	28	28	ist	vp_coord	der Chirurg schwimmt und ist jung	4
56	unexpected	28	28	ist	vp_coord	der Chirurg schwimmt und sind jung	4
57	expected	29	29	schwimmt	vp_coord	der Senator schwimmt und schwimmt	4
58	unexpected	29	29	schwimmt	vp_coord	der Senator schwimmt und schwimmen	4
59	expected	30	30	lacht	vp_coord	der Senator schwimmt und lacht	4
60	unexpected	30	30	lacht	vp_coord	der Senator schwimmt und lachen	4
61	expected	31	31	spricht	vp_coord	der Senator schwimmt und spricht	4
62	unexpected	31	31	spricht	vp_coord	der Senator schwimmt und sprechen	4
63	expected	32	32	ist	vp_coord	der Senator schwimmt und ist klein	4
64	unexpected	32	32	ist	vp_coord	der Senator schwimmt und sind klein	4
65	expected	33	33	ist	vp_coord	der Senator schwimmt und ist groß	4
66	unexpected	33	33	ist	vp_coord	der Senator schwimmt und sind groß	4
67	expected	34	34	ist	vp_coord	der Senator schwimmt und ist alt	4
68	unexpected	34	34	ist	vp_coord	der Senator schwimmt und sind alt	4
69	expected	35	35	ist	vp_coord	der Senator schwimmt und ist jung	4
70	unexpected	35	35	ist	vp_coord	der Senator schwimmt und sind jung	4
71	expected	36	36	schwimmt	vp_coord	der Lehrer schwimmt und schwimmt	4
72	unexpected	36	36	schwimmt	vp_coord	der Lehrer schwimmt und schwimmen	4
73	expected	37	37	lacht	vp_coord	der Lehrer schwimmt und lacht	4
74	unexpected	37	37	lacht	vp_coord	der Lehrer schwimmt und lachen	4
75	expected	38	38	spricht	vp_coord	der Lehrer schwimmt und spricht	4
76	unexpected	38	38	spricht	vp_coord	der Lehrer schwimmt und sprechen	4
