	model	pairid	lemma	condition	comparison	surpsum	surpmean
0	bert-base-cased	1	themselves	simple_reflexives	expected	14.13353157043457	14.13353157043457
1	bert-base-cased	1	themselves	simple_reflexives	unexpected	16.418811798095703	16.418811798095703
2	bert-base-cased	2	themselves	simple_reflexives	expected	14.13353157043457	14.13353157043457
3	bert-base-cased	2	themselves	simple_reflexives	unexpected	18.08230972290039	18.08230972290039
4	bert-base-cased	3	themselves	simple_reflexives	expected	15.671514511108398	15.671514511108398
5	bert-base-cased	3	themselves	simple_reflexives	unexpected	17.635356903076172	17.635356903076172
6	bert-base-cased	4	themselves	simple_reflexives	expected	15.671514511108398	15.671514511108398
7	bert-base-cased	4	themselves	simple_reflexives	unexpected	19.995569229125977	19.995569229125977
8	bert-base-cased	5	themselves	simple_reflexives	expected	7.886086463928223	7.886086463928223
9	bert-base-cased	5	themselves	simple_reflexives	unexpected	7.852715492248535	7.852715492248535
10	bert-base-cased	6	themselves	simple_reflexives	expected	7.886086463928223	7.886086463928223
11	bert-base-cased	6	themselves	simple_reflexives	unexpected	9.209707260131836	9.209707260131836
12	bert-base-cased	7	themselves	simple_reflexives	expected	15.652673721313477	15.652673721313477
13	bert-base-cased	7	themselves	simple_reflexives	unexpected	16.64385414123535	16.64385414123535
14	bert-base-cased	8	themselves	simple_reflexives	expected	15.652673721313477	15.652673721313477
15	bert-base-cased	8	themselves	simple_reflexives	unexpected	18.37944221496582	18.37944221496582
16	bert-base-cased	9	themselves	simple_reflexives	expected	14.641736030578612	14.641736030578612
17	bert-base-cased	9	themselves	simple_reflexives	unexpected	16.61589813232422	16.61589813232422
18	bert-base-cased	10	themselves	simple_reflexives	expected	14.641736030578612	14.641736030578612
19	bert-base-cased	10	themselves	simple_reflexives	unexpected	18.77203750610352	18.77203750610352
20	bert-base-cased	11	themselves	simple_reflexives	expected	12.033589363098145	12.033589363098145
21	bert-base-cased	11	themselves	simple_reflexives	unexpected	14.039383888244627	14.039383888244627
22	bert-base-cased	12	themselves	simple_reflexives	expected	12.033589363098145	12.033589363098145
23	bert-base-cased	12	themselves	simple_reflexives	unexpected	15.409187316894531	15.409187316894531
24	bert-base-cased	13	themselves	simple_reflexives	expected	20.5001163482666	20.5001163482666
25	bert-base-cased	13	themselves	simple_reflexives	unexpected	19.647897720336918	19.647897720336918
26	bert-base-cased	14	themselves	simple_reflexives	expected	20.5001163482666	20.5001163482666
