sentid	comparison	pairid	contextid	lemma	condition	sentence	ROI
1	expected	1	1	sont	simple_agrmt	les auteurs sont vieux	2
2	unexpected	1	1	sont	simple_agrmt	les auteurs est vieux	2
3	expected	2	2	sont	simple_agrmt	les auteurs sont jeunes	2,3
4	unexpected	2	2	sont	simple_agrmt	les auteurs est jeune	2,3
5	expected	3	3	sont	simple_agrmt	les auteurs sont petits	2,3
6	unexpected	3	3	sont	simple_agrmt	les auteurs est petit	2,3
7	expected	4	4	sont	simple_agrmt	les auteurs sont grands	2,3
8	unexpected	4	4	sont	simple_agrmt	les auteurs est grand	2,3
9	expected	5	5	déménagent	simple_agrmt	les auteurs déménagent	2
10	unexpected	5	5	déménagent	simple_agrmt	les auteurs déménage	2
11	expected	6	6	parlent	simple_agrmt	les auteurs parlent	2
12	unexpected	6	6	parlent	simple_agrmt	les auteurs parle	2
13	expected	7	7	retournent	simple_agrmt	les auteurs retournent	2
14	unexpected	7	7	retournent	simple_agrmt	les auteurs retourne	2
15	expected	8	8	sont	simple_agrmt	les directeurs sont vieux	2
16	unexpected	8	8	sont	simple_agrmt	les directeurs est vieux	2
17	expected	9	9	sont	simple_agrmt	les directeurs sont jeunes	2,3
18	unexpected	9	9	sont	simple_agrmt	les directeurs est jeune	2,3
19	expected	10	10	sont	simple_agrmt	les directeurs sont petits	2,3
20	unexpected	10	10	sont	simple_agrmt	les directeurs est petit	2,3
21	expected	11	11	sont	simple_agrmt	les directeurs sont grands	2,3
22	unexpected	11	11	sont	simple_agrmt	les directeurs est grand	2,3
23	expected	12	12	déménagent	simple_agrmt	les directeurs déménagent	2
24	unexpected	12	12	déménagent	simple_agrmt	les directeurs déménage	2
25	expected	13	13	parlent	simple_agrmt	les directeurs parlent	2
26	unexpected	13	13	parlent	simple_agrmt	les directeurs parle	2
27	expected	14	14	retournent	simple_agrmt	les directeurs retournent	2
28	unexpected	14	14	retournent	simple_agrmt	les directeurs retourne	2
29	expected	15	15	sont	simple_agrmt	les agriculteurs sont vieux	2
30	unexpected	15	15	sont	simple_agrmt	les agriculteurs est vieux	2
31	expected	16	16	sont	simple_agrmt	les agriculteurs sont jeunes	2,3
32	unexpected	16	16	sont	simple_agrmt	les agriculteurs est jeune	2,3
33	expected	17	17	sont	simple_agrmt	les agriculteurs sont petits	2,3
34	unexpected	17	17	sont	simple_agrmt	les agriculteurs est petit	2,3
35	expected	18	18	sont	simple_agrmt	les agriculteurs sont grands	2,3
36	unexpected	18	18	sont	simple_agrmt	les agriculteurs est grand	2,3
37	expected	19	19	déménagent	simple_agrmt	les agriculteurs déménagent	2
38	unexpected	19	19	déménagent	simple_agrmt	les agriculteurs déménage	2
39	expected	20	20	parlent	simple_agrmt	les agriculteurs parlent	2
40	unexpected	20	20	parlent	simple_agrmt	les agriculteurs parle	2
41	expected	21	21	retournent	simple_agrmt	les agriculteurs retournent	2
42	unexpected	21	21	retournent	simple_agrmt	les agriculteurs retourne	2
43	expected	22	22	sont	simple_agrmt	les chirurgiens sont vieux	2
44	unexpected	22	22	sont	simple_agrmt	les chirurgiens est vieux	2
45	expected	23	23	sont	simple_agrmt	les chirurgiens sont jeunes	2,3
46	unexpected	23	23	sont	simple_agrmt	les chirurgiens est jeune	2,3
47	expected	24	24	sont	simple_agrmt	les chirurgiens sont petits	2,3
48	unexpected	24	24	sont	simple_agrmt	les chirurgiens est petit	2,3
49	expected	25	25	sont	simple_agrmt	les chirurgiens sont grands	2,3
50	unexpected	25	25	sont	simple_agrmt	les chirurgiens est grand	2,3
51	expected	26	26	déménagent	simple_agrmt	les chirurgiens déménagent	2
52	unexpected	26	26	déménagent	simple_agrmt	les chirurgiens déménage	2
