sentid	comparison	pairid	contextid	lemma	condition	sentence	ROI
1	expected	1	1	רוקד	subj_rel	ה מלצר ש אוהב את ה שומר רוקד	7
2	unexpected	1	1	רוקד	subj_rel	ה מלצר ש אוהב את ה שומר רוקדים	7
3	expected	2	2	נוסע	subj_rel	ה מלצר ש אוהב את ה שומר נוסע	7
4	unexpected	2	2	נוסע	subj_rel	ה מלצר ש אוהב את ה שומר נוסעים	7
5	expected	3	3	רץ	subj_rel	ה מלצר ש אוהב את ה שומר רץ	7
6	unexpected	3	3	רץ	subj_rel	ה מלצר ש אוהב את ה שומר רצים	7
7	expected	4	4	ישן	subj_rel	ה מלצר ש אוהב את ה שומר ישן	7
8	unexpected	4	4	ישן	subj_rel	ה מלצר ש אוהב את ה שומר ישנים	7
9	expected	5	5	שוחה	subj_rel	ה מלצר ש אוהב את ה שומר שוחה	7
10	unexpected	5	5	שוחה	subj_rel	ה מלצר ש אוהב את ה שומר שוחים	7
11	expected	6	6	חי	subj_rel	ה מלצר ש אוהב את ה שומר חי	7
12	unexpected	6	6	חי	subj_rel	ה מלצר ש אוהב את ה שומר חיים	7
13	expected	7	7	צוחק	subj_rel	ה מלצר ש אוהב את ה שומר צוחק	7
14	unexpected	7	7	צוחק	subj_rel	ה מלצר ש אוהב את ה שומר צוחקים	7
15	expected	8	8	רוקד	subj_rel	ה מנהל ש אוהב את ה שומר רוקד	7
16	unexpected	8	8	רוקד	subj_rel	ה מנהל ש אוהב את ה שומר רוקדים	7
17	expected	9	9	נוסע	subj_rel	ה מנהל ש אוהב את ה שומר נוסע	7
18	unexpected	9	9	נוסע	subj_rel	ה מנהל ש אוהב את ה שומר נוסעים	7
19	expected	10	10	רץ	subj_rel	ה מנהל ש אוהב את ה שומר רץ	7
20	unexpected	10	10	רץ	subj_rel	ה מנהל ש אוהב את ה שומר רצים	7
21	expected	11	11	ישן	subj_rel	ה מנהל ש אוהב את ה שומר ישן	7
22	unexpected	11	11	ישן	subj_rel	ה מנהל ש אוהב את ה שומר ישנים	7
23	expected	12	12	שוחה	subj_rel	ה מנהל ש אוהב את ה שומר שוחה	7
24	unexpected	12	12	שוחה	subj_rel	ה מנהל ש אוהב את ה שומר שוחים	7
25	expected	13	13	חי	subj_rel	ה מנהל ש אוהב את ה שומר חי	7
26	unexpected	13	13	חי	subj_rel	ה מנהל ש אוהב את ה שומר חיים	7
27	expected	14	14	צוחק	subj_rel	ה מנהל ש אוהב את ה שומר צוחק	7
28	unexpected	14	14	צוחק	subj_rel	ה מנהל ש אוהב את ה שומר צוחקים	7
29	expected	15	15	רוקד	subj_rel	ה חקלאי ש אוהב את ה שומר רוקד	7
30	unexpected	15	15	רוקד	subj_rel	ה חקלאי ש אוהב את ה שומר רוקדים	7
31	expected	16	16	נוסע	subj_rel	ה חקלאי ש אוהב את ה שומר נוסע	7
32	unexpected	16	16	נוסע	subj_rel	ה חקלאי ש אוהב את ה שומר נוסעים	7
33	expected	17	17	רץ	subj_rel	ה חקלאי ש אוהב את ה שומר רץ	7
34	unexpected	17	17	רץ	subj_rel	ה חקלאי ש אוהב את ה שומר רצים	7
35	expected	18	18	ישן	subj_rel	ה חקלאי ש אוהב את ה שומר ישן	7
36	unexpected	18	18	ישן	subj_rel	ה חקלאי ש אוהב את ה שומר ישנים	7
37	expected	19	19	שוחה	subj_rel	ה חקלאי ש אוהב את ה שומר שוחה	7
38	unexpected	19	19	שוחה	subj_rel	ה חקלאי ש אוהב את ה שומר שוחים	7
39	expected	20	20	חי	subj_rel	ה חקלאי ש אוהב את ה שומר חי	7
40	unexpected	20	20	חי	subj_rel	ה חקלאי ש אוהב את ה שומר חיים	7
41	expected	21	21	צוחק	subj_rel	ה חקלאי ש אוהב את ה שומר צוחק	7
42	unexpected	21	21	צוחק	subj_rel	ה חקלאי ש אוהב את ה שומר צוחקים	7
43	expected	22	22	רוקד	subj_rel	ה רופא ש אוהב את ה שומר רוקד	7
44	unexpected	22	22	רוקד	subj_rel	ה רופא ש אוהב את ה שומר רוקדים	7
45	expected	23	23	נוסע	subj_rel	ה רופא ש אוהב את ה שומר נוסע	7
46	unexpected	23	23	נוסע	subj_rel	ה רופא ש אוהב את ה שומר נוסעים	7
47	expected	24	24	רץ	subj_rel	ה רופא ש אוהב את ה שומר רץ	7
48	unexpected	24	24	רץ	subj_rel	ה רופא ש אוהב את ה שומר רצים	7
49	expected	25	25	ישן	subj_rel	ה רופא ש אוהב את ה שומר ישן	7
50	unexpected	25	25	ישן	subj_rel	ה רופא ש אוהב את ה שומר ישנים	7
51	expected	26	26	שוחה	subj_rel	ה רופא ש אוהב את ה שומר שוחה	7
52	unexpected	26	26	שוחה	subj_rel	ה רופא ש אוהב את ה שומר שוחים	7
53	expected	27	27	חי	subj_rel	ה רופא ש אוהב את ה שומר חי	7
54	unexpected	27	27	חי	subj_rel	ה רופא ש אוהב את ה שומר חיים	7
55	expected	28	28	צוחק	subj_rel	ה רופא ש אוהב את ה שומר צוחק	7
56	unexpected	28	28	צוחק	subj_rel	ה רופא ש אוהב את ה שומר צוחקים	7
57	expected	29	29	רוקד	subj_rel	ה טבח ש אוהב את ה שומר רוקד	7
58	unexpected	29	29	רוקד	subj_rel	ה טבח ש אוהב את ה שומר רוקדים	7
59	expected	30	30	נוסע	subj_rel	ה טבח ש אוהב את ה שומר נוסע	7
60	unexpected	30	30	נוסע	subj_rel	ה טבח ש אוהב את ה שומר נוסעים	7
61	expected	31	31	רץ	subj_rel	ה טבח ש אוהב את ה שומר רץ	7
62	unexpected	31	31	רץ	subj_rel	ה טבח ש אוהב את ה שומר רצים	7
63	expected	32	32	ישן	subj_rel	ה טבח ש אוהב את ה שומר ישן	7
64	unexpected	32	32	ישן	subj_rel	ה טבח ש אוהב את ה שומר ישנים	7
65	expected	33	33	שוחה	subj_rel	ה טבח ש אוהב את ה שומר שוחה	7
66	unexpected	33	33	שוחה	subj_rel	ה טבח ש אוהב את ה שומר שוחים	7
67	expected	34	34	חי	subj_rel	ה טבח ש אוהב את ה שומר חי	7
68	unexpected	34	34	חי	subj_rel	ה טבח ש אוהב את ה שומר חיים	7
69	expected	35	35	צוחק	subj_rel	ה טבח ש אוהב את ה שומר צוחק	7
70	unexpected	35	35	צוחק	subj_rel	ה טבח ש אוהב את ה שומר צוחקים	7
71	expected	36	36	רוקד	subj_rel	ה נהג ש אוהב את ה שומר רוקד	7
72	unexpected	36	36	רוקד	subj_rel	ה נהג ש אוהב את ה שומר רוקדים	7
73	expected	37	37	נוסע	subj_rel	ה נהג ש אוהב את ה שומר נוסע	7
74	unexpected	37	37	נוסע	subj_rel	ה נהג ש אוהב את ה שומר נוסעים	7
75	expected	38	38	רץ	subj_rel	ה נהג ש אוהב את ה שומר רץ	7
76	unexpected	38	38	רץ	subj_rel	ה נהג ש אוהב את ה שומר רצים	7
77	expected	39	39	ישן	subj_rel	ה נהג ש אוהב את ה שומר ישן	7
78	unexpected	39	39	ישן	subj_rel	ה נהג ש אוהב את ה שומר ישנים	7
79	expected	40	40	שוחה	subj_rel	ה נהג ש אוהב את ה שומר שוחה	7
80	unexpected	40	40	שוחה	subj_rel	ה נהג ש אוהב את ה שומר שוחים	7
81	expected	41	41	חי	subj_rel	ה נהג ש אוהב את ה שומר חי	7
82	unexpected	41	41	חי	subj_rel	ה נהג ש אוהב את ה שומר חיים	7
83	expected	42	42	צוחק	subj_rel	ה נהג ש אוהב את ה שומר צוחק	7
84	unexpected	42	42	צוחק	subj_rel	ה נהג ש אוהב את ה שומר צוחקים	7
85	expected	43	43	רוקד	subj_rel	ה חייל ש אוהב את ה שומר רוקד	7
86	unexpected	43	43	רוקד	subj_rel	ה חייל ש אוהב את ה שומר רוקדים	7
87	expected	44	44	נוסע	subj_rel	ה חייל ש אוהב את ה שומר נוסע	7
88	unexpected	44	44	נוסע	subj_rel	ה חייל ש אוהב את ה שומר נוסעים	7
89	expected	45	45	רץ	subj_rel	ה חייל ש אוהב את ה שומר רץ	7
90	unexpected	45	45	רץ	subj_rel	ה חייל ש אוהב את ה שומר רצים	7
91	expected	46	46	ישן	subj_rel	ה חייל ש אוהב את ה שומר ישן	7
92	unexpected	46	46	ישן	subj_rel	ה חייל ש אוהב את ה שומר ישנים	7
93	expected	47	47	שוחה	subj_rel	ה חייל ש אוהב את ה שומר שוחה	7
94	unexpected	47	47	שוחה	subj_rel	ה חייל ש אוהב את ה שומר שוחים	7
95	expected	48	48	חי	subj_rel	ה חייל ש אוהב את ה שומר חי	7
96	unexpected	48	48	חי	subj_rel	ה חייל ש אוהב את ה שומר חיים	7
97	expected	49	49	צוחק	subj_rel	ה חייל ש אוהב את ה שומר צוחק	7
98	unexpected	49	49	צוחק	subj_rel	ה חייל ש אוהב את ה שומר צוחקים	7
99	expected	50	50	רוקד	subj_rel	ה קצין ש אוהב את ה שומר רוקד	7
100	unexpected	50	50	רוקד	subj_rel	ה קצין ש אוהב את ה שומר רוקדים	7
101	expected	51	51	נוסע	subj_rel	ה קצין ש אוהב את ה שומר נוסע	7
102	unexpected	51	51	נוסע	subj_rel	ה קצין ש אוהב את ה שומר נוסעים	7
103	expected	52	52	רץ	subj_rel	ה קצין ש אוהב את ה שומר רץ	7
104	unexpected	52	52	רץ	subj_rel	ה קצין ש אוהב את ה שומר רצים	7
105	expected	53	53	ישן	subj_rel	ה קצין ש אוהב את ה שומר ישן	7
106	unexpected	53	53	ישן	subj_rel	ה קצין ש אוהב את ה שומר ישנים	7
107	expected	54	54	שוחה	subj_rel	ה קצין ש אוהב את ה שומר שוחה	7
108	unexpected	54	54	שוחה	subj_rel	ה קצין ש אוהב את ה שומר שוחים	7
109	expected	55	55	חי	subj_rel	ה קצין ש אוהב את ה שומר חי	7
110	unexpected	55	55	חי	subj_rel	ה קצין ש אוהב את ה שומר חיים	7
111	expected	56	56	צוחק	subj_rel	ה קצין ש אוהב את ה שומר צוחק	7
112	unexpected	56	56	צוחק	subj_rel	ה קצין ש אוהב את ה שומר צוחקים	7
113	expected	57	57	רוקד	subj_rel	ה טייס ש אוהב את ה שומר רוקד	7
114	unexpected	57	57	רוקד	subj_rel	ה טייס ש אוהב את ה שומר רוקדים	7
115	expected	58	58	נוסע	subj_rel	ה טייס ש אוהב את ה שומר נוסע	7
116	unexpected	58	58	נוסע	subj_rel	ה טייס ש אוהב את ה שומר נוסעים	7
117	expected	59	59	רץ	subj_rel	ה טייס ש אוהב את ה שומר רץ	7
118	unexpected	59	59	רץ	subj_rel	ה טייס ש אוהב את ה שומר רצים	7
119	expected	60	60	ישן	subj_rel	ה טייס ש אוהב את ה שומר ישן	7
120	unexpected	60	60	ישן	subj_rel	ה טייס ש אוהב את ה שומר ישנים	7
121	expected	61	61	שוחה	subj_rel	ה טייס ש אוהב את ה שומר שוחה	7
122	unexpected	61	61	שוחה	subj_rel	ה טייס ש אוהב את ה שומר שוחים	7
123	expected	62	62	חי	subj_rel	ה טייס ש אוהב את ה שומר חי	7
124	unexpected	62	62	חי	subj_rel	ה טייס ש אוהב את ה שומר חיים	7
125	expected	63	63	צוחק	subj_rel	ה טייס ש אוהב את ה שומר צוחק	7
126	unexpected	63	63	צוחק	subj_rel	ה טייס ש אוהב את ה שומר צוחקים	7
127	expected	64	64	רוקד	subj_rel	ה יועץ ש אוהב את ה שומר רוקד	7
128	unexpected	64	64	רוקד	subj_rel	ה יועץ ש אוהב את ה שומר רוקדים	7
129	expected	65	65	נוסע	subj_rel	ה יועץ ש אוהב את ה שומר נוסע	7
130	unexpected	65	65	נוסע	subj_rel	ה יועץ ש אוהב את ה שומר נוסעים	7
131	expected	66	66	רץ	subj_rel	ה יועץ ש אוהב את ה שומר רץ	7
132	unexpected	66	66	רץ	subj_rel	ה יועץ ש אוהב את ה שומר רצים	7
133	expected	67	67	ישן	subj_rel	ה יועץ ש אוהב את ה שומר ישן	7
134	unexpected	67	67	ישן	subj_rel	ה יועץ ש אוהב את ה שומר ישנים	7
