	model	pairid	lemma	condition	comparison	surpsum	surpmean
0	bert-base-cased	1	laughs	obj_rel_across	expected	20.965166091918945	20.965166091918945
1	bert-base-cased	1	laughs	obj_rel_across	unexpected	24.367677688598636	24.367677688598636
2	bert-base-cased	2	swims	obj_rel_across	expected	12.808289051055908	12.808289051055908
3	bert-base-cased	2	swims	obj_rel_across	unexpected	28.36871337890625	28.36871337890625
4	bert-base-cased	3	smiles	obj_rel_across	expected	21.417266845703125	21.417266845703125
5	bert-base-cased	3	smiles	obj_rel_across	unexpected	22.909645080566406	22.909645080566406
6	bert-base-cased	4	is	obj_rel_across	expected	4.021292209625244	4.021292209625244
7	bert-base-cased	4	is	obj_rel_across	unexpected	3.7029411792755127	3.7029411792755127
8	bert-base-cased	5	is	obj_rel_across	expected	8.775443077087402	8.775443077087402
9	bert-base-cased	5	is	obj_rel_across	unexpected	8.054677963256836	8.054677963256836
10	bert-base-cased	6	is	obj_rel_across	expected	8.747004508972168	8.747004508972168
11	bert-base-cased	6	is	obj_rel_across	unexpected	7.358343601226807	7.358343601226807
12	bert-base-cased	7	is	obj_rel_across	expected	1.939830303192139	1.939830303192139
13	bert-base-cased	7	is	obj_rel_across	unexpected	3.605791568756104	3.605791568756104
14	bert-base-cased	8	laughs	obj_rel_across	expected	23.7783260345459	23.7783260345459
15	bert-base-cased	8	laughs	obj_rel_across	unexpected	28.40652275085449	28.40652275085449
16	bert-base-cased	9	swims	obj_rel_across	expected	16.231043815612793	16.231043815612793
17	bert-base-cased	9	swims	obj_rel_across	unexpected	29.673097610473636	29.673097610473636
18	bert-base-cased	10	smiles	obj_rel_across	expected	23.469072341918945	23.469072341918945
19	bert-base-cased	10	smiles	obj_rel_across	unexpected	26.184600830078125	26.184600830078125
20	bert-base-cased	11	is	obj_rel_across	expected	1.4092007875442505	1.4092007875442505
21	bert-base-cased	11	is	obj_rel_across	unexpected	6.946668148040772	6.946668148040772
22	bert-base-cased	12	is	obj_rel_across	expected	3.9643537998199454	3.9643537998199454
23	bert-base-cased	12	is	obj_rel_across	unexpected	7.855831623077393	7.855831623077393
24	bert-base-cased	13	is	obj_rel_across	expected	4.260419845581055	4.260419845581055
25	bert-base-cased	13	is	obj_rel_across	unexpected	6.418604373931885	6.418604373931885
26	bert-base-cased	14	is	obj_rel_across	expected	1.0570005178451538	1.0570005178451538
27	bert-base-cased	14	is	obj_rel_across	unexpected	6.434978008270264	6.434978008270264
28	bert-base-cased	15	laughs	obj_rel_across	expected	22.060626983642575	22.060626983642575
29	bert-base-cased	15	laughs	obj_rel_across	unexpected	25.837129592895508	25.837129592895508
30	bert-base-cased	16	swims	obj_rel_across	expected	11.92112398147583	11.92112398147583
31	bert-base-cased	16	swims	obj_rel_across	unexpected	28.217269897460938	28.217269897460938
32	bert-base-cased	17	smiles	obj_rel_across	expected	22.28058433532715	22.28058433532715
33	bert-base-cased	17	smiles	obj_rel_across	unexpected	24.138347625732425	24.138347625732425
34	bert-base-cased	18	is	obj_rel_across	expected	1.4217808246612549	1.4217808246612549
35	bert-base-cased	18	is	obj_rel_across	unexpected	5.18205451965332	5.18205451965332
36	bert-base-cased	19	is	obj_rel_across	expected	3.844934940338135	3.844934940338135
37	bert-base-cased	19	is	obj_rel_across	unexpected	7.032012939453125	7.032012939453125
38	bert-base-cased	20	is	obj_rel_across	expected	7.260592460632324	7.260592460632324
39	bert-base-cased	20	is	obj_rel_across	unexpected	7.501044750213623	7.501044750213623
40	bert-base-cased	21	is	obj_rel_across	expected	1.0039557218551636	1.0039557218551636
41	bert-base-cased	21	is	obj_rel_across	unexpected	6.59980583190918	6.59980583190918
42	bert-base-cased	22	laughs	obj_rel_across	expected	22.15509033203125	22.15509033203125
43	bert-base-cased	22	laughs	obj_rel_across	unexpected	26.062278747558597	26.062278747558597
44	bert-base-cased	23	swims	obj_rel_across	expected	12.63186264038086	12.63186264038086
45	bert-base-cased	23	swims	obj_rel_across	unexpected	28.480981826782227	28.480981826782227
46	bert-base-cased	24	smiles	obj_rel_across	expected	21.52641487121582	21.52641487121582
47	bert-base-cased	24	smiles	obj_rel_across	unexpected	23.786699295043945	23.786699295043945
48	bert-base-cased	25	is	obj_rel_across	expected	0.9988533854484558	0.9988533854484558
49	bert-base-cased	25	is	obj_rel_across	unexpected	4.899543762207031	4.899543762207031
50	bert-base-cased	26	is	obj_rel_across	expected	3.7598586082458496	3.7598586082458496
51	bert-base-cased	26	is	obj_rel_across	unexpected	6.505894660949707	6.505894660949707
52	bert-base-cased	27	is	obj_rel_across	expected	3.632624387741089	3.632624387741089
53	bert-base-cased	27	is	obj_rel_across	unexpected	4.309780597686768	4.309780597686768
54	bert-base-cased	28	is	obj_rel_across	expected	0.7395852208137512	0.7395852208137512
55	bert-base-cased	28	is	obj_rel_across	unexpected	6.31622314453125	6.31622314453125
56	bert-base-cased	29	laughs	obj_rel_across	expected	9.943655967712402	9.943655967712402
57	bert-base-cased	29	laughs	obj_rel_across	unexpected	6.45693302154541	6.45693302154541
58	bert-base-cased	30	swims	obj_rel_across	expected	15.915969848632812	15.915969848632812
59	bert-base-cased	30	swims	obj_rel_across	unexpected	8.72326374053955	8.72326374053955
60	bert-base-cased	31	smiles	obj_rel_across	expected	10.718914985656738	10.718914985656738
