	model	pairid	lemma	condition	comparison	surpsum	surpmean
0	bert-base-cased	1	laugh	sent_comp	expected	20.707218170166016	20.707218170166016
1	bert-base-cased	1	laugh	sent_comp	unexpected	22.57709312438965	22.57709312438965
2	bert-base-cased	2	swim	sent_comp	expected	27.390295028686523	27.390295028686523
3	bert-base-cased	2	swim	sent_comp	unexpected	14.605181694030762	14.605181694030762
4	bert-base-cased	3	smile	sent_comp	expected	21.331907272338867	21.331907272338867
5	bert-base-cased	3	smile	sent_comp	unexpected	26.00166893005371	26.00166893005371
6	bert-base-cased	4	are	sent_comp	expected	2.347593069076538	2.347593069076538
7	bert-base-cased	4	are	sent_comp	unexpected	12.51571559906006	12.51571559906006
8	bert-base-cased	5	are	sent_comp	expected	4.309967994689941	4.309967994689941
9	bert-base-cased	5	are	sent_comp	unexpected	12.06167984008789	12.06167984008789
10	bert-base-cased	6	are	sent_comp	expected	2.618000268936157	2.618000268936157
11	bert-base-cased	6	are	sent_comp	unexpected	12.741456985473633	12.741456985473633
12	bert-base-cased	7	are	sent_comp	expected	2.480907678604126	2.480907678604126
13	bert-base-cased	7	are	sent_comp	unexpected	9.49544906616211	9.49544906616211
14	bert-base-cased	8	laugh	sent_comp	expected	18.853803634643555	18.853803634643555
15	bert-base-cased	8	laugh	sent_comp	unexpected	20.72549057006836	20.72549057006836
16	bert-base-cased	9	swim	sent_comp	expected	24.82101249694824	24.82101249694824
17	bert-base-cased	9	swim	sent_comp	unexpected	12.383665561676025	12.383665561676025
18	bert-base-cased	10	smile	sent_comp	expected	19.547149658203125	19.547149658203125
19	bert-base-cased	10	smile	sent_comp	unexpected	22.99073982238769	22.99073982238769
20	bert-base-cased	11	are	sent_comp	expected	3.9374539852142334	3.9374539852142334
21	bert-base-cased	11	are	sent_comp	unexpected	13.066045761108398	13.066045761108398
22	bert-base-cased	12	are	sent_comp	expected	5.061773300170898	5.061773300170898
23	bert-base-cased	12	are	sent_comp	unexpected	13.778427124023438	13.778427124023438
24	bert-base-cased	13	are	sent_comp	expected	4.254252910614014	4.254252910614014
25	bert-base-cased	13	are	sent_comp	unexpected	15.259760856628418	15.259760856628418
26	bert-base-cased	14	are	sent_comp	expected	3.3814682960510254	3.3814682960510254
27	bert-base-cased	14	are	sent_comp	unexpected	11.496099472045898	11.496099472045898
28	bert-base-cased	15	laugh	sent_comp	expected	7.888788223266602	7.888788223266602
29	bert-base-cased	15	laugh	sent_comp	unexpected	5.986984252929688	5.986984252929688
30	bert-base-cased	16	swim	sent_comp	expected	10.952099800109863	10.952099800109863
31	bert-base-cased	16	swim	sent_comp	unexpected	16.549331188201904	16.549331188201904
32	bert-base-cased	17	smile	sent_comp	expected	5.926560878753662	5.926560878753662
