sentid	comparison	pairid	contextid	lemma	condition	sentence	ROI
1	expected	1	1	sont	prep	les auteurs devant les gardes sont vieux	5
2	unexpected	1	1	sont	prep	les auteurs devant les gardes est vieux	5
3	expected	2	2	sont	prep	les auteurs devant les gardes sont jeunes	5,6
4	unexpected	2	2	sont	prep	les auteurs devant les gardes est jeune	5,6
5	expected	3	3	sont	prep	les auteurs devant les gardes sont petits	5,6
6	unexpected	3	3	sont	prep	les auteurs devant les gardes est petit	5,6
7	expected	4	4	sont	prep	les auteurs devant les gardes sont grands	5,6
8	unexpected	4	4	sont	prep	les auteurs devant les gardes est grand	5,6
9	expected	5	5	déménagent	prep	les auteurs devant les gardes déménagent	5
10	unexpected	5	5	déménagent	prep	les auteurs devant les gardes déménage	5
11	expected	6	6	parlent	prep	les auteurs devant les gardes parlent	5
12	unexpected	6	6	parlent	prep	les auteurs devant les gardes parle	5
13	expected	7	7	retournent	prep	les auteurs devant les gardes retournent	5
14	unexpected	7	7	retournent	prep	les auteurs devant les gardes retourne	5
15	expected	8	8	sont	prep	les directeurs devant les gardes sont vieux	5
16	unexpected	8	8	sont	prep	les directeurs devant les gardes est vieux	5
17	expected	9	9	sont	prep	les directeurs devant les gardes sont jeunes	5,6
18	unexpected	9	9	sont	prep	les directeurs devant les gardes est jeune	5,6
19	expected	10	10	sont	prep	les directeurs devant les gardes sont petits	5,6
20	unexpected	10	10	sont	prep	les directeurs devant les gardes est petit	5,6
21	expected	11	11	sont	prep	les directeurs devant les gardes sont grands	5,6
22	unexpected	11	11	sont	prep	les directeurs devant les gardes est grand	5,6
23	expected	12	12	déménagent	prep	les directeurs devant les gardes déménagent	5
24	unexpected	12	12	déménagent	prep	les directeurs devant les gardes déménage	5
25	expected	13	13	parlent	prep	les directeurs devant les gardes parlent	5
26	unexpected	13	13	parlent	prep	les directeurs devant les gardes parle	5
27	expected	14	14	retournent	prep	les directeurs devant les gardes retournent	5
28	unexpected	14	14	retournent	prep	les directeurs devant les gardes retourne	5
29	expected	15	15	sont	prep	les agriculteurs devant les gardes sont vieux	5
30	unexpected	15	15	sont	prep	les agriculteurs devant les gardes est vieux	5
31	expected	16	16	sont	prep	les agriculteurs devant les gardes sont jeunes	5,6
32	unexpected	16	16	sont	prep	les agriculteurs devant les gardes est jeune	5,6
33	expected	17	17	sont	prep	les agriculteurs devant les gardes sont petits	5,6
34	unexpected	17	17	sont	prep	les agriculteurs devant les gardes est petit	5,6
35	expected	18	18	sont	prep	les agriculteurs devant les gardes sont grands	5,6
36	unexpected	18	18	sont	prep	les agriculteurs devant les gardes est grand	5,6
37	expected	19	19	déménagent	prep	les agriculteurs devant les gardes déménagent	5
38	unexpected	19	19	déménagent	prep	les agriculteurs devant les gardes déménage	5
39	expected	20	20	parlent	prep	les agriculteurs devant les gardes parlent	5
40	unexpected	20	20	parlent	prep	les agriculteurs devant les gardes parle	5
41	expected	21	21	retournent	prep	les agriculteurs devant les gardes retournent	5
42	unexpected	21	21	retournent	prep	les agriculteurs devant les gardes retourne	5
43	expected	22	22	sont	prep	les chirurgiens devant les gardes sont vieux	5
44	unexpected	22	22	sont	prep	les chirurgiens devant les gardes est vieux	5
45	expected	23	23	sont	prep	les chirurgiens devant les gardes sont jeunes	5,6
46	unexpected	23	23	sont	prep	les chirurgiens devant les gardes est jeune	5,6
47	expected	24	24	sont	prep	les chirurgiens devant les gardes sont petits	5,6
48	unexpected	24	24	sont	prep	les chirurgiens devant les gardes est petit	5,6
49	expected	25	25	sont	prep	les chirurgiens devant les gardes sont grands	5,6
50	unexpected	25	25	sont	prep	les chirurgiens devant les gardes est grand	5,6
51	expected	26	26	déménagent	prep	les chirurgiens devant les gardes déménagent	5
52	unexpected	26	26	déménagent	prep	les chirurgiens devant les gardes déménage	5
53	expected	27	27	parlent	prep	les chirurgiens devant les gardes parlent	5
54	unexpected	27	27	parlent	prep	les chirurgiens devant les gardes parle	5
55	expected	28	28	retournent	prep	les chirurgiens devant les gardes retournent	5
56	unexpected	28	28	retournent	prep	les chirurgiens devant les gardes retourne	5
57	expected	29	29	sont	prep	les sénateurs devant les gardes sont vieux	5
58	unexpected	29	29	sont	prep	les sénateurs devant les gardes est vieux	5
59	expected	30	30	sont	prep	les sénateurs devant les gardes sont jeunes	5,6
60	unexpected	30	30	sont	prep	les sénateurs devant les gardes est jeune	5,6
61	expected	31	31	sont	prep	les sénateurs devant les gardes sont petits	5,6
62	unexpected	31	31	sont	prep	les sénateurs devant les gardes est petit	5,6
63	expected	32	32	sont	prep	les sénateurs devant les gardes sont grands	5,6
64	unexpected	32	32	sont	prep	les sénateurs devant les gardes est grand	5,6
65	expected	33	33	déménagent	prep	les sénateurs devant les gardes déménagent	5
66	unexpected	33	33	déménagent	prep	les sénateurs devant les gardes déménage	5
67	expected	34	34	parlent	prep	les sénateurs devant les gardes parlent	5
68	unexpected	34	34	parlent	prep	les sénateurs devant les gardes parle	5
69	expected	35	35	retournent	prep	les sénateurs devant les gardes retournent	5
70	unexpected	35	35	retournent	prep	les sénateurs devant les gardes retourne	5
71	expected	36	36	sont	prep	les professeurs devant les gardes sont vieux	5
72	unexpected	36	36	sont	prep	les professeurs devant les gardes est vieux	5
73	expected	37	37	sont	prep	les professeurs devant les gardes sont jeunes	5,6
74	unexpected	37	37	sont	prep	les professeurs devant les gardes est jeune	5,6
75	expected	38	38	sont	prep	les professeurs devant les gardes sont petits	5,6
76	unexpected	38	38	sont	prep	les professeurs devant les gardes est petit	5,6
77	expected	39	39	sont	prep	les professeurs devant les gardes sont grands	5,6
78	unexpected	39	39	sont	prep	les professeurs devant les gardes est grand	5,6
79	expected	40	40	déménagent	prep	les professeurs devant les gardes déménagent	5
80	unexpected	40	40	déménagent	prep	les professeurs devant les gardes déménage	5
81	expected	41	41	parlent	prep	les professeurs devant les gardes parlent	5
82	unexpected	41	41	parlent	prep	les professeurs devant les gardes parle	5
83	expected	42	42	retournent	prep	les professeurs devant les gardes retournent	5
84	unexpected	42	42	retournent	prep	les professeurs devant les gardes retourne	5
85	expected	43	43	sont	prep	les clients devant les gardes sont vieux	5
86	unexpected	43	43	sont	prep	les clients devant les gardes est vieux	5
87	expected	44	44	sont	prep	les clients devant les gardes sont jeunes	5,6
88	unexpected	44	44	sont	prep	les clients devant les gardes est jeune	5,6
89	expected	45	45	sont	prep	les clients devant les gardes sont petits	5,6
90	unexpected	45	45	sont	prep	les clients devant les gardes est petit	5,6
91	expected	46	46	sont	prep	les clients devant les gardes sont grands	5,6
92	unexpected	46	46	sont	prep	les clients devant les gardes est grand	5,6
93	expected	47	47	déménagent	prep	les clients devant les gardes déménagent	5
94	unexpected	47	47	déménagent	prep	les clients devant les gardes déménage	5
95	expected	48	48	parlent	prep	les clients devant les gardes parlent	5
96	unexpected	48	48	parlent	prep	les clients devant les gardes parle	5
97	expected	49	49	retournent	prep	les clients devant les gardes retournent	5
98	unexpected	49	49	retournent	prep	les clients devant les gardes retourne	5
99	expected	50	50	sont	prep	les officiers devant les gardes sont vieux	5
100	unexpected	50	50	sont	prep	les officiers devant les gardes est vieux	5
101	expected	51	51	sont	prep	les officiers devant les gardes sont jeunes	5,6
102	unexpected	51	51	sont	prep	les officiers devant les gardes est jeune	5,6
103	expected	52	52	sont	prep	les officiers devant les gardes sont petits	5,6
104	unexpected	52	52	sont	prep	les officiers devant les gardes est petit	5,6
105	expected	53	53	sont	prep	les officiers devant les gardes sont grands	5,6
106	unexpected	53	53	sont	prep	les officiers devant les gardes est grand	5,6
107	expected	54	54	déménagent	prep	les officiers devant les gardes déménagent	5
108	unexpected	54	54	déménagent	prep	les officiers devant les gardes déménage	5
