sentid	comparison	pairid	contextid	lemma	condition	sentence	ROI
1	expected	1	1	déménagent	obj_rel_across	les auteurs que les gardes aiment déménagent	6
2	unexpected	1	1	déménagent	obj_rel_across	les auteurs que les gardes aiment déménage	6
3	expected	2	2	parlent	obj_rel_across	les auteurs que les gardes aiment parlent	6
4	unexpected	2	2	parlent	obj_rel_across	les auteurs que les gardes aiment parle	6
5	expected	3	3	retournent	obj_rel_across	les auteurs que les gardes aiment retournent	6
6	unexpected	3	3	retournent	obj_rel_across	les auteurs que les gardes aiment retourne	6
7	expected	4	4	sont	obj_rel_across	les auteurs que les gardes aiment sont vieux	6
8	unexpected	4	4	sont	obj_rel_across	les auteurs que les gardes aiment est vieux	6
9	expected	5	5	sont	obj_rel_across	les auteurs que les gardes aiment sont petits	6,7
10	unexpected	5	5	sont	obj_rel_across	les auteurs que les gardes aiment est petit	6,7
11	expected	6	6	sont	obj_rel_across	les auteurs que les gardes aiment sont jeunes	6,7
12	unexpected	6	6	sont	obj_rel_across	les auteurs que les gardes aiment est jeune	6,7
13	expected	7	7	sont	obj_rel_across	les auteurs que les gardes aiment sont grands	6,7
14	unexpected	7	7	sont	obj_rel_across	les auteurs que les gardes aiment est grand	6,7
15	expected	8	8	déménagent	obj_rel_across	les directeurs que les gardes aiment déménagent	6
16	unexpected	8	8	déménagent	obj_rel_across	les directeurs que les gardes aiment déménage	6
17	expected	9	9	parlent	obj_rel_across	les directeurs que les gardes aiment parlent	6
18	unexpected	9	9	parlent	obj_rel_across	les directeurs que les gardes aiment parle	6
19	expected	10	10	retournent	obj_rel_across	les directeurs que les gardes aiment retournent	6
20	unexpected	10	10	retournent	obj_rel_across	les directeurs que les gardes aiment retourne	6
21	expected	11	11	sont	obj_rel_across	les directeurs que les gardes aiment sont vieux	6
22	unexpected	11	11	sont	obj_rel_across	les directeurs que les gardes aiment est vieux	6
23	expected	12	12	sont	obj_rel_across	les directeurs que les gardes aiment sont petits	6,7
24	unexpected	12	12	sont	obj_rel_across	les directeurs que les gardes aiment est petit	6,7
25	expected	13	13	sont	obj_rel_across	les directeurs que les gardes aiment sont jeunes	6,7
26	unexpected	13	13	sont	obj_rel_across	les directeurs que les gardes aiment est jeune	6,7
27	expected	14	14	sont	obj_rel_across	les directeurs que les gardes aiment sont grands	6,7
28	unexpected	14	14	sont	obj_rel_across	les directeurs que les gardes aiment est grand	6,7
29	expected	15	15	déménagent	obj_rel_across	les agriculteurs que les gardes aiment déménagent	6
30	unexpected	15	15	déménagent	obj_rel_across	les agriculteurs que les gardes aiment déménage	6
31	expected	16	16	parlent	obj_rel_across	les agriculteurs que les gardes aiment parlent	6
32	unexpected	16	16	parlent	obj_rel_across	les agriculteurs que les gardes aiment parle	6
33	expected	17	17	retournent	obj_rel_across	les agriculteurs que les gardes aiment retournent	6
34	unexpected	17	17	retournent	obj_rel_across	les agriculteurs que les gardes aiment retourne	6
35	expected	18	18	sont	obj_rel_across	les agriculteurs que les gardes aiment sont vieux	6
36	unexpected	18	18	sont	obj_rel_across	les agriculteurs que les gardes aiment est vieux	6
37	expected	19	19	sont	obj_rel_across	les agriculteurs que les gardes aiment sont petits	6,7
38	unexpected	19	19	sont	obj_rel_across	les agriculteurs que les gardes aiment est petit	6,7
39	expected	20	20	sont	obj_rel_across	les agriculteurs que les gardes aiment sont jeunes	6,7
40	unexpected	20	20	sont	obj_rel_across	les agriculteurs que les gardes aiment est jeune	6,7
41	expected	21	21	sont	obj_rel_across	les agriculteurs que les gardes aiment sont grands	6,7
42	unexpected	21	21	sont	obj_rel_across	les agriculteurs que les gardes aiment est grand	6,7
43	expected	22	22	déménagent	obj_rel_across	les chirurgiens que les gardes aiment déménagent	6
44	unexpected	22	22	déménagent	obj_rel_across	les chirurgiens que les gardes aiment déménage	6
45	expected	23	23	parlent	obj_rel_across	les chirurgiens que les gardes aiment parlent	6
46	unexpected	23	23	parlent	obj_rel_across	les chirurgiens que les gardes aiment parle	6
47	expected	24	24	retournent	obj_rel_across	les chirurgiens que les gardes aiment retournent	6
48	unexpected	24	24	retournent	obj_rel_across	les chirurgiens que les gardes aiment retourne	6
49	expected	25	25	sont	obj_rel_across	les chirurgiens que les gardes aiment sont vieux	6
50	unexpected	25	25	sont	obj_rel_across	les chirurgiens que les gardes aiment est vieux	6
51	expected	26	26	sont	obj_rel_across	les chirurgiens que les gardes aiment sont petits	6,7
52	unexpected	26	26	sont	obj_rel_across	les chirurgiens que les gardes aiment est petit	6,7
53	expected	27	27	sont	obj_rel_across	les chirurgiens que les gardes aiment sont jeunes	6,7
54	unexpected	27	27	sont	obj_rel_across	les chirurgiens que les gardes aiment est jeune	6,7
55	expected	28	28	sont	obj_rel_across	les chirurgiens que les gardes aiment sont grands	6,7
56	unexpected	28	28	sont	obj_rel_across	les chirurgiens que les gardes aiment est grand	6,7
57	expected	29	29	déménagent	obj_rel_across	les sénateurs que les gardes aiment déménagent	6
58	unexpected	29	29	déménagent	obj_rel_across	les sénateurs que les gardes aiment déménage	6
59	expected	30	30	parlent	obj_rel_across	les sénateurs que les gardes aiment parlent	6
60	unexpected	30	30	parlent	obj_rel_across	les sénateurs que les gardes aiment parle	6
61	expected	31	31	retournent	obj_rel_across	les sénateurs que les gardes aiment retournent	6
62	unexpected	31	31	retournent	obj_rel_across	les sénateurs que les gardes aiment retourne	6
63	expected	32	32	sont	obj_rel_across	les sénateurs que les gardes aiment sont vieux	6
64	unexpected	32	32	sont	obj_rel_across	les sénateurs que les gardes aiment est vieux	6
65	expected	33	33	sont	obj_rel_across	les sénateurs que les gardes aiment sont petits	6,7
66	unexpected	33	33	sont	obj_rel_across	les sénateurs que les gardes aiment est petit	6,7
67	expected	34	34	sont	obj_rel_across	les sénateurs que les gardes aiment sont jeunes	6,7
68	unexpected	34	34	sont	obj_rel_across	les sénateurs que les gardes aiment est jeune	6,7
69	expected	35	35	sont	obj_rel_across	les sénateurs que les gardes aiment sont grands	6,7
70	unexpected	35	35	sont	obj_rel_across	les sénateurs que les gardes aiment est grand	6,7
71	expected	36	36	déménagent	obj_rel_across	les professeurs que les gardes aiment déménagent	6
72	unexpected	36	36	déménagent	obj_rel_across	les professeurs que les gardes aiment déménage	6
73	expected	37	37	parlent	obj_rel_across	les professeurs que les gardes aiment parlent	6
74	unexpected	37	37	parlent	obj_rel_across	les professeurs que les gardes aiment parle	6
75	expected	38	38	retournent	obj_rel_across	les professeurs que les gardes aiment retournent	6
76	unexpected	38	38	retournent	obj_rel_across	les professeurs que les gardes aiment retourne	6
77	expected	39	39	sont	obj_rel_across	les professeurs que les gardes aiment sont vieux	6
78	unexpected	39	39	sont	obj_rel_across	les professeurs que les gardes aiment est vieux	6
79	expected	40	40	sont	obj_rel_across	les professeurs que les gardes aiment sont petits	6,7
80	unexpected	40	40	sont	obj_rel_across	les professeurs que les gardes aiment est petit	6,7
81	expected	41	41	sont	obj_rel_across	les professeurs que les gardes aiment sont jeunes	6,7
82	unexpected	41	41	sont	obj_rel_across	les professeurs que les gardes aiment est jeune	6,7
83	expected	42	42	sont	obj_rel_across	les professeurs que les gardes aiment sont grands	6,7
84	unexpected	42	42	sont	obj_rel_across	les professeurs que les gardes aiment est grand	6,7
85	expected	43	43	déménagent	obj_rel_across	les clients que les gardes aiment déménagent	6
86	unexpected	43	43	déménagent	obj_rel_across	les clients que les gardes aiment déménage	6
87	expected	44	44	parlent	obj_rel_across	les clients que les gardes aiment parlent	6
88	unexpected	44	44	parlent	obj_rel_across	les clients que les gardes aiment parle	6
89	expected	45	45	retournent	obj_rel_across	les clients que les gardes aiment retournent	6
90	unexpected	45	45	retournent	obj_rel_across	les clients que les gardes aiment retourne	6
91	expected	46	46	sont	obj_rel_across	les clients que les gardes aiment sont vieux	6
92	unexpected	46	46	sont	obj_rel_across	les clients que les gardes aiment est vieux	6
93	expected	47	47	sont	obj_rel_across	les clients que les gardes aiment sont petits	6,7
94	unexpected	47	47	sont	obj_rel_across	les clients que les gardes aiment est petit	6,7
95	expected	48	48	sont	obj_rel_across	les clients que les gardes aiment sont jeunes	6,7
