sentid	comparison	pairid	contextid	lemma	condition	sentence	ROI
1	expected	1	1	любят	obj_rel_within	авторы , которых агенты любят , говорят	4
2	unexpected	1	1	любят	obj_rel_within	авторы , которых агенты любит , говорят	4
3	expected	2	2	хотят	obj_rel_within	авторы , которых агенты хотят , говорят	4
4	unexpected	2	2	хотят	obj_rel_within	авторы , которых агенты хочет , говорят	4
5	expected	3	3	понимают	obj_rel_within	авторы , которых агенты понимают , говорят	4
6	unexpected	3	3	понимают	obj_rel_within	авторы , которых агенты понимает , говорят	4
7	expected	4	4	ищут	obj_rel_within	авторы , которых агенты ищут , говорят	4
8	unexpected	4	4	ищут	obj_rel_within	авторы , которых агенты ищет , говорят	4
9	expected	5	5	любят	obj_rel_within	режиссёры , которых агенты любят , говорят	4
10	unexpected	5	5	любят	obj_rel_within	режиссёры , которых агенты любит , говорят	4
11	expected	6	6	хотят	obj_rel_within	режиссёры , которых агенты хотят , говорят	4
12	unexpected	6	6	хотят	obj_rel_within	режиссёры , которых агенты хочет , говорят	4
13	expected	7	7	понимают	obj_rel_within	режиссёры , которых агенты понимают , говорят	4
14	unexpected	7	7	понимают	obj_rel_within	режиссёры , которых агенты понимает , говорят	4
15	expected	8	8	ищут	obj_rel_within	режиссёры , которых агенты ищут , говорят	4
16	unexpected	8	8	ищут	obj_rel_within	режиссёры , которых агенты ищет , говорят	4
17	expected	9	9	любят	obj_rel_within	фермеры , которых агенты любят , говорят	4
18	unexpected	9	9	любят	obj_rel_within	фермеры , которых агенты любит , говорят	4
19	expected	10	10	хотят	obj_rel_within	фермеры , которых агенты хотят , говорят	4
20	unexpected	10	10	хотят	obj_rel_within	фермеры , которых агенты хочет , говорят	4
21	expected	11	11	понимают	obj_rel_within	фермеры , которых агенты понимают , говорят	4
22	unexpected	11	11	понимают	obj_rel_within	фермеры , которых агенты понимает , говорят	4
23	expected	12	12	ищут	obj_rel_within	фермеры , которых агенты ищут , говорят	4
24	unexpected	12	12	ищут	obj_rel_within	фермеры , которых агенты ищет , говорят	4
25	expected	13	13	любят	obj_rel_within	врачи , которых агенты любят , говорят	4
26	unexpected	13	13	любят	obj_rel_within	врачи , которых агенты любит , говорят	4
27	expected	14	14	хотят	obj_rel_within	врачи , которых агенты хотят , говорят	4
28	unexpected	14	14	хотят	obj_rel_within	врачи , которых агенты хочет , говорят	4
29	expected	15	15	понимают	obj_rel_within	врачи , которых агенты понимают , говорят	4
30	unexpected	15	15	понимают	obj_rel_within	врачи , которых агенты понимает , говорят	4
31	expected	16	16	ищут	obj_rel_within	врачи , которых агенты ищут , говорят	4
32	unexpected	16	16	ищут	obj_rel_within	врачи , которых агенты ищет , говорят	4
33	expected	17	17	любят	obj_rel_within	сенаторы , которых агенты любят , говорят	4
34	unexpected	17	17	любят	obj_rel_within	сенаторы , которых агенты любит , говорят	4
35	expected	18	18	хотят	obj_rel_within	сенаторы , которых агенты хотят , говорят	4
36	unexpected	18	18	хотят	obj_rel_within	сенаторы , которых агенты хочет , говорят	4
37	expected	19	19	понимают	obj_rel_within	сенаторы , которых агенты понимают , говорят	4
38	unexpected	19	19	понимают	obj_rel_within	сенаторы , которых агенты понимает , говорят	4
39	expected	20	20	ищут	obj_rel_within	сенаторы , которых агенты ищут , говорят	4
40	unexpected	20	20	ищут	obj_rel_within	сенаторы , которых агенты ищет , говорят	4
41	expected	21	21	любят	obj_rel_within	профессора , которых агенты любят , говорят	4
42	unexpected	21	21	любят	obj_rel_within	профессора , которых агенты любит , говорят	4
43	expected	22	22	хотят	obj_rel_within	профессора , которых агенты хотят , говорят	4
44	unexpected	22	22	хотят	obj_rel_within	профессора , которых агенты хочет , говорят	4
45	expected	23	23	понимают	obj_rel_within	профессора , которых агенты понимают , говорят	4
46	unexpected	23	23	понимают	obj_rel_within	профессора , которых агенты понимает , говорят	4
47	expected	24	24	ищут	obj_rel_within	профессора , которых агенты ищут , говорят	4
48	unexpected	24	24	ищут	obj_rel_within	профессора , которых агенты ищет , говорят	4
49	expected	25	25	любят	obj_rel_within	клиенты , которых агенты любят , говорят	4
50	unexpected	25	25	любят	obj_rel_within	клиенты , которых агенты любит , говорят	4
51	expected	26	26	хотят	obj_rel_within	клиенты , которых агенты хотят , говорят	4
52	unexpected	26	26	хотят	obj_rel_within	клиенты , которых агенты хочет , говорят	4
53	expected	27	27	понимают	obj_rel_within	клиенты , которых агенты понимают , говорят	4
54	unexpected	27	27	понимают	obj_rel_within	клиенты , которых агенты понимает , говорят	4
55	expected	28	28	ищут	obj_rel_within	клиенты , которых агенты ищут , говорят	4
56	unexpected	28	28	ищут	obj_rel_within	клиенты , которых агенты ищет , говорят	4
57	expected	29	29	любят	obj_rel_within	офицеры , которых агенты любят , говорят	4
58	unexpected	29	29	любят	obj_rel_within	офицеры , которых агенты любит , говорят	4
59	expected	30	30	хотят	obj_rel_within	офицеры , которых агенты хотят , говорят	4
60	unexpected	30	30	хотят	obj_rel_within	офицеры , которых агенты хочет , говорят	4
61	expected	31	31	понимают	obj_rel_within	офицеры , которых агенты понимают , говорят	4
62	unexpected	31	31	понимают	obj_rel_within	офицеры , которых агенты понимает , говорят	4
63	expected	32	32	ищут	obj_rel_within	офицеры , которых агенты ищут , говорят	4
64	unexpected	32	32	ищут	obj_rel_within	офицеры , которых агенты ищет , говорят	4
65	expected	33	33	любят	obj_rel_within	пилоты , которых агенты любят , говорят	4
66	unexpected	33	33	любят	obj_rel_within	пилоты , которых агенты любит , говорят	4
67	expected	34	34	хотят	obj_rel_within	пилоты , которых агенты хотят , говорят	4
68	unexpected	34	34	хотят	obj_rel_within	пилоты , которых агенты хочет , говорят	4
69	expected	35	35	понимают	obj_rel_within	пилоты , которых агенты понимают , говорят	4
70	unexpected	35	35	понимают	obj_rel_within	пилоты , которых агенты понимает , говорят	4
71	expected	36	36	ищут	obj_rel_within	пилоты , которых агенты ищут , говорят	4
72	unexpected	36	36	ищут	obj_rel_within	пилоты , которых агенты ищет , говорят	4
73	expected	37	37	любят	obj_rel_within	ученики , которых агенты любят , говорят	4
74	unexpected	37	37	любят	obj_rel_within	ученики , которых агенты любит , говорят	4
75	expected	38	38	хотят	obj_rel_within	ученики , которых агенты хотят , говорят	4
76	unexpected	38	38	хотят	obj_rel_within	ученики , которых агенты хочет , говорят	4
77	expected	39	39	понимают	obj_rel_within	ученики , которых агенты понимают , говорят	4
78	unexpected	39	39	понимают	obj_rel_within	ученики , которых агенты понимает , говорят	4
79	expected	40	40	ищут	obj_rel_within	ученики , которых агенты ищут , говорят	4
80	unexpected	40	40	ищут	obj_rel_within	ученики , которых агенты ищет , говорят	4
81	expected	41	41	любят	obj_rel_within	авторы , которых министры любят , говорят	4
82	unexpected	41	41	любят	obj_rel_within	авторы , которых министры любит , говорят	4
83	expected	42	42	хотят	obj_rel_within	авторы , которых министры хотят , говорят	4
84	unexpected	42	42	хотят	obj_rel_within	авторы , которых министры хочет , говорят	4
85	expected	43	43	понимают	obj_rel_within	авторы , которых министры понимают , говорят	4
86	unexpected	43	43	понимают	obj_rel_within	авторы , которых министры понимает , говорят	4
87	expected	44	44	ищут	obj_rel_within	авторы , которых министры ищут , говорят	4
88	unexpected	44	44	ищут	obj_rel_within	авторы , которых министры ищет , говорят	4
89	expected	45	45	любят	obj_rel_within	режиссёры , которых министры любят , говорят	4
90	unexpected	45	45	любят	obj_rel_within	режиссёры , которых министры любит , говорят	4
91	expected	46	46	хотят	obj_rel_within	режиссёры , которых министры хотят , говорят	4
92	unexpected	46	46	хотят	obj_rel_within	режиссёры , которых министры хочет , говорят	4
93	expected	47	47	понимают	obj_rel_within	режиссёры , которых министры понимают , говорят	4
94	unexpected	47	47	понимают	obj_rel_within	режиссёры , которых министры понимает , говорят	4
95	expected	48	48	ищут	obj_rel_within	режиссёры , которых министры ищут , говорят	4
96	unexpected	48	48	ищут	obj_rel_within	режиссёры , которых министры ищет , говорят	4
97	expected	49	49	любят	obj_rel_within	фермеры , которых министры любят , говорят	4
98	unexpected	49	49	любят	obj_rel_within	фермеры , которых министры любит , говорят	4
99	expected	50	50	хотят	obj_rel_within	фермеры , которых министры хотят , говорят	4
100	unexpected	50	50	хотят	obj_rel_within	фермеры , которых министры хочет , говорят	4
101	expected	51	51	понимают	obj_rel_within	фермеры , которых министры понимают , говорят	4
102	unexpected	51	51	понимают	obj_rel_within	фермеры , которых министры понимает , говорят	4
103	expected	52	52	ищут	obj_rel_within	фермеры , которых министры ищут , говорят	4
104	unexpected	52	52	ищут	obj_rel_within	фермеры , которых министры ищет , говорят	4
105	expected	53	53	любят	obj_rel_within	врачи , которых министры любят , говорят	4
106	unexpected	53	53	любят	obj_rel_within	врачи , которых министры любит , говорят	4
107	expected	54	54	хотят	obj_rel_within	врачи , которых министры хотят , говорят	4
108	unexpected	54	54	хотят	obj_rel_within	врачи , которых министры хочет , говорят	4
109	expected	55	55	понимают	obj_rel_within	врачи , которых министры понимают , говорят	4
110	unexpected	55	55	понимают	obj_rel_within	врачи , которых министры понимает , говорят	4
111	expected	56	56	ищут	obj_rel_within	врачи , которых министры ищут , говорят	4
112	unexpected	56	56	ищут	obj_rel_within	врачи , которых министры ищет , говорят	4
113	expected	57	57	любят	obj_rel_within	сенаторы , которых министры любят , говорят	4
114	unexpected	57	57	любят	obj_rel_within	сенаторы , которых министры любит , говорят	4
115	expected	58	58	хотят	obj_rel_within	сенаторы , которых министры хотят , говорят	4
116	unexpected	58	58	хотят	obj_rel_within	сенаторы , которых министры хочет , говорят	4
117	expected	59	59	понимают	obj_rel_within	сенаторы , которых министры понимают , говорят	4
118	unexpected	59	59	понимают	obj_rel_within	сенаторы , которых министры понимает , говорят	4
119	expected	60	60	ищут	obj_rel_within	сенаторы , которых министры ищут , говорят	4
120	unexpected	60	60	ищут	obj_rel_within	сенаторы , которых министры ищет , говорят	4
121	expected	61	61	любят	obj_rel_within	профессора , которых министры любят , говорят	4
122	unexpected	61	61	любят	obj_rel_within	профессора , которых министры любит , говорят	4
123	expected	62	62	хотят	obj_rel_within	профессора , которых министры хотят , говорят	4
124	unexpected	62	62	хотят	obj_rel_within	профессора , которых министры хочет , говорят	4
125	expected	63	63	понимают	obj_rel_within	профессора , которых министры понимают , говорят	4
126	unexpected	63	63	понимают	obj_rel_within	профессора , которых министры понимает , говорят	4
127	expected	64	64	ищут	obj_rel_within	профессора , которых министры ищут , говорят	4
128	unexpected	64	64	ищут	obj_rel_within	профессора , которых министры ищет , говорят	4
129	expected	65	65	любят	obj_rel_within	клиенты , которых министры любят , говорят	4
130	unexpected	65	65	любят	obj_rel_within	клиенты , которых министры любит , говорят	4
131	expected	66	66	хотят	obj_rel_within	клиенты , которых министры хотят , говорят	4
132	unexpected	66	66	хотят	obj_rel_within	клиенты , которых министры хочет , говорят	4
133	expected	67	67	понимают	obj_rel_within	клиенты , которых министры понимают , говорят	4
134	unexpected	67	67	понимают	obj_rel_within	клиенты , которых министры понимает , говорят	4
135	expected	68	68	ищут	obj_rel_within	клиенты , которых министры ищут , говорят	4
136	unexpected	68	68	ищут	obj_rel_within	клиенты , которых министры ищет , говорят	4
137	expected	69	69	любят	obj_rel_within	офицеры , которых министры любят , говорят	4
138	unexpected	69	69	любят	obj_rel_within	офицеры , которых министры любит , говорят	4
139	expected	70	70	хотят	obj_rel_within	офицеры , которых министры хотят , говорят	4
140	unexpected	70	70	хотят	obj_rel_within	офицеры , которых министры хочет , говорят	4
141	expected	71	71	понимают	obj_rel_within	офицеры , которых министры понимают , говорят	4
142	unexpected	71	71	понимают	obj_rel_within	офицеры , которых министры понимает , говорят	4
