	model	pairid	lemma	condition	comparison	surpsum	surpmean
0	bert-base-cased	1	is	prep	expected	0.7805731892585754	0.7805731892585754
1	bert-base-cased	1	is	prep	unexpected	5.911219596862793	5.911219596862793
2	bert-base-cased	2	is	prep	expected	0.8240743279457092	0.8240743279457092
3	bert-base-cased	2	is	prep	unexpected	6.689770698547363	6.689770698547363
4	bert-base-cased	3	is	prep	expected	2.6925060749053955	2.6925060749053955
5	bert-base-cased	3	is	prep	unexpected	5.370442390441895	5.370442390441895
6	bert-base-cased	4	is	prep	expected	0.9121485352516174	0.9121485352516174
7	bert-base-cased	4	is	prep	unexpected	6.706915378570557	6.706915378570557
8	bert-base-cased	5	is	prep	expected	1.2976253032684326	1.2976253032684326
9	bert-base-cased	5	is	prep	unexpected	6.751852989196777	6.751852989196777
10	bert-base-cased	6	brings	prep	expected	1.1901549100875854	1.1901549100875854
11	bert-base-cased	6	brings	prep	unexpected	5.240470409393311	5.240470409393311
12	bert-base-cased	7	interests	prep	expected	18.46236991882324	18.46236991882324
13	bert-base-cased	7	interests	prep	unexpected	16.46033477783203	16.46033477783203
14	bert-base-cased	8	is	prep	expected	1.403950810432434	1.403950810432434
15	bert-base-cased	8	is	prep	unexpected	4.244259357452393	4.244259357452393
16	bert-base-cased	9	is	prep	expected	1.0696109533309937	1.0696109533309937
17	bert-base-cased	9	is	prep	unexpected	5.440927028656006	5.440927028656006
18	bert-base-cased	10	is	prep	expected	5.667272090911865	5.667272090911865
19	bert-base-cased	10	is	prep	unexpected	7.187005519866943	7.187005519866943
20	bert-base-cased	11	is	prep	expected	1.4137555360794067	1.4137555360794067
21	bert-base-cased	11	is	prep	unexpected	5.914462566375732	5.914462566375732
22	bert-base-cased	12	is	prep	expected	1.7644308805465698	1.7644308805465698
23	bert-base-cased	12	is	prep	unexpected	5.239225387573242	5.239225387573242
24	bert-base-cased	13	brings	prep	expected	1.6202330589294434	1.6202330589294434
25	bert-base-cased	13	brings	prep	unexpected	4.691151142120361	4.691151142120361
26	bert-base-cased	14	interests	prep	expected	18.24609375	18.24609375
27	bert-base-cased	14	interests	prep	unexpected	14.453017234802246	14.453017234802246
28	bert-base-cased	15	is	prep	expected	0.8181538581848145	0.8181538581848145
29	bert-base-cased	15	is	prep	unexpected	4.722209453582764	4.722209453582764
30	bert-base-cased	16	is	prep	expected	0.8872341513633728	0.8872341513633728
31	bert-base-cased	16	is	prep	unexpected	5.793054580688477	5.793054580688477
32	bert-base-cased	17	is	prep	expected	4.23639440536499	4.23639440536499
33	bert-base-cased	17	is	prep	unexpected	7.087135314941406	7.087135314941406
34	bert-base-cased	18	is	prep	expected	1.8862812519073489	1.8862812519073489
35	bert-base-cased	18	is	prep	unexpected	7.54645299911499	7.54645299911499
36	bert-base-cased	19	is	prep	expected	2.141009330749512	2.141009330749512
37	bert-base-cased	19	is	prep	unexpected	7.592220783233643	7.592220783233643
38	bert-base-cased	20	brings	prep	expected	1.453364610671997	1.453364610671997
39	bert-base-cased	20	brings	prep	unexpected	5.509411811828613	5.509411811828613
40	bert-base-cased	21	interests	prep	expected	19.223087310791016	19.223087310791016
41	bert-base-cased	21	interests	prep	unexpected	16.08834457397461	16.08834457397461
42	bert-base-cased	22	is	prep	expected	0.7722885012626648	0.7722885012626648
43	bert-base-cased	22	is	prep	unexpected	5.063259601593018	5.063259601593018
44	bert-base-cased	23	is	prep	expected	0.991443932056427	0.991443932056427
45	bert-base-cased	23	is	prep	unexpected	5.3244476318359375	5.3244476318359375
46	bert-base-cased	24	is	prep	expected	4.148252487182617	4.148252487182617
47	bert-base-cased	24	is	prep	unexpected	6.934836387634277	6.934836387634277
48	bert-base-cased	25	is	prep	expected	1.6135159730911257	1.6135159730911257
49	bert-base-cased	25	is	prep	unexpected	6.890676975250244	6.890676975250244
50	bert-base-cased	26	is	prep	expected	2.1174774169921875	2.1174774169921875
51	bert-base-cased	26	is	prep	unexpected	6.40424919128418	6.40424919128418
52	bert-base-cased	27	brings	prep	expected	1.8994560241699217	1.8994560241699217
53	bert-base-cased	27	brings	prep	unexpected	4.4332685470581055	4.4332685470581055
54	bert-base-cased	28	interests	prep	expected	18.559499740600582	18.559499740600582
55	bert-base-cased	28	interests	prep	unexpected	15.608453750610352	15.608453750610352
56	bert-base-cased	29	is	prep	expected	0.6314846277236938	0.6314846277236938
57	bert-base-cased	29	is	prep	unexpected	4.776848316192627	4.776848316192627
58	bert-base-cased	30	is	prep	expected	0.9415496587753296	0.9415496587753296
59	bert-base-cased	30	is	prep	unexpected	5.872684478759766	5.872684478759766
60	bert-base-cased	31	is	prep	expected	3.085575580596924	3.085575580596924
61	bert-base-cased	31	is	prep	unexpected	5.701841354370117	5.701841354370117
62	bert-base-cased	32	is	prep	expected	1.2379266023635864	1.2379266023635864
63	bert-base-cased	32	is	prep	unexpected	6.05311393737793	6.05311393737793
64	bert-base-cased	33	is	prep	expected	1.496306538581848	1.496306538581848
65	bert-base-cased	33	is	prep	unexpected	6.314885139465332	6.314885139465332
66	bert-base-cased	34	brings	prep	expected	1.3867508172988892	1.3867508172988892
67	bert-base-cased	34	brings	prep	unexpected	4.823413848876953	4.823413848876953
68	bert-base-cased	35	interests	prep	expected	19.612367630004883	19.612367630004883
69	bert-base-cased	35	interests	prep	unexpected	16.6004638671875	16.6004638671875
70	bert-base-cased	36	is	prep	expected	1.2126696109771729	1.2126696109771729
71	bert-base-cased	36	is	prep	unexpected	3.84118914604187	3.84118914604187
72	bert-base-cased	37	is	prep	expected	0.8215106725692749	0.8215106725692749
73	bert-base-cased	37	is	prep	unexpected	5.651127338409424	5.651127338409424
74	bert-base-cased	38	is	prep	expected	4.608779430389404	4.608779430389404
75	bert-base-cased	38	is	prep	unexpected	6.4428229331970215	6.4428229331970215
76	bert-base-cased	39	is	prep	expected	1.7349203824996948	1.7349203824996948
77	bert-base-cased	39	is	prep	unexpected	7.249593734741211	7.249593734741211
78	bert-base-cased	40	is	prep	expected	2.2577924728393555	2.2577924728393555
79	bert-base-cased	40	is	prep	unexpected	5.47292423248291	5.47292423248291
80	bert-base-cased	41	brings	prep	expected	1.718687653541565	1.718687653541565
81	bert-base-cased	41	brings	prep	unexpected	4.965782165527344	4.965782165527344
82	bert-base-cased	42	interests	prep	expected	18.36362838745117	18.36362838745117
83	bert-base-cased	42	interests	prep	unexpected	15.405070304870604	15.405070304870604
