	model	pairid	lemma	condition	comparison	surpsum	surpmean
0	bert-base-cased	1	likes	long_vp_coord	expected	1.3317657709121704	1.3317657709121704
1	bert-base-cased	1	likes	long_vp_coord	unexpected	9.145308494567873	9.145308494567873
2	bert-base-cased	2	is	long_vp_coord	expected	2.8861570358276367	2.8861570358276367
3	bert-base-cased	2	is	long_vp_coord	unexpected	13.17575740814209	13.17575740814209
4	bert-base-cased	3	enjoys	long_vp_coord	expected	0.2466497123241424	0.2466497123241424
5	bert-base-cased	3	enjoys	long_vp_coord	unexpected	9.30618667602539	9.30618667602539
6	bert-base-cased	4	writes	long_vp_coord	expected	0.5347952842712402	0.5347952842712402
7	bert-base-cased	4	writes	long_vp_coord	unexpected	11.068727493286133	11.068727493286133
8	bert-base-cased	5	knows	long_vp_coord	expected	5.281867027282715	5.281867027282715
9	bert-base-cased	5	knows	long_vp_coord	unexpected	3.689285516738892	3.689285516738892
10	bert-base-cased	6	is	long_vp_coord	expected	1.3576472997665403	1.3576472997665403
11	bert-base-cased	6	is	long_vp_coord	unexpected	7.72479772567749	7.72479772567749
12	bert-base-cased	7	enjoys	long_vp_coord	expected	0.2759808301925659	0.2759808301925659
13	bert-base-cased	7	enjoys	long_vp_coord	unexpected	3.4315185546875	3.4315185546875
14	bert-base-cased	8	writes	long_vp_coord	expected	2.9898664951324463	2.9898664951324463
15	bert-base-cased	8	writes	long_vp_coord	unexpected	1.133408784866333	1.133408784866333
16	bert-base-cased	9	knows	long_vp_coord	expected	1.9445946216583248	1.9445946216583248
17	bert-base-cased	9	knows	long_vp_coord	unexpected	11.478821754455566	11.478821754455566
18	bert-base-cased	10	likes	long_vp_coord	expected	1.739131212234497	1.739131212234497
19	bert-base-cased	10	likes	long_vp_coord	unexpected	8.815369606018066	8.815369606018066
20	bert-base-cased	11	enjoys	long_vp_coord	expected	0.4457875490188598	0.4457875490188598
21	bert-base-cased	11	enjoys	long_vp_coord	unexpected	10.383713722229004	10.383713722229004
22	bert-base-cased	12	writes	long_vp_coord	expected	1.167946219444275	1.167946219444275
23	bert-base-cased	12	writes	long_vp_coord	unexpected	9.58030605316162	9.58030605316162
24	bert-base-cased	13	knows	long_vp_coord	expected	3.4865546226501465	3.4865546226501465
25	bert-base-cased	13	knows	long_vp_coord	unexpected	11.65380859375	11.65380859375
26	bert-base-cased	14	likes	long_vp_coord	expected	1.1202948093414309	1.1202948093414309
27	bert-base-cased	14	likes	long_vp_coord	unexpected	9.45863151550293	9.45863151550293
28	bert-base-cased	15	is	long_vp_coord	expected	6.125873565673828	6.125873565673828
29	bert-base-cased	15	is	long_vp_coord	unexpected	11.679198265075684	11.679198265075684
30	bert-base-cased	16	writes	long_vp_coord	expected	2.515810966491699	2.515810966491699
31	bert-base-cased	16	writes	long_vp_coord	unexpected	9.681452751159668	9.681452751159668
32	bert-base-cased	17	knows	long_vp_coord	expected	4.359832286834717	4.359832286834717
33	bert-base-cased	17	knows	long_vp_coord	unexpected	13.280643463134766	13.280643463134766
34	bert-base-cased	18	likes	long_vp_coord	expected	1.8546884059906008	1.8546884059906008
35	bert-base-cased	18	likes	long_vp_coord	unexpected	9.743330001831056	9.743330001831056
36	bert-base-cased	19	is	long_vp_coord	expected	3.1446428298950195	3.1446428298950195
37	bert-base-cased	19	is	long_vp_coord	unexpected	13.004849433898926	13.004849433898926
38	bert-base-cased	20	enjoys	long_vp_coord	expected	0.4148120582103729	0.4148120582103729
39	bert-base-cased	20	enjoys	long_vp_coord	unexpected	10.985904693603516	10.985904693603516
40	bert-base-cased	21	likes	long_vp_coord	expected	1.406769037246704	1.406769037246704
41	bert-base-cased	21	likes	long_vp_coord	unexpected	9.40549659729004	9.40549659729004
42	bert-base-cased	22	is	long_vp_coord	expected	0.504154622554779	0.504154622554779
43	bert-base-cased	22	is	long_vp_coord	unexpected	11.42095184326172	11.42095184326172
44	bert-base-cased	23	enjoys	long_vp_coord	expected	0.1570586860179901	0.1570586860179901
45	bert-base-cased	23	enjoys	long_vp_coord	unexpected	10.046603202819824	10.046603202819824
46	bert-base-cased	24	writes	long_vp_coord	expected	0.7339054346084595	0.7339054346084595
47	bert-base-cased	24	writes	long_vp_coord	unexpected	10.424761772155762	10.424761772155762
48	bert-base-cased	25	knows	long_vp_coord	expected	5.270183086395264	5.270183086395264
49	bert-base-cased	25	knows	long_vp_coord	unexpected	4.189545631408691	4.189545631408691
50	bert-base-cased	26	is	long_vp_coord	expected	0.605153501033783	0.605153501033783
51	bert-base-cased	26	is	long_vp_coord	unexpected	7.38257884979248	7.38257884979248
52	bert-base-cased	27	enjoys	long_vp_coord	expected	0.5902989506721497	0.5902989506721497
53	bert-base-cased	27	enjoys	long_vp_coord	unexpected	2.6356899738311768	2.6356899738311768
54	bert-base-cased	28	writes	long_vp_coord	expected	3.939074754714966	3.939074754714966
55	bert-base-cased	28	writes	long_vp_coord	unexpected	0.9074140191078186	0.9074140191078186
56	bert-base-cased	29	knows	long_vp_coord	expected	3.026012659072876	3.026012659072876
57	bert-base-cased	29	knows	long_vp_coord	unexpected	13.057600021362305	13.057600021362305
58	bert-base-cased	30	likes	long_vp_coord	expected	2.5942254066467285	2.5942254066467285
59	bert-base-cased	30	likes	long_vp_coord	unexpected	9.086295127868652	9.086295127868652
60	bert-base-cased	31	enjoys	long_vp_coord	expected	0.744044303894043	0.744044303894043
61	bert-base-cased	31	enjoys	long_vp_coord	unexpected	9.879803657531738	9.879803657531738
62	bert-base-cased	32	writes	long_vp_coord	expected	1.7157390117645264	1.7157390117645264
63	bert-base-cased	32	writes	long_vp_coord	unexpected	8.126035690307617	8.126035690307617
64	bert-base-cased	33	knows	long_vp_coord	expected	3.88871955871582	3.88871955871582
65	bert-base-cased	33	knows	long_vp_coord	unexpected	12.08368968963623	12.08368968963623
66	bert-base-cased	34	likes	long_vp_coord	expected	1.3351006507873535	1.3351006507873535
67	bert-base-cased	34	likes	long_vp_coord	unexpected	9.568021774291992	9.568021774291992
68	bert-base-cased	35	is	long_vp_coord	expected	1.6938972473144531	1.6938972473144531
69	bert-base-cased	35	is	long_vp_coord	unexpected	8.718992233276367	8.718992233276367
70	bert-base-cased	36	writes	long_vp_coord	expected	1.7620205879211426	1.7620205879211426
71	bert-base-cased	36	writes	long_vp_coord	unexpected	8.431870460510254	8.431870460510254
72	bert-base-cased	37	knows	long_vp_coord	expected	3.4133286476135254	3.4133286476135254
73	bert-base-cased	37	knows	long_vp_coord	unexpected	12.545209884643556	12.545209884643556
74	bert-base-cased	38	likes	long_vp_coord	expected	3.115081787109375	3.115081787109375
75	bert-base-cased	38	likes	long_vp_coord	unexpected	10.764451026916504	10.764451026916504
76	bert-base-cased	39	is	long_vp_coord	expected	1.517881155014038	1.517881155014038
77	bert-base-cased	39	is	long_vp_coord	unexpected	11.760919570922852	11.760919570922852
78	bert-base-cased	40	enjoys	long_vp_coord	expected	0.4427151083946228	0.4427151083946228
79	bert-base-cased	40	enjoys	long_vp_coord	unexpected	11.15575885772705	11.15575885772705
80	bert-base-cased	41	likes	long_vp_coord	expected	1.4728918075561523	1.4728918075561523
81	bert-base-cased	41	likes	long_vp_coord	unexpected	9.474191665649414	9.474191665649414
82	bert-base-cased	42	is	long_vp_coord	expected	0.9232450723648072	0.9232450723648072
83	bert-base-cased	42	is	long_vp_coord	unexpected	11.331602096557615	11.331602096557615
84	bert-base-cased	43	enjoys	long_vp_coord	expected	0.2940415441989898	0.2940415441989898
85	bert-base-cased	43	enjoys	long_vp_coord	unexpected	10.029715538024902	10.029715538024902
86	bert-base-cased	44	writes	long_vp_coord	expected	0.6463422775268555	0.6463422775268555
87	bert-base-cased	44	writes	long_vp_coord	unexpected	10.423810958862305	10.423810958862305
88	bert-base-cased	45	knows	long_vp_coord	expected	6.580599784851074	6.580599784851074
89	bert-base-cased	45	knows	long_vp_coord	unexpected	3.597139358520508	3.597139358520508
90	bert-base-cased	46	is	long_vp_coord	expected	1.0045701265335083	1.0045701265335083
91	bert-base-cased	46	is	long_vp_coord	unexpected	6.934730529785156	6.934730529785156
92	bert-base-cased	47	enjoys	long_vp_coord	expected	0.4062125384807586	0.4062125384807586
93	bert-base-cased	47	enjoys	long_vp_coord	unexpected	3.081968307495117	3.081968307495117
94	bert-base-cased	48	writes	long_vp_coord	expected	4.126028060913086	4.126028060913086
95	bert-base-cased	48	writes	long_vp_coord	unexpected	0.7912032604217529	0.7912032604217529
96	bert-base-cased	49	knows	long_vp_coord	expected	2.295738697052002	2.295738697052002
97	bert-base-cased	49	knows	long_vp_coord	unexpected	12.250181198120115	12.250181198120115
98	bert-base-cased	50	likes	long_vp_coord	expected	2.0650131702423096	2.0650131702423096
99	bert-base-cased	50	likes	long_vp_coord	unexpected	9.489177703857422	9.489177703857422
100	bert-base-cased	51	enjoys	long_vp_coord	expected	0.6558778882026672	0.6558778882026672
101	bert-base-cased	51	enjoys	long_vp_coord	unexpected	9.89150047302246	9.89150047302246
102	bert-base-cased	52	writes	long_vp_coord	expected	1.3545929193496704	1.3545929193496704
103	bert-base-cased	52	writes	long_vp_coord	unexpected	8.76187515258789	8.76187515258789
104	bert-base-cased	53	knows	long_vp_coord	expected	3.2461471557617188	3.2461471557617188
105	bert-base-cased	53	knows	long_vp_coord	unexpected	11.809971809387209	11.809971809387209
106	bert-base-cased	54	likes	long_vp_coord	expected	0.999698519706726	0.999698519706726
107	bert-base-cased	54	likes	long_vp_coord	unexpected	9.7114896774292	9.7114896774292
108	bert-base-cased	55	is	long_vp_coord	expected	1.6803265810012815	1.6803265810012815
109	bert-base-cased	55	is	long_vp_coord	unexpected	8.918951034545898	8.918951034545898
110	bert-base-cased	56	writes	long_vp_coord	expected	1.930820345878601	1.930820345878601
111	bert-base-cased	56	writes	long_vp_coord	unexpected	8.905768394470215	8.905768394470215
112	bert-base-cased	57	knows	long_vp_coord	expected	3.550360918045044	3.550360918045044
113	bert-base-cased	57	knows	long_vp_coord	unexpected	12.839399337768556	12.839399337768556
114	bert-base-cased	58	likes	long_vp_coord	expected	2.3064568042755127	2.3064568042755127
115	bert-base-cased	58	likes	long_vp_coord	unexpected	10.415315628051758	10.415315628051758
116	bert-base-cased	59	is	long_vp_coord	expected	2.641587018966675	2.641587018966675
117	bert-base-cased	59	is	long_vp_coord	unexpected	12.363635063171388	12.363635063171388
