sentid	comparison	pairid	contextid	lemma	condition	sentence	ROI
1	expected	1	1	רוקד	prep	ה מלצר מאחורי ה שומר רוקד	5
2	unexpected	1	1	רוקד	prep	ה מלצר מאחורי ה שומר רוקדים	5
3	expected	2	2	נוסע	prep	ה מלצר מאחורי ה שומר נוסע	5
4	unexpected	2	2	נוסע	prep	ה מלצר מאחורי ה שומר נוסעים	5
5	expected	3	3	רץ	prep	ה מלצר מאחורי ה שומר רץ	5
6	unexpected	3	3	רץ	prep	ה מלצר מאחורי ה שומר רצים	5
7	expected	4	4	ישן	prep	ה מלצר מאחורי ה שומר ישן	5
8	unexpected	4	4	ישן	prep	ה מלצר מאחורי ה שומר ישנים	5
9	expected	5	5	שוחה	prep	ה מלצר מאחורי ה שומר שוחה	5
10	unexpected	5	5	שוחה	prep	ה מלצר מאחורי ה שומר שוחים	5
11	expected	6	6	חי	prep	ה מלצר מאחורי ה שומר חי	5
12	unexpected	6	6	חי	prep	ה מלצר מאחורי ה שומר חיים	5
13	expected	7	7	צוחק	prep	ה מלצר מאחורי ה שומר צוחק	5
14	unexpected	7	7	צוחק	prep	ה מלצר מאחורי ה שומר צוחקים	5
15	expected	8	8	רוקד	prep	ה מנהל מאחורי ה שומר רוקד	5
16	unexpected	8	8	רוקד	prep	ה מנהל מאחורי ה שומר רוקדים	5
17	expected	9	9	נוסע	prep	ה מנהל מאחורי ה שומר נוסע	5
18	unexpected	9	9	נוסע	prep	ה מנהל מאחורי ה שומר נוסעים	5
19	expected	10	10	רץ	prep	ה מנהל מאחורי ה שומר רץ	5
20	unexpected	10	10	רץ	prep	ה מנהל מאחורי ה שומר רצים	5
21	expected	11	11	ישן	prep	ה מנהל מאחורי ה שומר ישן	5
22	unexpected	11	11	ישן	prep	ה מנהל מאחורי ה שומר ישנים	5
23	expected	12	12	שוחה	prep	ה מנהל מאחורי ה שומר שוחה	5
24	unexpected	12	12	שוחה	prep	ה מנהל מאחורי ה שומר שוחים	5
25	expected	13	13	חי	prep	ה מנהל מאחורי ה שומר חי	5
26	unexpected	13	13	חי	prep	ה מנהל מאחורי ה שומר חיים	5
27	expected	14	14	צוחק	prep	ה מנהל מאחורי ה שומר צוחק	5
28	unexpected	14	14	צוחק	prep	ה מנהל מאחורי ה שומר צוחקים	5
29	expected	15	15	רוקד	prep	ה חקלאי מאחורי ה שומר רוקד	5
30	unexpected	15	15	רוקד	prep	ה חקלאי מאחורי ה שומר רוקדים	5
31	expected	16	16	נוסע	prep	ה חקלאי מאחורי ה שומר נוסע	5
32	unexpected	16	16	נוסע	prep	ה חקלאי מאחורי ה שומר נוסעים	5
33	expected	17	17	רץ	prep	ה חקלאי מאחורי ה שומר רץ	5
34	unexpected	17	17	רץ	prep	ה חקלאי מאחורי ה שומר רצים	5
35	expected	18	18	ישן	prep	ה חקלאי מאחורי ה שומר ישן	5
36	unexpected	18	18	ישן	prep	ה חקלאי מאחורי ה שומר ישנים	5
