sentid	comparison	pairid	contextid	lemma	condition	sentence	ROI
1	expected	1	1	говорят	obj_rel_across	авторы , которых агенты любят , говорят	6
2	unexpected	1	1	говорят	obj_rel_across	авторы , которых агенты любят , говорит	6
3	expected	2	2	ждали	obj_rel_across	авторы , которых агенты любят , ждали	6
4	unexpected	2	2	ждали	obj_rel_across	авторы , которых агенты любят , ждал	6
5	expected	3	3	читают	obj_rel_across	авторы , которых агенты любят , читают	6
6	unexpected	3	3	читают	obj_rel_across	авторы , которых агенты любят , читает	6
7	expected	4	4	старые	obj_rel_across	авторы , которых агенты любят , старые	6
8	unexpected	4	4	старые	obj_rel_across	авторы , которых агенты любят , старый	6
9	expected	5	5	маленькие	obj_rel_across	авторы , которых агенты любят , маленькие	6
10	unexpected	5	5	маленькие	obj_rel_across	авторы , которых агенты любят , маленький	6
11	expected	6	6	молодые	obj_rel_across	авторы , которых агенты любят , молодые	6
12	unexpected	6	6	молодые	obj_rel_across	авторы , которых агенты любят , молодой	6
13	expected	7	7	большие	obj_rel_across	авторы , которых агенты любят , большие	6
14	unexpected	7	7	большие	obj_rel_across	авторы , которых агенты любят , большой	6
15	expected	8	8	говорят	obj_rel_across	режиссёры , которых агенты любят , говорят	6
16	unexpected	8	8	говорят	obj_rel_across	режиссёры , которых агенты любят , говорит	6
17	expected	9	9	ждали	obj_rel_across	режиссёры , которых агенты любят , ждали	6
18	unexpected	9	9	ждали	obj_rel_across	режиссёры , которых агенты любят , ждал	6
19	expected	10	10	читают	obj_rel_across	режиссёры , которых агенты любят , читают	6
20	unexpected	10	10	читают	obj_rel_across	режиссёры , которых агенты любят , читает	6
21	expected	11	11	старые	obj_rel_across	режиссёры , которых агенты любят , старые	6
22	unexpected	11	11	старые	obj_rel_across	режиссёры , которых агенты любят , старый	6
23	expected	12	12	маленькие	obj_rel_across	режиссёры , которых агенты любят , маленькие	6
24	unexpected	12	12	маленькие	obj_rel_across	режиссёры , которых агенты любят , маленький	6
25	expected	13	13	молодые	obj_rel_across	режиссёры , которых агенты любят , молодые	6
26	unexpected	13	13	молодые	obj_rel_across	режиссёры , которых агенты любят , молодой	6
27	expected	14	14	большие	obj_rel_across	режиссёры , которых агенты любят , большие	6
28	unexpected	14	14	большие	obj_rel_across	режиссёры , которых агенты любят , большой	6
29	expected	15	15	говорят	obj_rel_across	фермеры , которых агенты любят , говорят	6
30	unexpected	15	15	говорят	obj_rel_across	фермеры , которых агенты любят , говорит	6
31	expected	16	16	ждали	obj_rel_across	фермеры , которых агенты любят , ждали	6
32	unexpected	16	16	ждали	obj_rel_across	фермеры , которых агенты любят , ждал	6
33	expected	17	17	читают	obj_rel_across	фермеры , которых агенты любят , читают	6
34	unexpected	17	17	читают	obj_rel_across	фермеры , которых агенты любят , читает	6
35	expected	18	18	старые	obj_rel_across	фермеры , которых агенты любят , старые	6
36	unexpected	18	18	старые	obj_rel_across	фермеры , которых агенты любят , старый	6
37	expected	19	19	маленькие	obj_rel_across	фермеры , которых агенты любят , маленькие	6
38	unexpected	19	19	маленькие	obj_rel_across	фермеры , которых агенты любят , маленький	6
39	expected	20	20	молодые	obj_rel_across	фермеры , которых агенты любят , молодые	6
40	unexpected	20	20	молодые	obj_rel_across	фермеры , которых агенты любят , молодой	6
41	expected	21	21	большие	obj_rel_across	фермеры , которых агенты любят , большие	6
42	unexpected	21	21	большие	obj_rel_across	фермеры , которых агенты любят , большой	6
43	expected	22	22	говорят	obj_rel_across	врачи , которых агенты любят , говорят	6
44	unexpected	22	22	говорят	obj_rel_across	врачи , которых агенты любят , говорит	6
45	expected	23	23	ждали	obj_rel_across	врачи , которых агенты любят , ждали	6
46	unexpected	23	23	ждали	obj_rel_across	врачи , которых агенты любят , ждал	6
47	expected	24	24	читают	obj_rel_across	врачи , которых агенты любят , читают	6
48	unexpected	24	24	читают	obj_rel_across	врачи , которых агенты любят , читает	6
49	expected	25	25	старые	obj_rel_across	врачи , которых агенты любят , старые	6
50	unexpected	25	25	старые	obj_rel_across	врачи , которых агенты любят , старый	6
51	expected	26	26	маленькие	obj_rel_across	врачи , которых агенты любят , маленькие	6
52	unexpected	26	26	маленькие	obj_rel_across	врачи , которых агенты любят , маленький	6
53	expected	27	27	молодые	obj_rel_across	врачи , которых агенты любят , молодые	6
54	unexpected	27	27	молодые	obj_rel_across	врачи , которых агенты любят , молодой	6
55	expected	28	28	большие	obj_rel_across	врачи , которых агенты любят , большие	6
56	unexpected	28	28	большие	obj_rel_across	врачи , которых агенты любят , большой	6
57	expected	29	29	говорят	obj_rel_across	сенаторы , которых агенты любят , говорят	6
58	unexpected	29	29	говорят	obj_rel_across	сенаторы , которых агенты любят , говорит	6
59	expected	30	30	ждали	obj_rel_across	сенаторы , которых агенты любят , ждали	6
60	unexpected	30	30	ждали	obj_rel_across	сенаторы , которых агенты любят , ждал	6
61	expected	31	31	читают	obj_rel_across	сенаторы , которых агенты любят , читают	6
62	unexpected	31	31	читают	obj_rel_across	сенаторы , которых агенты любят , читает	6
63	expected	32	32	старые	obj_rel_across	сенаторы , которых агенты любят , старые	6
64	unexpected	32	32	старые	obj_rel_across	сенаторы , которых агенты любят , старый	6
65	expected	33	33	маленькие	obj_rel_across	сенаторы , которых агенты любят , маленькие	6
66	unexpected	33	33	маленькие	obj_rel_across	сенаторы , которых агенты любят , маленький	6
67	expected	34	34	молодые	obj_rel_across	сенаторы , которых агенты любят , молодые	6
68	unexpected	34	34	молодые	obj_rel_across	сенаторы , которых агенты любят , молодой	6
69	expected	35	35	большие	obj_rel_across	сенаторы , которых агенты любят , большие	6
