sentid	comparison	pairid	contextid	lemma	condition	sentence	ROI
1	expected	1	1	laugh	subj_rel	the authors that like the guard laugh	6
2	unexpected	1	1	laugh	subj_rel	the authors that like the guard laughs	6
3	expected	2	2	swim	subj_rel	the authors that like the guard swim	6
4	unexpected	2	2	swim	subj_rel	the authors that like the guard swims	6
5	expected	3	3	smile	subj_rel	the authors that like the guard smile	6
6	unexpected	3	3	smile	subj_rel	the authors that like the guard smiles	6
7	expected	4	4	are	subj_rel	the authors that like the guard are tall	6
8	unexpected	4	4	are	subj_rel	the authors that like the guard is tall	6
9	expected	5	5	are	subj_rel	the authors that like the guard are old	6
10	unexpected	5	5	are	subj_rel	the authors that like the guard is old	6
11	expected	6	6	are	subj_rel	the authors that like the guard are young	6
12	unexpected	6	6	are	subj_rel	the authors that like the guard is young	6
13	expected	7	7	are	subj_rel	the authors that like the guard are short	6
14	unexpected	7	7	are	subj_rel	the authors that like the guard is short	6
15	expected	8	8	laugh	subj_rel	the authors that like the chef laugh	6
16	unexpected	8	8	laugh	subj_rel	the authors that like the chef laughs	6
17	expected	9	9	swim	subj_rel	the authors that like the chef swim	6
18	unexpected	9	9	swim	subj_rel	the authors that like the chef swims	6
19	expected	10	10	smile	subj_rel	the authors that like the chef smile	6
20	unexpected	10	10	smile	subj_rel	the authors that like the chef smiles	6
21	expected	11	11	are	subj_rel	the authors that like the chef are tall	6
22	unexpected	11	11	are	subj_rel	the authors that like the chef is tall	6
23	expected	12	12	are	subj_rel	the authors that like the chef are old	6
24	unexpected	12	12	are	subj_rel	the authors that like the chef is old	6
25	expected	13	13	are	subj_rel	the authors that like the chef are young	6
26	unexpected	13	13	are	subj_rel	the authors that like the chef is young	6
27	expected	14	14	are	subj_rel	the authors that like the chef are short	6
28	unexpected	14	14	are	subj_rel	the authors that like the chef is short	6
29	expected	15	15	laugh	subj_rel	the authors that like the architect laugh	6
30	unexpected	15	15	laugh	subj_rel	the authors that like the architect laughs	6
31	expected	16	16	swim	subj_rel	the authors that like the architect swim	6
32	unexpected	16	16	swim	subj_rel	the authors that like the architect swims	6
33	expected	17	17	smile	subj_rel	the authors that like the architect smile	6
34	unexpected	17	17	smile	subj_rel	the authors that like the architect smiles	6
35	expected	18	18	are	subj_rel	the authors that like the architect are tall	6
36	unexpected	18	18	are	subj_rel	the authors that like the architect is tall	6
37	expected	19	19	are	subj_rel	the authors that like the architect are old	6
38	unexpected	19	19	are	subj_rel	the authors that like the architect is old	6
39	expected	20	20	are	subj_rel	the authors that like the architect are young	6
40	unexpected	20	20	are	subj_rel	the authors that like the architect is young	6
41	expected	21	21	are	subj_rel	the authors that like the architect are short	6
42	unexpected	21	21	are	subj_rel	the authors that like the architect is short	6
43	expected	22	22	laugh	subj_rel	the authors that like the skater laugh	6
44	unexpected	22	22	laugh	subj_rel	the authors that like the skater laughs	6
45	expected	23	23	swim	subj_rel	the authors that like the skater swim	6
46	unexpected	23	23	swim	subj_rel	the authors that like the skater swims	6
47	expected	24	24	smile	subj_rel	the authors that like the skater smile	6
48	unexpected	24	24	smile	subj_rel	the authors that like the skater smiles	6
49	expected	25	25	are	subj_rel	the authors that like the skater are tall	6
50	unexpected	25	25	are	subj_rel	the authors that like the skater is tall	6
51	expected	26	26	are	subj_rel	the authors that like the skater are old	6
52	unexpected	26	26	are	subj_rel	the authors that like the skater is old	6
53	expected	27	27	are	subj_rel	the authors that like the skater are young	6
54	unexpected	27	27	are	subj_rel	the authors that like the skater is young	6
55	expected	28	28	are	subj_rel	the authors that like the skater are short	6
56	unexpected	28	28	are	subj_rel	the authors that like the skater is short	6
57	expected	29	29	laugh	subj_rel	the authors that like the dancer laugh	6
58	unexpected	29	29	laugh	subj_rel	the authors that like the dancer laughs	6
59	expected	30	30	swim	subj_rel	the authors that like the dancer swim	6
60	unexpected	30	30	swim	subj_rel	the authors that like the dancer swims	6
61	expected	31	31	smile	subj_rel	the authors that like the dancer smile	6
62	unexpected	31	31	smile	subj_rel	the authors that like the dancer smiles	6
63	expected	32	32	are	subj_rel	the authors that like the dancer are tall	6
64	unexpected	32	32	are	subj_rel	the authors that like the dancer is tall	6
65	expected	33	33	are	subj_rel	the authors that like the dancer are old	6
66	unexpected	33	33	are	subj_rel	the authors that like the dancer is old	6
67	expected	34	34	are	subj_rel	the authors that like the dancer are young	6
68	unexpected	34	34	are	subj_rel	the authors that like the dancer is young	6
69	expected	35	35	are	subj_rel	the authors that like the dancer are short	6
70	unexpected	35	35	are	subj_rel	the authors that like the dancer is short	6
71	expected	36	36	laugh	subj_rel	the authors that like the minister laugh	6
72	unexpected	36	36	laugh	subj_rel	the authors that like the minister laughs	6
73	expected	37	37	swim	subj_rel	the authors that like the minister swim	6
74	unexpected	37	37	swim	subj_rel	the authors that like the minister swims	6
75	expected	38	38	smile	subj_rel	the authors that like the minister smile	6
76	unexpected	38	38	smile	subj_rel	the authors that like the minister smiles	6
77	expected	39	39	are	subj_rel	the authors that like the minister are tall	6
78	unexpected	39	39	are	subj_rel	the authors that like the minister is tall	6
79	expected	40	40	are	subj_rel	the authors that like the minister are old	6
80	unexpected	40	40	are	subj_rel	the authors that like the minister is old	6
81	expected	41	41	are	subj_rel	the authors that like the minister are young	6
82	unexpected	41	41	are	subj_rel	the authors that like the minister is young	6
83	expected	42	42	are	subj_rel	the authors that like the minister are short	6
84	unexpected	42	42	are	subj_rel	the authors that like the minister is short	6
85	expected	43	43	laugh	subj_rel	the authors that like the taxi driver laugh	7
86	unexpected	43	43	laugh	subj_rel	the authors that like the taxi driver laughs	7
87	expected	44	44	swim	subj_rel	the authors that like the taxi driver swim	7
88	unexpected	44	44	swim	subj_rel	the authors that like the taxi driver swims	7
89	expected	45	45	smile	subj_rel	the authors that like the taxi driver smile	7
90	unexpected	45	45	smile	subj_rel	the authors that like the taxi driver smiles	7
91	expected	46	46	are	subj_rel	the authors that like the taxi driver are tall	7
92	unexpected	46	46	are	subj_rel	the authors that like the taxi driver is tall	7
93	expected	47	47	are	subj_rel	the authors that like the taxi driver are old	7
94	unexpected	47	47	are	subj_rel	the authors that like the taxi driver is old	7
95	expected	48	48	are	subj_rel	the authors that like the taxi driver are young	7
96	unexpected	48	48	are	subj_rel	the authors that like the taxi driver is young	7
97	expected	49	49	are	subj_rel	the authors that like the taxi driver are short	7
98	unexpected	49	49	are	subj_rel	the authors that like the taxi driver is short	7
99	expected	50	50	laugh	subj_rel	the authors that like the assistant laugh	6
100	unexpected	50	50	laugh	subj_rel	the authors that like the assistant laughs	6
101	expected	51	51	swim	subj_rel	the authors that like the assistant swim	6
