	model	pairid	lemma	condition	comparison	surpsum	surpmean
0	bert-base-cased	1	like	obj_rel_no_comp_within	expected	6.247143268585205	6.247143268585205
1	bert-base-cased	1	like	obj_rel_no_comp_within	unexpected	12.390416145324709	12.390416145324709
2	bert-base-cased	2	like	obj_rel_no_comp_within	expected	10.49481201171875	10.49481201171875
3	bert-base-cased	2	like	obj_rel_no_comp_within	unexpected	18.777238845825195	18.777238845825195
4	bert-base-cased	3	like	obj_rel_no_comp_within	expected	12.07533836364746	12.07533836364746
5	bert-base-cased	3	like	obj_rel_no_comp_within	unexpected	19.48854637145996	19.48854637145996
6	bert-base-cased	4	like	obj_rel_no_comp_within	expected	12.014581680297852	12.014581680297852
7	bert-base-cased	4	like	obj_rel_no_comp_within	unexpected	18.3155460357666	18.3155460357666
8	bert-base-cased	5	like	obj_rel_no_comp_within	expected	10.948290824890137	10.948290824890137
9	bert-base-cased	5	like	obj_rel_no_comp_within	unexpected	18.22772216796875	18.22772216796875
10	bert-base-cased	6	like	obj_rel_no_comp_within	expected	9.230850219726562	9.230850219726562
11	bert-base-cased	6	like	obj_rel_no_comp_within	unexpected	16.38046646118164	16.38046646118164
12	bert-base-cased	7	like	obj_rel_no_comp_within	expected	11.534096717834473	11.534096717834473
13	bert-base-cased	7	like	obj_rel_no_comp_within	unexpected	17.444746017456055	17.444746017456055
14	bert-base-cased	8	admire	obj_rel_no_comp_within	expected	13.604320526123049	13.604320526123049
15	bert-base-cased	8	admire	obj_rel_no_comp_within	unexpected	6.7358158826828	6.7358158826828
16	bert-base-cased	9	admire	obj_rel_no_comp_within	expected	18.50193977355957	18.50193977355957
17	bert-base-cased	9	admire	obj_rel_no_comp_within	unexpected	8.1889408826828	8.1889408826828
18	bert-base-cased	10	admire	obj_rel_no_comp_within	expected	18.227073669433597	18.227073669433597
19	bert-base-cased	10	admire	obj_rel_no_comp_within	unexpected	8.918673694133759	8.918673694133759
20	bert-base-cased	11	admire	obj_rel_no_comp_within	expected	18.072341918945312	18.072341918945312
21	bert-base-cased	11	admire	obj_rel_no_comp_within	unexpected	9.446778774261475	9.446778774261475
22	bert-base-cased	12	admire	obj_rel_no_comp_within	expected	16.291173934936523	16.291173934936523
23	bert-base-cased	12	admire	obj_rel_no_comp_within	unexpected	8.40595829486847	8.40595829486847
24	bert-base-cased	13	admire	obj_rel_no_comp_within	expected	15.212681770324709	15.212681770324709
