sentid	comparison	pairid	contextid	lemma	condition	sentence	ROI
1	expected	1	1	laughs	obj_rel_no_comp_across	the author the guards like laughs	5
2	unexpected	1	1	laughs	obj_rel_no_comp_across	the author the guards like laugh	5
3	expected	2	2	swims	obj_rel_no_comp_across	the author the guards like swims	5
4	unexpected	2	2	swims	obj_rel_no_comp_across	the author the guards like swim	5
5	expected	3	3	smiles	obj_rel_no_comp_across	the author the guards like smiles	5
6	unexpected	3	3	smiles	obj_rel_no_comp_across	the author the guards like smile	5
7	expected	4	4	is	obj_rel_no_comp_across	the author the guards like is tall	5
8	unexpected	4	4	is	obj_rel_no_comp_across	the author the guards like are tall	5
9	expected	5	5	is	obj_rel_no_comp_across	the author the guards like is old	5
10	unexpected	5	5	is	obj_rel_no_comp_across	the author the guards like are old	5
11	expected	6	6	is	obj_rel_no_comp_across	the author the guards like is young	5
12	unexpected	6	6	is	obj_rel_no_comp_across	the author the guards like are young	5
13	expected	7	7	is	obj_rel_no_comp_across	the author the guards like is short	5
14	unexpected	7	7	is	obj_rel_no_comp_across	the author the guards like are short	5
15	expected	8	8	laughs	obj_rel_no_comp_across	the author the guards admire laughs	5
16	unexpected	8	8	laughs	obj_rel_no_comp_across	the author the guards admire laugh	5
17	expected	9	9	swims	obj_rel_no_comp_across	the author the guards admire swims	5
18	unexpected	9	9	swims	obj_rel_no_comp_across	the author the guards admire swim	5
19	expected	10	10	smiles	obj_rel_no_comp_across	the author the guards admire smiles	5
20	unexpected	10	10	smiles	obj_rel_no_comp_across	the author the guards admire smile	5
21	expected	11	11	is	obj_rel_no_comp_across	the author the guards admire is tall	5
22	unexpected	11	11	is	obj_rel_no_comp_across	the author the guards admire are tall	5
23	expected	12	12	is	obj_rel_no_comp_across	the author the guards admire is old	5
24	unexpected	12	12	is	obj_rel_no_comp_across	the author the guards admire are old	5
25	expected	13	13	is	obj_rel_no_comp_across	the author the guards admire is young	5
26	unexpected	13	13	is	obj_rel_no_comp_across	the author the guards admire are young	5
27	expected	14	14	is	obj_rel_no_comp_across	the author the guards admire is short	5
28	unexpected	14	14	is	obj_rel_no_comp_across	the author the guards admire are short	5
29	expected	15	15	laughs	obj_rel_no_comp_across	the author the guards hate laughs	5
30	unexpected	15	15	laughs	obj_rel_no_comp_across	the author the guards hate laugh	5
31	expected	16	16	swims	obj_rel_no_comp_across	the author the guards hate swims	5
32	unexpected	16	16	swims	obj_rel_no_comp_across	the author the guards hate swim	5
33	expected	17	17	smiles	obj_rel_no_comp_across	the author the guards hate smiles	5
34	unexpected	17	17	smiles	obj_rel_no_comp_across	the author the guards hate smile	5
35	expected	18	18	is	obj_rel_no_comp_across	the author the guards hate is tall	5
36	unexpected	18	18	is	obj_rel_no_comp_across	the author the guards hate are tall	5
37	expected	19	19	is	obj_rel_no_comp_across	the author the guards hate is old	5
38	unexpected	19	19	is	obj_rel_no_comp_across	the author the guards hate are old	5
39	expected	20	20	is	obj_rel_no_comp_across	the author the guards hate is young	5
40	unexpected	20	20	is	obj_rel_no_comp_across	the author the guards hate are young	5
41	expected	21	21	is	obj_rel_no_comp_across	the author the guards hate is short	5
42	unexpected	21	21	is	obj_rel_no_comp_across	the author the guards hate are short	5
43	expected	22	22	laughs	obj_rel_no_comp_across	the author the guards love laughs	5
44	unexpected	22	22	laughs	obj_rel_no_comp_across	the author the guards love laugh	5
45	expected	23	23	swims	obj_rel_no_comp_across	the author the guards love swims	5
46	unexpected	23	23	swims	obj_rel_no_comp_across	the author the guards love swim	5
47	expected	24	24	smiles	obj_rel_no_comp_across	the author the guards love smiles	5
48	unexpected	24	24	smiles	obj_rel_no_comp_across	the author the guards love smile	5
49	expected	25	25	is	obj_rel_no_comp_across	the author the guards love is tall	5
50	unexpected	25	25	is	obj_rel_no_comp_across	the author the guards love are tall	5
51	expected	26	26	is	obj_rel_no_comp_across	the author the guards love is old	5
52	unexpected	26	26	is	obj_rel_no_comp_across	the author the guards love are old	5
53	expected	27	27	is	obj_rel_no_comp_across	the author the guards love is young	5
54	unexpected	27	27	is	obj_rel_no_comp_across	the author the guards love are young	5
55	expected	28	28	is	obj_rel_no_comp_across	the author the guards love is short	5
56	unexpected	28	28	is	obj_rel_no_comp_across	the author the guards love are short	5
57	expected	29	29	laughs	obj_rel_no_comp_across	the author the chefs like laughs	5
58	unexpected	29	29	laughs	obj_rel_no_comp_across	the author the chefs like laugh	5
59	expected	30	30	swims	obj_rel_no_comp_across	the author the chefs like swims	5
60	unexpected	30	30	swims	obj_rel_no_comp_across	the author the chefs like swim	5
61	expected	31	31	smiles	obj_rel_no_comp_across	the author the chefs like smiles	5
62	unexpected	31	31	smiles	obj_rel_no_comp_across	the author the chefs like smile	5
63	expected	32	32	is	obj_rel_no_comp_across	the author the chefs like is tall	5
64	unexpected	32	32	is	obj_rel_no_comp_across	the author the chefs like are tall	5
65	expected	33	33	is	obj_rel_no_comp_across	the author the chefs like is old	5
66	unexpected	33	33	is	obj_rel_no_comp_across	the author the chefs like are old	5
67	expected	34	34	is	obj_rel_no_comp_across	the author the chefs like is young	5
68	unexpected	34	34	is	obj_rel_no_comp_across	the author the chefs like are young	5
69	expected	35	35	is	obj_rel_no_comp_across	the author the chefs like is short	5
70	unexpected	35	35	is	obj_rel_no_comp_across	the author the chefs like are short	5
71	expected	36	36	laughs	obj_rel_no_comp_across	the author the chefs admire laughs	5
72	unexpected	36	36	laughs	obj_rel_no_comp_across	the author the chefs admire laugh	5
73	expected	37	37	swims	obj_rel_no_comp_across	the author the chefs admire swims	5
74	unexpected	37	37	swims	obj_rel_no_comp_across	the author the chefs admire swim	5
75	expected	38	38	smiles	obj_rel_no_comp_across	the author the chefs admire smiles	5
76	unexpected	38	38	smiles	obj_rel_no_comp_across	the author the chefs admire smile	5
77	expected	39	39	is	obj_rel_no_comp_across	the author the chefs admire is tall	5
78	unexpected	39	39	is	obj_rel_no_comp_across	the author the chefs admire are tall	5
79	expected	40	40	is	obj_rel_no_comp_across	the author the chefs admire is old	5
80	unexpected	40	40	is	obj_rel_no_comp_across	the author the chefs admire are old	5
81	expected	41	41	is	obj_rel_no_comp_across	the author the chefs admire is young	5
82	unexpected	41	41	is	obj_rel_no_comp_across	the author the chefs admire are young	5
83	expected	42	42	is	obj_rel_no_comp_across	the author the chefs admire is short	5
84	unexpected	42	42	is	obj_rel_no_comp_across	the author the chefs admire are short	5
85	expected	43	43	laughs	obj_rel_no_comp_across	the author the chefs hate laughs	5
86	unexpected	43	43	laughs	obj_rel_no_comp_across	the author the chefs hate laugh	5
87	expected	44	44	swims	obj_rel_no_comp_across	the author the chefs hate swims	5
88	unexpected	44	44	swims	obj_rel_no_comp_across	the author the chefs hate swim	5
89	expected	45	45	smiles	obj_rel_no_comp_across	the author the chefs hate smiles	5
90	unexpected	45	45	smiles	obj_rel_no_comp_across	the author the chefs hate smile	5
91	expected	46	46	is	obj_rel_no_comp_across	the author the chefs hate is tall	5
92	unexpected	46	46	is	obj_rel_no_comp_across	the author the chefs hate are tall	5
93	expected	47	47	is	obj_rel_no_comp_across	the author the chefs hate is old	5
94	unexpected	47	47	is	obj_rel_no_comp_across	the author the chefs hate are old	5
95	expected	48	48	is	obj_rel_no_comp_across	the author the chefs hate is young	5
96	unexpected	48	48	is	obj_rel_no_comp_across	the author the chefs hate are young	5
97	expected	49	49	is	obj_rel_no_comp_across	the author the chefs hate is short	5
98	unexpected	49	49	is	obj_rel_no_comp_across	the author the chefs hate are short	5
99	expected	50	50	laughs	obj_rel_no_comp_across	the author the chefs love laughs	5
100	unexpected	50	50	laughs	obj_rel_no_comp_across	the author the chefs love laugh	5
101	expected	51	51	swims	obj_rel_no_comp_across	the author the chefs love swims	5
102	unexpected	51	51	swims	obj_rel_no_comp_across	the author the chefs love swim	5
103	expected	52	52	smiles	obj_rel_no_comp_across	the author the chefs love smiles	5
104	unexpected	52	52	smiles	obj_rel_no_comp_across	the author the chefs love smile	5
105	expected	53	53	is	obj_rel_no_comp_across	the author the chefs love is tall	5
106	unexpected	53	53	is	obj_rel_no_comp_across	the author the chefs love are tall	5
107	expected	54	54	is	obj_rel_no_comp_across	the author the chefs love is old	5
108	unexpected	54	54	is	obj_rel_no_comp_across	the author the chefs love are old	5
109	expected	55	55	is	obj_rel_no_comp_across	the author the chefs love is young	5
110	unexpected	55	55	is	obj_rel_no_comp_across	the author the chefs love are young	5
111	expected	56	56	is	obj_rel_no_comp_across	the author the chefs love is short	5
112	unexpected	56	56	is	obj_rel_no_comp_across	the author the chefs love are short	5
113	expected	57	57	laughs	obj_rel_no_comp_across	the author the architects like laughs	5
114	unexpected	57	57	laughs	obj_rel_no_comp_across	the author the architects like laugh	5
115	expected	58	58	swims	obj_rel_no_comp_across	the author the architects like swims	5
116	unexpected	58	58	swims	obj_rel_no_comp_across	the author the architects like swim	5
117	expected	59	59	smiles	obj_rel_no_comp_across	the author the architects like smiles	5
118	unexpected	59	59	smiles	obj_rel_no_comp_across	the author the architects like smile	5
119	expected	60	60	is	obj_rel_no_comp_across	the author the architects like is tall	5
120	unexpected	60	60	is	obj_rel_no_comp_across	the author the architects like are tall	5
121	expected	61	61	is	obj_rel_no_comp_across	the author the architects like is old	5
122	unexpected	61	61	is	obj_rel_no_comp_across	the author the architects like are old	5
123	expected	62	62	is	obj_rel_no_comp_across	the author the architects like is young	5
124	unexpected	62	62	is	obj_rel_no_comp_across	the author the architects like are young	5
125	expected	63	63	is	obj_rel_no_comp_across	the author the architects like is short	5
126	unexpected	63	63	is	obj_rel_no_comp_across	the author the architects like are short	5
127	expected	64	64	laughs	obj_rel_no_comp_across	the author the architects admire laughs	5
128	unexpected	64	64	laughs	obj_rel_no_comp_across	the author the architects admire laugh	5
129	expected	65	65	swims	obj_rel_no_comp_across	the author the architects admire swims	5
130	unexpected	65	65	swims	obj_rel_no_comp_across	the author the architects admire swim	5
131	expected	66	66	smiles	obj_rel_no_comp_across	the author the architects admire smiles	5
132	unexpected	66	66	smiles	obj_rel_no_comp_across	the author the architects admire smile	5
133	expected	67	67	is	obj_rel_no_comp_across	the author the architects admire is tall	5
134	unexpected	67	67	is	obj_rel_no_comp_across	the author the architects admire are tall	5
135	expected	68	68	is	obj_rel_no_comp_across	the author the architects admire is old	5
136	unexpected	68	68	is	obj_rel_no_comp_across	the author the architects admire are old	5
137	expected	69	69	is	obj_rel_no_comp_across	the author the architects admire is young	5
138	unexpected	69	69	is	obj_rel_no_comp_across	the author the architects admire are young	5
139	expected	70	70	is	obj_rel_no_comp_across	the author the architects admire is short	5
140	unexpected	70	70	is	obj_rel_no_comp_across	the author the architects admire are short	5
141	expected	71	71	laughs	obj_rel_no_comp_across	the author the architects hate laughs	5
142	unexpected	71	71	laughs	obj_rel_no_comp_across	the author the architects hate laugh	5
143	expected	72	72	swims	obj_rel_no_comp_across	the author the architects hate swims	5
144	unexpected	72	72	swims	obj_rel_no_comp_across	the author the architects hate swim	5
145	expected	73	73	smiles	obj_rel_no_comp_across	the author the architects hate smiles	5
146	unexpected	73	73	smiles	obj_rel_no_comp_across	the author the architects hate smile	5
147	expected	74	74	is	obj_rel_no_comp_across	the author the architects hate is tall	5
148	unexpected	74	74	is	obj_rel_no_comp_across	the author the architects hate are tall	5
149	expected	75	75	is	obj_rel_no_comp_across	the author the architects hate is old	5
150	unexpected	75	75	is	obj_rel_no_comp_across	the author the architects hate are old	5
151	expected	76	76	is	obj_rel_no_comp_across	the author the architects hate is young	5
152	unexpected	76	76	is	obj_rel_no_comp_across	the author the architects hate are young	5
153	expected	77	77	is	obj_rel_no_comp_across	the author the architects hate is short	5
154	unexpected	77	77	is	obj_rel_no_comp_across	the author the architects hate are short	5
155	expected	78	78	laughs	obj_rel_no_comp_across	the author the architects love laughs	5
156	unexpected	78	78	laughs	obj_rel_no_comp_across	the author the architects love laugh	5
157	expected	79	79	swims	obj_rel_no_comp_across	the author the architects love swims	5
158	unexpected	79	79	swims	obj_rel_no_comp_across	the author the architects love swim	5
159	expected	80	80	smiles	obj_rel_no_comp_across	the author the architects love smiles	5
160	unexpected	80	80	smiles	obj_rel_no_comp_across	the author the architects love smile	5
161	expected	81	81	is	obj_rel_no_comp_across	the author the architects love is tall	5
162	unexpected	81	81	is	obj_rel_no_comp_across	the author the architects love are tall	5
163	expected	82	82	is	obj_rel_no_comp_across	the author the architects love is old	5
164	unexpected	82	82	is	obj_rel_no_comp_across	the author the architects love are old	5
165	expected	83	83	is	obj_rel_no_comp_across	the author the architects love is young	5
166	unexpected	83	83	is	obj_rel_no_comp_across	the author the architects love are young	5
167	expected	84	84	is	obj_rel_no_comp_across	the author the architects love is short	5
168	unexpected	84	84	is	obj_rel_no_comp_across	the author the architects love are short	5
169	expected	85	85	laughs	obj_rel_no_comp_across	the author the skaters like laughs	5
170	unexpected	85	85	laughs	obj_rel_no_comp_across	the author the skaters like laugh	5
171	expected	86	86	swims	obj_rel_no_comp_across	the author the skaters like swims	5
172	unexpected	86	86	swims	obj_rel_no_comp_across	the author the skaters like swim	5
173	expected	87	87	smiles	obj_rel_no_comp_across	the author the skaters like smiles	5
174	unexpected	87	87	smiles	obj_rel_no_comp_across	the author the skaters like smile	5
175	expected	88	88	is	obj_rel_no_comp_across	the author the skaters like is tall	5
176	unexpected	88	88	is	obj_rel_no_comp_across	the author the skaters like are tall	5
177	expected	89	89	is	obj_rel_no_comp_across	the author the skaters like is old	5
178	unexpected	89	89	is	obj_rel_no_comp_across	the author the skaters like are old	5
179	expected	90	90	is	obj_rel_no_comp_across	the author the skaters like is young	5
180	unexpected	90	90	is	obj_rel_no_comp_across	the author the skaters like are young	5
181	expected	91	91	is	obj_rel_no_comp_across	the author the skaters like is short	5
182	unexpected	91	91	is	obj_rel_no_comp_across	the author the skaters like are short	5
183	expected	92	92	laughs	obj_rel_no_comp_across	the author the skaters admire laughs	5
184	unexpected	92	92	laughs	obj_rel_no_comp_across	the author the skaters admire laugh	5
185	expected	93	93	swims	obj_rel_no_comp_across	the author the skaters admire swims	5
186	unexpected	93	93	swims	obj_rel_no_comp_across	the author the skaters admire swim	5
187	expected	94	94	smiles	obj_rel_no_comp_across	the author the skaters admire smiles	5
188	unexpected	94	94	smiles	obj_rel_no_comp_across	the author the skaters admire smile	5
189	expected	95	95	is	obj_rel_no_comp_across	the author the skaters admire is tall	5
190	unexpected	95	95	is	obj_rel_no_comp_across	the author the skaters admire are tall	5
191	expected	96	96	is	obj_rel_no_comp_across	the author the skaters admire is old	5
192	unexpected	96	96	is	obj_rel_no_comp_across	the author the skaters admire are old	5
193	expected	97	97	is	obj_rel_no_comp_across	the author the skaters admire is young	5
194	unexpected	97	97	is	obj_rel_no_comp_across	the author the skaters admire are young	5
195	expected	98	98	is	obj_rel_no_comp_across	the author the skaters admire is short	5
196	unexpected	98	98	is	obj_rel_no_comp_across	the author the skaters admire are short	5
197	expected	99	99	laughs	obj_rel_no_comp_across	the author the skaters hate laughs	5
198	unexpected	99	99	laughs	obj_rel_no_comp_across	the author the skaters hate laugh	5
199	expected	100	100	swims	obj_rel_no_comp_across	the author the skaters hate swims	5
200	unexpected	100	100	swims	obj_rel_no_comp_across	the author the skaters hate swim	5
201	expected	101	101	smiles	obj_rel_no_comp_across	the author the skaters hate smiles	5
202	unexpected	101	101	smiles	obj_rel_no_comp_across	the author the skaters hate smile	5
203	expected	102	102	is	obj_rel_no_comp_across	the author the skaters hate is tall	5
204	unexpected	102	102	is	obj_rel_no_comp_across	the author the skaters hate are tall	5
205	expected	103	103	is	obj_rel_no_comp_across	the author the skaters hate is old	5
206	unexpected	103	103	is	obj_rel_no_comp_across	the author the skaters hate are old	5
207	expected	104	104	is	obj_rel_no_comp_across	the author the skaters hate is young	5
208	unexpected	104	104	is	obj_rel_no_comp_across	the author the skaters hate are young	5
209	expected	105	105	is	obj_rel_no_comp_across	the author the skaters hate is short	5
210	unexpected	105	105	is	obj_rel_no_comp_across	the author the skaters hate are short	5
211	expected	106	106	laughs	obj_rel_no_comp_across	the author the skaters love laughs	5
212	unexpected	106	106	laughs	obj_rel_no_comp_across	the author the skaters love laugh	5
213	expected	107	107	swims	obj_rel_no_comp_across	the author the skaters love swims	5
214	unexpected	107	107	swims	obj_rel_no_comp_across	the author the skaters love swim	5
215	expected	108	108	smiles	obj_rel_no_comp_across	the author the skaters love smiles	5
216	unexpected	108	108	smiles	obj_rel_no_comp_across	the author the skaters love smile	5
217	expected	109	109	is	obj_rel_no_comp_across	the author the skaters love is tall	5
218	unexpected	109	109	is	obj_rel_no_comp_across	the author the skaters love are tall	5
219	expected	110	110	is	obj_rel_no_comp_across	the author the skaters love is old	5
220	unexpected	110	110	is	obj_rel_no_comp_across	the author the skaters love are old	5
221	expected	111	111	is	obj_rel_no_comp_across	the author the skaters love is young	5
222	unexpected	111	111	is	obj_rel_no_comp_across	the author the skaters love are young	5
223	expected	112	112	is	obj_rel_no_comp_across	the author the skaters love is short	5
224	unexpected	112	112	is	obj_rel_no_comp_across	the author the skaters love are short	5
225	expected	113	113	laughs	obj_rel_no_comp_across	the author the dancers like laughs	5
226	unexpected	113	113	laughs	obj_rel_no_comp_across	the author the dancers like laugh	5
227	expected	114	114	swims	obj_rel_no_comp_across	the author the dancers like swims	5
228	unexpected	114	114	swims	obj_rel_no_comp_across	the author the dancers like swim	5
229	expected	115	115	smiles	obj_rel_no_comp_across	the author the dancers like smiles	5
230	unexpected	115	115	smiles	obj_rel_no_comp_across	the author the dancers like smile	5
231	expected	116	116	is	obj_rel_no_comp_across	the author the dancers like is tall	5
232	unexpected	116	116	is	obj_rel_no_comp_across	the author the dancers like are tall	5
233	expected	117	117	is	obj_rel_no_comp_across	the author the dancers like is old	5
234	unexpected	117	117	is	obj_rel_no_comp_across	the author the dancers like are old	5
235	expected	118	118	is	obj_rel_no_comp_across	the author the dancers like is young	5
236	unexpected	118	118	is	obj_rel_no_comp_across	the author the dancers like are young	5
237	expected	119	119	is	obj_rel_no_comp_across	the author the dancers like is short	5
238	unexpected	119	119	is	obj_rel_no_comp_across	the author the dancers like are short	5
239	expected	120	120	laughs	obj_rel_no_comp_across	the author the dancers admire laughs	5
240	unexpected	120	120	laughs	obj_rel_no_comp_across	the author the dancers admire laugh	5
241	expected	121	121	swims	obj_rel_no_comp_across	the author the dancers admire swims	5
242	unexpected	121	121	swims	obj_rel_no_comp_across	the author the dancers admire swim	5
243	expected	122	122	smiles	obj_rel_no_comp_across	the author the dancers admire smiles	5
244	unexpected	122	122	smiles	obj_rel_no_comp_across	the author the dancers admire smile	5
245	expected	123	123	is	obj_rel_no_comp_across	the author the dancers admire is tall	5
246	unexpected	123	123	is	obj_rel_no_comp_across	the author the dancers admire are tall	5
247	expected	124	124	is	obj_rel_no_comp_across	the author the dancers admire is old	5
248	unexpected	124	124	is	obj_rel_no_comp_across	the author the dancers admire are old	5
249	expected	125	125	is	obj_rel_no_comp_across	the author the dancers admire is young	5
