sentid	comparison	pairid	contextid	lemma	condition	sentence	ROI
1	expected	1	1	swim	vp_coord	the authors laugh and swim	4
2	unexpected	1	1	swim	vp_coord	the authors laugh and swims	4
3	expected	2	2	smile	vp_coord	the authors laugh and smile	4
4	unexpected	2	2	smile	vp_coord	the authors laugh and smiles	4
5	expected	3	3	are	vp_coord	the authors laugh and are tall	4
6	unexpected	3	3	are	vp_coord	the authors laugh and is tall	4
7	expected	4	4	are	vp_coord	the authors laugh and are old	4
8	unexpected	4	4	are	vp_coord	the authors laugh and is old	4
9	expected	5	5	are	vp_coord	the authors laugh and are young	4
10	unexpected	5	5	are	vp_coord	the authors laugh and is young	4
11	expected	6	6	are	vp_coord	the authors laugh and are short	4
12	unexpected	6	6	are	vp_coord	the authors laugh and is short	4
13	expected	7	7	laugh	vp_coord	the authors swim and laugh	4
14	unexpected	7	7	laugh	vp_coord	the authors swim and laughs	4
15	expected	8	8	smile	vp_coord	the authors swim and smile	4
16	unexpected	8	8	smile	vp_coord	the authors swim and smiles	4
17	expected	9	9	are	vp_coord	the authors swim and are tall	4
18	unexpected	9	9	are	vp_coord	the authors swim and is tall	4
19	expected	10	10	are	vp_coord	the authors swim and are old	4
20	unexpected	10	10	are	vp_coord	the authors swim and is old	4
21	expected	11	11	are	vp_coord	the authors swim and are young	4
22	unexpected	11	11	are	vp_coord	the authors swim and is young	4
23	expected	12	12	are	vp_coord	the authors swim and are short	4
24	unexpected	12	12	are	vp_coord	the authors swim and is short	4
25	expected	13	13	laugh	vp_coord	the authors smile and laugh	4
26	unexpected	13	13	laugh	vp_coord	the authors smile and laughs	4
27	expected	14	14	swim	vp_coord	the authors smile and swim	4
28	unexpected	14	14	swim	vp_coord	the authors smile and swims	4
29	expected	15	15	are	vp_coord	the authors smile and are tall	4
30	unexpected	15	15	are	vp_coord	the authors smile and is tall	4
31	expected	16	16	are	vp_coord	the authors smile and are old	4
32	unexpected	16	16	are	vp_coord	the authors smile and is old	4
33	expected	17	17	are	vp_coord	the authors smile and are young	4
34	unexpected	17	17	are	vp_coord	the authors smile and is young	4
35	expected	18	18	are	vp_coord	the authors smile and are short	4
36	unexpected	18	18	are	vp_coord	the authors smile and is short	4
37	expected	19	19	laugh	vp_coord	the authors are tall and laugh	5
38	unexpected	19	19	laugh	vp_coord	the authors are tall and laughs	5
39	expected	20	20	swim	vp_coord	the authors are tall and swim	5
40	unexpected	20	20	swim	vp_coord	the authors are tall and swims	5
