sentid	comparison	pairid	contextid	lemma	condition	sentence	ROI
1	expected	1	1	говорят	prep	авторы перед агентами говорят	3
2	unexpected	1	1	говорят	prep	авторы перед агентами говорит	3
3	expected	2	2	ждали	prep	авторы перед агентами ждали	3
4	unexpected	2	2	ждали	prep	авторы перед агентами ждал	3
5	expected	3	3	читают	prep	авторы перед агентами читают	3
6	unexpected	3	3	читают	prep	авторы перед агентами читает	3
7	expected	4	4	старые	prep	авторы перед агентами старые	3
8	unexpected	4	4	старые	prep	авторы перед агентами старый	3
9	expected	5	5	маленькие	prep	авторы перед агентами маленькие	3
10	unexpected	5	5	маленькие	prep	авторы перед агентами маленький	3
11	expected	6	6	молодые	prep	авторы перед агентами молодые	3
12	unexpected	6	6	молодые	prep	авторы перед агентами молодой	3
13	expected	7	7	большие	prep	авторы перед агентами большие	3
14	unexpected	7	7	большие	prep	авторы перед агентами большой	3
15	expected	8	8	говорят	prep	режиссёры перед агентами говорят	3
16	unexpected	8	8	говорят	prep	режиссёры перед агентами говорит	3
17	expected	9	9	ждали	prep	режиссёры перед агентами ждали	3
18	unexpected	9	9	ждали	prep	режиссёры перед агентами ждал	3
19	expected	10	10	читают	prep	режиссёры перед агентами читают	3
20	unexpected	10	10	читают	prep	режиссёры перед агентами читает	3
21	expected	11	11	старые	prep	режиссёры перед агентами старые	3
22	unexpected	11	11	старые	prep	режиссёры перед агентами старый	3
23	expected	12	12	маленькие	prep	режиссёры перед агентами маленькие	3
24	unexpected	12	12	маленькие	prep	режиссёры перед агентами маленький	3
25	expected	13	13	молодые	prep	режиссёры перед агентами молодые	3
26	unexpected	13	13	молодые	prep	режиссёры перед агентами молодой	3
27	expected	14	14	большие	prep	режиссёры перед агентами большие	3
28	unexpected	14	14	большие	prep	режиссёры перед агентами большой	3
29	expected	15	15	говорят	prep	фермеры перед агентами говорят	3
30	unexpected	15	15	говорят	prep	фермеры перед агентами говорит	3
31	expected	16	16	ждали	prep	фермеры перед агентами ждали	3
32	unexpected	16	16	ждали	prep	фермеры перед агентами ждал	3
33	expected	17	17	читают	prep	фермеры перед агентами читают	3
34	unexpected	17	17	читают	prep	фермеры перед агентами читает	3
35	expected	18	18	старые	prep	фермеры перед агентами старые	3
36	unexpected	18	18	старые	prep	фермеры перед агентами старый	3
37	expected	19	19	маленькие	prep	фермеры перед агентами маленькие	3
38	unexpected	19	19	маленькие	prep	фермеры перед агентами маленький	3
39	expected	20	20	молодые	prep	фермеры перед агентами молодые	3
40	unexpected	20	20	молодые	prep	фермеры перед агентами молодой	3
41	expected	21	21	большие	prep	фермеры перед агентами большие	3
42	unexpected	21	21	большие	prep	фермеры перед агентами большой	3
43	expected	22	22	говорят	prep	врачи перед агентами говорят	3
44	unexpected	22	22	говорят	prep	врачи перед агентами говорит	3
45	expected	23	23	ждали	prep	врачи перед агентами ждали	3
46	unexpected	23	23	ждали	prep	врачи перед агентами ждал	3
47	expected	24	24	читают	prep	врачи перед агентами читают	3
48	unexpected	24	24	читают	prep	врачи перед агентами читает	3
49	expected	25	25	старые	prep	врачи перед агентами старые	3
50	unexpected	25	25	старые	prep	врачи перед агентами старый	3
51	expected	26	26	маленькие	prep	врачи перед агентами маленькие	3
52	unexpected	26	26	маленькие	prep	врачи перед агентами маленький	3
53	expected	27	27	молодые	prep	врачи перед агентами молодые	3
54	unexpected	27	27	молодые	prep	врачи перед агентами молодой	3
55	expected	28	28	большие	prep	врачи перед агентами большие	3
56	unexpected	28	28	большие	prep	врачи перед агентами большой	3
57	expected	29	29	говорят	prep	сенаторы перед агентами говорят	3
58	unexpected	29	29	говорят	prep	сенаторы перед агентами говорит	3
59	expected	30	30	ждали	prep	сенаторы перед агентами ждали	3
60	unexpected	30	30	ждали	prep	сенаторы перед агентами ждал	3
61	expected	31	31	читают	prep	сенаторы перед агентами читают	3
62	unexpected	31	31	читают	prep	сенаторы перед агентами читает	3
63	expected	32	32	старые	prep	сенаторы перед агентами старые	3
64	unexpected	32	32	старые	prep	сенаторы перед агентами старый	3
65	expected	33	33	маленькие	prep	сенаторы перед агентами маленькие	3
66	unexpected	33	33	маленькие	prep	сенаторы перед агентами маленький	3
67	expected	34	34	молодые	prep	сенаторы перед агентами молодые	3
68	unexpected	34	34	молодые	prep	сенаторы перед агентами молодой	3
69	expected	35	35	большие	prep	сенаторы перед агентами большие	3
70	unexpected	35	35	большие	prep	сенаторы перед агентами большой	3
71	expected	36	36	говорят	prep	профессора перед агентами говорят	3
72	unexpected	36	36	говорят	prep	профессора перед агентами говорит	3
73	expected	37	37	ждали	prep	профессора перед агентами ждали	3
74	unexpected	37	37	ждали	prep	профессора перед агентами ждал	3
75	expected	38	38	читают	prep	профессора перед агентами читают	3
76	unexpected	38	38	читают	prep	профессора перед агентами читает	3
77	expected	39	39	старые	prep	профессора перед агентами старые	3
78	unexpected	39	39	старые	prep	профессора перед агентами старый	3
79	expected	40	40	маленькие	prep	профессора перед агентами маленькие	3
80	unexpected	40	40	маленькие	prep	профессора перед агентами маленький	3
81	expected	41	41	молодые	prep	профессора перед агентами молодые	3
82	unexpected	41	41	молодые	prep	профессора перед агентами молодой	3
83	expected	42	42	большие	prep	профессора перед агентами большие	3
84	unexpected	42	42	большие	prep	профессора перед агентами большой	3
85	expected	43	43	говорят	prep	клиенты перед агентами говорят	3
86	unexpected	43	43	говорят	prep	клиенты перед агентами говорит	3
87	expected	44	44	ждали	prep	клиенты перед агентами ждали	3
88	unexpected	44	44	ждали	prep	клиенты перед агентами ждал	3
