	model	pairid	lemma	condition	comparison	surpsum	surpmean
0	bert-base-cased	1	laughs	simple_agrmt	expected	22.130779266357425	22.130779266357425
1	bert-base-cased	1	laughs	simple_agrmt	unexpected	24.708660125732425	24.708660125732425
2	bert-base-cased	2	swims	simple_agrmt	expected	15.68785524368286	15.68785524368286
3	bert-base-cased	2	swims	simple_agrmt	unexpected	26.90332794189453	26.90332794189453
4	bert-base-cased	3	smiles	simple_agrmt	expected	21.051929473876957	21.051929473876957
5	bert-base-cased	3	smiles	simple_agrmt	unexpected	22.52516365051269	22.52516365051269
6	bert-base-cased	4	is	simple_agrmt	expected	0.2407885640859604	0.2407885640859604
7	bert-base-cased	4	is	simple_agrmt	unexpected	10.48898220062256	10.48898220062256
8	bert-base-cased	5	is	simple_agrmt	expected	0.8941315412521362	0.8941315412521362
9	bert-base-cased	5	is	simple_agrmt	unexpected	9.76594066619873	9.76594066619873
10	bert-base-cased	6	is	simple_agrmt	expected	1.7291686534881592	1.7291686534881592
11	bert-base-cased	6	is	simple_agrmt	unexpected	12.28696632385254	12.28696632385254
12	bert-base-cased	7	is	simple_agrmt	expected	1.9772942066192627	1.9772942066192627
13	bert-base-cased	7	is	simple_agrmt	unexpected	8.866033554077148	8.866033554077148
14	bert-base-cased	8	laughs	simple_agrmt	expected	21.18970489501953	21.18970489501953
15	bert-base-cased	8	laughs	simple_agrmt	unexpected	25.14788055419922	25.14788055419922
16	bert-base-cased	9	swims	simple_agrmt	expected	13.845539093017578	13.845539093017578
17	bert-base-cased	9	swims	simple_agrmt	unexpected	26.36865997314453	26.36865997314453
18	bert-base-cased	10	smiles	simple_agrmt	expected	21.293256759643555	21.293256759643555
19	bert-base-cased	10	smiles	simple_agrmt	unexpected	23.692466735839844	23.692466735839844
20	bert-base-cased	11	is	simple_agrmt	expected	2.5228281021118164	2.5228281021118164
21	bert-base-cased	11	is	simple_agrmt	unexpected	13.08181095123291	13.08181095123291
22	bert-base-cased	12	is	simple_agrmt	expected	1.9215060472488403	1.9215060472488403
23	bert-base-cased	12	is	simple_agrmt	unexpected	10.120942115783691	10.120942115783691
24	bert-base-cased	13	is	simple_agrmt	expected	1.1438146829605105	1.1438146829605105
25	bert-base-cased	13	is	simple_agrmt	unexpected	11.650674819946287	11.650674819946287
26	bert-base-cased	14	is	simple_agrmt	expected	2.3069233894348145	2.3069233894348145
27	bert-base-cased	14	is	simple_agrmt	unexpected	12.119844436645508	12.119844436645508
28	bert-base-cased	15	laughs	simple_agrmt	expected	20.18512725830078	20.18512725830078
29	bert-base-cased	15	laughs	simple_agrmt	unexpected	23.119123458862305	23.119123458862305
30	bert-base-cased	16	swims	simple_agrmt	expected	15.995894908905031	15.995894908905031
31	bert-base-cased	16	swims	simple_agrmt	unexpected	26.14696311950684	26.14696311950684
32	bert-base-cased	17	smiles	simple_agrmt	expected	20.453109741210938	20.453109741210938
33	bert-base-cased	17	smiles	simple_agrmt	unexpected	21.66940689086914	21.66940689086914
34	bert-base-cased	18	is	simple_agrmt	expected	4.057584285736084	4.057584285736084
35	bert-base-cased	18	is	simple_agrmt	unexpected	13.93995475769043	13.93995475769043
36	bert-base-cased	19	is	simple_agrmt	expected	2.628757953643799	2.628757953643799
37	bert-base-cased	19	is	simple_agrmt	unexpected	9.130152702331545	9.130152702331545
38	bert-base-cased	20	is	simple_agrmt	expected	3.708630323410034	3.708630323410034
39	bert-base-cased	20	is	simple_agrmt	unexpected	13.017134666442873	13.017134666442873
40	bert-base-cased	21	is	simple_agrmt	expected	4.289533615112305	4.289533615112305
41	bert-base-cased	21	is	simple_agrmt	unexpected	12.069147109985352	12.069147109985352
