sentid	comparison	pairid	contextid	lemma	condition	sentence	ROI
1	expected	1	1	laugh	prep	the authors next to the guard laugh	6
2	unexpected	1	1	laugh	prep	the authors next to the guard laughs	6
3	expected	2	2	swim	prep	the authors next to the guard swim	6
4	unexpected	2	2	swim	prep	the authors next to the guard swims	6
5	expected	3	3	smile	prep	the authors next to the guard smile	6
6	unexpected	3	3	smile	prep	the authors next to the guard smiles	6
7	expected	4	4	are	prep	the authors next to the guard are tall	6
8	unexpected	4	4	are	prep	the authors next to the guard is tall	6
9	expected	5	5	are	prep	the authors next to the guard are old	6
10	unexpected	5	5	are	prep	the authors next to the guard is old	6
11	expected	6	6	are	prep	the authors next to the guard are young	6
12	unexpected	6	6	are	prep	the authors next to the guard is young	6
13	expected	7	7	are	prep	the authors next to the guard are short	6
14	unexpected	7	7	are	prep	the authors next to the guard is short	6
15	expected	8	8	laugh	prep	the authors next to the chef laugh	6
16	unexpected	8	8	laugh	prep	the authors next to the chef laughs	6
17	expected	9	9	swim	prep	the authors next to the chef swim	6
18	unexpected	9	9	swim	prep	the authors next to the chef swims	6
19	expected	10	10	smile	prep	the authors next to the chef smile	6
20	unexpected	10	10	smile	prep	the authors next to the chef smiles	6
21	expected	11	11	are	prep	the authors next to the chef are tall	6
22	unexpected	11	11	are	prep	the authors next to the chef is tall	6
23	expected	12	12	are	prep	the authors next to the chef are old	6
24	unexpected	12	12	are	prep	the authors next to the chef is old	6
25	expected	13	13	are	prep	the authors next to the chef are young	6
26	unexpected	13	13	are	prep	the authors next to the chef is young	6
27	expected	14	14	are	prep	the authors next to the chef are short	6
28	unexpected	14	14	are	prep	the authors next to the chef is short	6
29	expected	15	15	laugh	prep	the authors next to the architect laugh	6
30	unexpected	15	15	laugh	prep	the authors next to the architect laughs	6
31	expected	16	16	swim	prep	the authors next to the architect swim	6
32	unexpected	16	16	swim	prep	the authors next to the architect swims	6
33	expected	17	17	smile	prep	the authors next to the architect smile	6
34	unexpected	17	17	smile	prep	the authors next to the architect smiles	6
35	expected	18	18	are	prep	the authors next to the architect are tall	6
36	unexpected	18	18	are	prep	the authors next to the architect is tall	6
37	expected	19	19	are	prep	the authors next to the architect are old	6
38	unexpected	19	19	are	prep	the authors next to the architect is old	6
39	expected	20	20	are	prep	the authors next to the architect are young	6
40	unexpected	20	20	are	prep	the authors next to the architect is young	6
41	expected	21	21	are	prep	the authors next to the architect are short	6
42	unexpected	21	21	are	prep	the authors next to the architect is short	6
43	expected	22	22	laugh	prep	the authors next to the skater laugh	6
44	unexpected	22	22	laugh	prep	the authors next to the skater laughs	6
45	expected	23	23	swim	prep	the authors next to the skater swim	6
46	unexpected	23	23	swim	prep	the authors next to the skater swims	6
47	expected	24	24	smile	prep	the authors next to the skater smile	6
48	unexpected	24	24	smile	prep	the authors next to the skater smiles	6
49	expected	25	25	are	prep	the authors next to the skater are tall	6
50	unexpected	25	25	are	prep	the authors next to the skater is tall	6
51	expected	26	26	are	prep	the authors next to the skater are old	6
52	unexpected	26	26	are	prep	the authors next to the skater is old	6
53	expected	27	27	are	prep	the authors next to the skater are young	6
54	unexpected	27	27	are	prep	the authors next to the skater is young	6
55	expected	28	28	are	prep	the authors next to the skater are short	6
56	unexpected	28	28	are	prep	the authors next to the skater is short	6
57	expected	29	29	laugh	prep	the authors next to the dancer laugh	6
58	unexpected	29	29	laugh	prep	the authors next to the dancer laughs	6
59	expected	30	30	swim	prep	the authors next to the dancer swim	6
60	unexpected	30	30	swim	prep	the authors next to the dancer swims	6
61	expected	31	31	smile	prep	the authors next to the dancer smile	6
62	unexpected	31	31	smile	prep	the authors next to the dancer smiles	6
63	expected	32	32	are	prep	the authors next to the dancer are tall	6
64	unexpected	32	32	are	prep	the authors next to the dancer is tall	6
65	expected	33	33	are	prep	the authors next to the dancer are old	6
66	unexpected	33	33	are	prep	the authors next to the dancer is old	6
67	expected	34	34	are	prep	the authors next to the dancer are young	6
68	unexpected	34	34	are	prep	the authors next to the dancer is young	6
69	expected	35	35	are	prep	the authors next to the dancer are short	6
70	unexpected	35	35	are	prep	the authors next to the dancer is short	6
71	expected	36	36	laugh	prep	the authors next to the minister laugh	6
72	unexpected	36	36	laugh	prep	the authors next to the minister laughs	6
73	expected	37	37	swim	prep	the authors next to the minister swim	6
74	unexpected	37	37	swim	prep	the authors next to the minister swims	6
75	expected	38	38	smile	prep	the authors next to the minister smile	6
76	unexpected	38	38	smile	prep	the authors next to the minister smiles	6
77	expected	39	39	are	prep	the authors next to the minister are tall	6
78	unexpected	39	39	are	prep	the authors next to the minister is tall	6
79	expected	40	40	are	prep	the authors next to the minister are old	6
80	unexpected	40	40	are	prep	the authors next to the minister is old	6
81	expected	41	41	are	prep	the authors next to the minister are young	6
82	unexpected	41	41	are	prep	the authors next to the minister is young	6
83	expected	42	42	are	prep	the authors next to the minister are short	6
84	unexpected	42	42	are	prep	the authors next to the minister is short	6
85	expected	43	43	laugh	prep	the authors next to the taxi driver laugh	7
86	unexpected	43	43	laugh	prep	the authors next to the taxi driver laughs	7
87	expected	44	44	swim	prep	the authors next to the taxi driver swim	7
88	unexpected	44	44	swim	prep	the authors next to the taxi driver swims	7
89	expected	45	45	smile	prep	the authors next to the taxi driver smile	7
90	unexpected	45	45	smile	prep	the authors next to the taxi driver smiles	7
91	expected	46	46	are	prep	the authors next to the taxi driver are tall	7
92	unexpected	46	46	are	prep	the authors next to the taxi driver is tall	7
93	expected	47	47	are	prep	the authors next to the taxi driver are old	7
94	unexpected	47	47	are	prep	the authors next to the taxi driver is old	7
95	expected	48	48	are	prep	the authors next to the taxi driver are young	7
96	unexpected	48	48	are	prep	the authors next to the taxi driver is young	7
97	expected	49	49	are	prep	the authors next to the taxi driver are short	7
98	unexpected	49	49	are	prep	the authors next to the taxi driver is short	7
99	expected	50	50	laugh	prep	the authors next to the assistant laugh	6
100	unexpected	50	50	laugh	prep	the authors next to the assistant laughs	6
101	expected	51	51	swim	prep	the authors next to the assistant swim	6
102	unexpected	51	51	swim	prep	the authors next to the assistant swims	6
103	expected	52	52	smile	prep	the authors next to the assistant smile	6
104	unexpected	52	52	smile	prep	the authors next to the assistant smiles	6
105	expected	53	53	are	prep	the authors next to the assistant are tall	6
106	unexpected	53	53	are	prep	the authors next to the assistant is tall	6
107	expected	54	54	are	prep	the authors next to the assistant are old	6
108	unexpected	54	54	are	prep	the authors next to the assistant is old	6
109	expected	55	55	are	prep	the authors next to the assistant are young	6
110	unexpected	55	55	are	prep	the authors next to the assistant is young	6
111	expected	56	56	are	prep	the authors next to the assistant are short	6
112	unexpected	56	56	are	prep	the authors next to the assistant is short	6
113	expected	57	57	laugh	prep	the authors next to the executive laugh	6
114	unexpected	57	57	laugh	prep	the authors next to the executive laughs	6
115	expected	58	58	swim	prep	the authors next to the executive swim	6
116	unexpected	58	58	swim	prep	the authors next to the executive swims	6
117	expected	59	59	smile	prep	the authors next to the executive smile	6
118	unexpected	59	59	smile	prep	the authors next to the executive smiles	6
119	expected	60	60	are	prep	the authors next to the executive are tall	6
120	unexpected	60	60	are	prep	the authors next to the executive is tall	6
121	expected	61	61	are	prep	the authors next to the executive are old	6
122	unexpected	61	61	are	prep	the authors next to the executive is old	6
123	expected	62	62	are	prep	the authors next to the executive are young	6
124	unexpected	62	62	are	prep	the authors next to the executive is young	6
125	expected	63	63	are	prep	the authors next to the executive are short	6
126	unexpected	63	63	are	prep	the authors next to the executive is short	6
127	expected	64	64	laugh	prep	the authors next to the parent laugh	6
128	unexpected	64	64	laugh	prep	the authors next to the parent laughs	6
129	expected	65	65	swim	prep	the authors next to the parent swim	6
130	unexpected	65	65	swim	prep	the authors next to the parent swims	6
131	expected	66	66	smile	prep	the authors next to the parent smile	6
132	unexpected	66	66	smile	prep	the authors next to the parent smiles	6
133	expected	67	67	are	prep	the authors next to the parent are tall	6
134	unexpected	67	67	are	prep	the authors next to the parent is tall	6
135	expected	68	68	are	prep	the authors next to the parent are old	6
136	unexpected	68	68	are	prep	the authors next to the parent is old	6
137	expected	69	69	are	prep	the authors next to the parent are young	6
138	unexpected	69	69	are	prep	the authors next to the parent is young	6
139	expected	70	70	are	prep	the authors next to the parent are short	6
140	unexpected	70	70	are	prep	the authors next to the parent is short	6
141	expected	71	71	laugh	prep	the authors behind the guard laugh	5
142	unexpected	71	71	laugh	prep	the authors behind the guard laughs	5
143	expected	72	72	swim	prep	the authors behind the guard swim	5
144	unexpected	72	72	swim	prep	the authors behind the guard swims	5
145	expected	73	73	smile	prep	the authors behind the guard smile	5
146	unexpected	73	73	smile	prep	the authors behind the guard smiles	5
147	expected	74	74	are	prep	the authors behind the guard are tall	5
148	unexpected	74	74	are	prep	the authors behind the guard is tall	5
149	expected	75	75	are	prep	the authors behind the guard are old	5
150	unexpected	75	75	are	prep	the authors behind the guard is old	5
151	expected	76	76	are	prep	the authors behind the guard are young	5
152	unexpected	76	76	are	prep	the authors behind the guard is young	5
153	expected	77	77	are	prep	the authors behind the guard are short	5
154	unexpected	77	77	are	prep	the authors behind the guard is short	5
155	expected	78	78	laugh	prep	the authors behind the chef laugh	5
156	unexpected	78	78	laugh	prep	the authors behind the chef laughs	5
157	expected	79	79	swim	prep	the authors behind the chef swim	5
158	unexpected	79	79	swim	prep	the authors behind the chef swims	5
159	expected	80	80	smile	prep	the authors behind the chef smile	5
160	unexpected	80	80	smile	prep	the authors behind the chef smiles	5
161	expected	81	81	are	prep	the authors behind the chef are tall	5
162	unexpected	81	81	are	prep	the authors behind the chef is tall	5
163	expected	82	82	are	prep	the authors behind the chef are old	5
164	unexpected	82	82	are	prep	the authors behind the chef is old	5
165	expected	83	83	are	prep	the authors behind the chef are young	5
166	unexpected	83	83	are	prep	the authors behind the chef is young	5
167	expected	84	84	are	prep	the authors behind the chef are short	5
168	unexpected	84	84	are	prep	the authors behind the chef is short	5
169	expected	85	85	laugh	prep	the authors behind the architect laugh	5
170	unexpected	85	85	laugh	prep	the authors behind the architect laughs	5
171	expected	86	86	swim	prep	the authors behind the architect swim	5
172	unexpected	86	86	swim	prep	the authors behind the architect swims	5
173	expected	87	87	smile	prep	the authors behind the architect smile	5
174	unexpected	87	87	smile	prep	the authors behind the architect smiles	5
175	expected	88	88	are	prep	the authors behind the architect are tall	5
176	unexpected	88	88	are	prep	the authors behind the architect is tall	5
177	expected	89	89	are	prep	the authors behind the architect are old	5
178	unexpected	89	89	are	prep	the authors behind the architect is old	5
179	expected	90	90	are	prep	the authors behind the architect are young	5
180	unexpected	90	90	are	prep	the authors behind the architect is young	5
181	expected	91	91	are	prep	the authors behind the architect are short	5
182	unexpected	91	91	are	prep	the authors behind the architect is short	5
183	expected	92	92	laugh	prep	the authors behind the skater laugh	5
184	unexpected	92	92	laugh	prep	the authors behind the skater laughs	5
185	expected	93	93	swim	prep	the authors behind the skater swim	5
186	unexpected	93	93	swim	prep	the authors behind the skater swims	5
187	expected	94	94	smile	prep	the authors behind the skater smile	5
188	unexpected	94	94	smile	prep	the authors behind the skater smiles	5
189	expected	95	95	are	prep	the authors behind the skater are tall	5
190	unexpected	95	95	are	prep	the authors behind the skater is tall	5
191	expected	96	96	are	prep	the authors behind the skater are old	5
192	unexpected	96	96	are	prep	the authors behind the skater is old	5
193	expected	97	97	are	prep	the authors behind the skater are young	5
194	unexpected	97	97	are	prep	the authors behind the skater is young	5
195	expected	98	98	are	prep	the authors behind the skater are short	5
196	unexpected	98	98	are	prep	the authors behind the skater is short	5
197	expected	99	99	laugh	prep	the authors behind the dancer laugh	5
198	unexpected	99	99	laugh	prep	the authors behind the dancer laughs	5
199	expected	100	100	swim	prep	the authors behind the dancer swim	5
200	unexpected	100	100	swim	prep	the authors behind the dancer swims	5
201	expected	101	101	smile	prep	the authors behind the dancer smile	5
202	unexpected	101	101	smile	prep	the authors behind the dancer smiles	5
203	expected	102	102	are	prep	the authors behind the dancer are tall	5
204	unexpected	102	102	are	prep	the authors behind the dancer is tall	5
205	expected	103	103	are	prep	the authors behind the dancer are old	5
206	unexpected	103	103	are	prep	the authors behind the dancer is old	5
207	expected	104	104	are	prep	the authors behind the dancer are young	5
208	unexpected	104	104	are	prep	the authors behind the dancer is young	5
209	expected	105	105	are	prep	the authors behind the dancer are short	5
210	unexpected	105	105	are	prep	the authors behind the dancer is short	5
211	expected	106	106	laugh	prep	the authors behind the minister laugh	5
212	unexpected	106	106	laugh	prep	the authors behind the minister laughs	5
213	expected	107	107	swim	prep	the authors behind the minister swim	5
214	unexpected	107	107	swim	prep	the authors behind the minister swims	5
215	expected	108	108	smile	prep	the authors behind the minister smile	5
216	unexpected	108	108	smile	prep	the authors behind the minister smiles	5
217	expected	109	109	are	prep	the authors behind the minister are tall	5
218	unexpected	109	109	are	prep	the authors behind the minister is tall	5
219	expected	110	110	are	prep	the authors behind the minister are old	5
220	unexpected	110	110	are	prep	the authors behind the minister is old	5
221	expected	111	111	are	prep	the authors behind the minister are young	5
222	unexpected	111	111	are	prep	the authors behind the minister is young	5
223	expected	112	112	are	prep	the authors behind the minister are short	5
224	unexpected	112	112	are	prep	the authors behind the minister is short	5
225	expected	113	113	laugh	prep	the authors behind the taxi driver laugh	6
226	unexpected	113	113	laugh	prep	the authors behind the taxi driver laughs	6
227	expected	114	114	swim	prep	the authors behind the taxi driver swim	6
