sentid	comparison	pairid	contextid	lemma	condition	sentence	ROI
1	expected	1	1	déménage	vp_coord	l' auteur déménage et déménage	4
2	unexpected	1	1	déménage	vp_coord	l' auteur déménage et déménagent	4
3	expected	2	2	parle	vp_coord	l' auteur déménage et parle	4
4	unexpected	2	2	parle	vp_coord	l' auteur déménage et parlent	4
5	expected	3	3	retourne	vp_coord	l' auteur déménage et retourne	4
6	unexpected	3	3	retourne	vp_coord	l' auteur déménage et retournent	4
7	expected	4	4	est	vp_coord	l' auteur déménage et est petit	4,5
8	unexpected	4	4	est	vp_coord	l' auteur déménage et sont petits	4,5
9	expected	5	5	est	vp_coord	l' auteur déménage et est grand	4,5
10	unexpected	5	5	est	vp_coord	l' auteur déménage et sont grands	4,5
11	expected	6	6	est	vp_coord	l' auteur déménage et est vieux	4
12	unexpected	6	6	est	vp_coord	l' auteur déménage et sont vieux	4
13	expected	7	7	est	vp_coord	l' auteur déménage et est jeune	4,5
14	unexpected	7	7	est	vp_coord	l' auteur déménage et sont jeunes	4,5
15	expected	8	8	déménage	vp_coord	le directeur déménage et déménage	4
16	unexpected	8	8	déménage	vp_coord	le directeur déménage et déménagent	4
17	expected	9	9	parle	vp_coord	le directeur déménage et parle	4
18	unexpected	9	9	parle	vp_coord	le directeur déménage et parlent	4
19	expected	10	10	retourne	vp_coord	le directeur déménage et retourne	4
20	unexpected	10	10	retourne	vp_coord	le directeur déménage et retournent	4
21	expected	11	11	est	vp_coord	le directeur déménage et est petit	4,5
22	unexpected	11	11	est	vp_coord	le directeur déménage et sont petits	4,5
23	expected	12	12	est	vp_coord	le directeur déménage et est grand	4,5
24	unexpected	12	12	est	vp_coord	le directeur déménage et sont grands	4,5
25	expected	13	13	est	vp_coord	le directeur déménage et est vieux	4
26	unexpected	13	13	est	vp_coord	le directeur déménage et sont vieux	4
27	expected	14	14	est	vp_coord	le directeur déménage et est jeune	4,5
28	unexpected	14	14	est	vp_coord	le directeur déménage et sont jeunes	4,5
29	expected	15	15	déménage	vp_coord	l' agriculteur déménage et déménage	4
30	unexpected	15	15	déménage	vp_coord	l' agriculteur déménage et déménagent	4
31	expected	16	16	parle	vp_coord	l' agriculteur déménage et parle	4
32	unexpected	16	16	parle	vp_coord	l' agriculteur déménage et parlent	4
33	expected	17	17	retourne	vp_coord	l' agriculteur déménage et retourne	4
34	unexpected	17	17	retourne	vp_coord	l' agriculteur déménage et retournent	4
35	expected	18	18	est	vp_coord	l' agriculteur déménage et est petit	4,5
36	unexpected	18	18	est	vp_coord	l' agriculteur déménage et sont petits	4,5
37	expected	19	19	est	vp_coord	l' agriculteur déménage et est grand	4,5
38	unexpected	19	19	est	vp_coord	l' agriculteur déménage et sont grands	4,5
39	expected	20	20	est	vp_coord	l' agriculteur déménage et est vieux	4
40	unexpected	20	20	est	vp_coord	l' agriculteur déménage et sont vieux	4
41	expected	21	21	est	vp_coord	l' agriculteur déménage et est jeune	4,5
42	unexpected	21	21	est	vp_coord	l' agriculteur déménage et sont jeunes	4,5
43	expected	22	22	déménage	vp_coord	le chirurgien déménage et déménage	4
44	unexpected	22	22	déménage	vp_coord	le chirurgien déménage et déménagent	4
45	expected	23	23	parle	vp_coord	le chirurgien déménage et parle	4
46	unexpected	23	23	parle	vp_coord	le chirurgien déménage et parlent	4
47	expected	24	24	retourne	vp_coord	le chirurgien déménage et retourne	4
48	unexpected	24	24	retourne	vp_coord	le chirurgien déménage et retournent	4
49	expected	25	25	est	vp_coord	le chirurgien déménage et est petit	4,5
50	unexpected	25	25	est	vp_coord	le chirurgien déménage et sont petits	4,5
51	expected	26	26	est	vp_coord	le chirurgien déménage et est grand	4,5
52	unexpected	26	26	est	vp_coord	le chirurgien déménage et sont grands	4,5
53	expected	27	27	est	vp_coord	le chirurgien déménage et est vieux	4
54	unexpected	27	27	est	vp_coord	le chirurgien déménage et sont vieux	4
55	expected	28	28	est	vp_coord	le chirurgien déménage et est jeune	4,5
56	unexpected	28	28	est	vp_coord	le chirurgien déménage et sont jeunes	4,5
57	expected	29	29	déménage	vp_coord	le sénateur déménage et déménage	4
58	unexpected	29	29	déménage	vp_coord	le sénateur déménage et déménagent	4
59	expected	30	30	parle	vp_coord	le sénateur déménage et parle	4
60	unexpected	30	30	parle	vp_coord	le sénateur déménage et parlent	4
61	expected	31	31	retourne	vp_coord	le sénateur déménage et retourne	4
62	unexpected	31	31	retourne	vp_coord	le sénateur déménage et retournent	4
63	expected	32	32	est	vp_coord	le sénateur déménage et est petit	4,5
64	unexpected	32	32	est	vp_coord	le sénateur déménage et sont petits	4,5
65	expected	33	33	est	vp_coord	le sénateur déménage et est grand	4,5
66	unexpected	33	33	est	vp_coord	le sénateur déménage et sont grands	4,5
67	expected	34	34	est	vp_coord	le sénateur déménage et est vieux	4
68	unexpected	34	34	est	vp_coord	le sénateur déménage et sont vieux	4
69	expected	35	35	est	vp_coord	le sénateur déménage et est jeune	4,5
70	unexpected	35	35	est	vp_coord	le sénateur déménage et sont jeunes	4,5
71	expected	36	36	déménage	vp_coord	le professeur déménage et déménage	4
72	unexpected	36	36	déménage	vp_coord	le professeur déménage et déménagent	4
73	expected	37	37	parle	vp_coord	le professeur déménage et parle	4
74	unexpected	37	37	parle	vp_coord	le professeur déménage et parlent	4
75	expected	38	38	retourne	vp_coord	le professeur déménage et retourne	4
76	unexpected	38	38	retourne	vp_coord	le professeur déménage et retournent	4
77	expected	39	39	est	vp_coord	le professeur déménage et est petit	4,5
