sentid	comparison	pairid	contextid	lemma	condition	sentence	ROI
1	expected	1	1	are	obj_rel_no_comp_across	the movies the guards like are good	5
2	unexpected	1	1	are	obj_rel_no_comp_across	the movies the guards like is good	5
3	expected	2	2	are	obj_rel_no_comp_across	the movies the guards like are bad	5
4	unexpected	2	2	are	obj_rel_no_comp_across	the movies the guards like is bad	5
5	expected	3	3	are	obj_rel_no_comp_across	the movies the guards like are new	5
6	unexpected	3	3	are	obj_rel_no_comp_across	the movies the guards like is new	5
7	expected	4	4	are	obj_rel_no_comp_across	the movies the guards like are popular	5
8	unexpected	4	4	are	obj_rel_no_comp_across	the movies the guards like is popular	5
9	expected	5	5	are	obj_rel_no_comp_across	the movies the guards like are unpopular	5
10	unexpected	5	5	are	obj_rel_no_comp_across	the movies the guards like is unpopular	5
11	expected	6	6	bring	obj_rel_no_comp_across	the movies the guards like bring joy to people	5
12	unexpected	6	6	bring	obj_rel_no_comp_across	the movies the guards like brings joy to people	5
13	expected	7	7	interest	obj_rel_no_comp_across	the movies the guards like interest people	5
14	unexpected	7	7	interest	obj_rel_no_comp_across	the movies the guards like interests people	5
15	expected	8	8	are	obj_rel_no_comp_across	the movies the guards admire are good	5
16	unexpected	8	8	are	obj_rel_no_comp_across	the movies the guards admire is good	5
17	expected	9	9	are	obj_rel_no_comp_across	the movies the guards admire are bad	5
18	unexpected	9	9	are	obj_rel_no_comp_across	the movies the guards admire is bad	5
19	expected	10	10	are	obj_rel_no_comp_across	the movies the guards admire are new	5
20	unexpected	10	10	are	obj_rel_no_comp_across	the movies the guards admire is new	5
21	expected	11	11	are	obj_rel_no_comp_across	the movies the guards admire are popular	5
22	unexpected	11	11	are	obj_rel_no_comp_across	the movies the guards admire is popular	5
23	expected	12	12	are	obj_rel_no_comp_across	the movies the guards admire are unpopular	5
24	unexpected	12	12	are	obj_rel_no_comp_across	the movies the guards admire is unpopular	5
25	expected	13	13	bring	obj_rel_no_comp_across	the movies the guards admire bring joy to people	5
26	unexpected	13	13	bring	obj_rel_no_comp_across	the movies the guards admire brings joy to people	5
27	expected	14	14	interest	obj_rel_no_comp_across	the movies the guards admire interest people	5
28	unexpected	14	14	interest	obj_rel_no_comp_across	the movies the guards admire interests people	5
29	expected	15	15	are	obj_rel_no_comp_across	the movies the guards hate are good	5
30	unexpected	15	15	are	obj_rel_no_comp_across	the movies the guards hate is good	5
31	expected	16	16	are	obj_rel_no_comp_across	the movies the guards hate are bad	5
32	unexpected	16	16	are	obj_rel_no_comp_across	the movies the guards hate is bad	5
33	expected	17	17	are	obj_rel_no_comp_across	the movies the guards hate are new	5
34	unexpected	17	17	are	obj_rel_no_comp_across	the movies the guards hate is new	5
35	expected	18	18	are	obj_rel_no_comp_across	the movies the guards hate are popular	5
36	unexpected	18	18	are	obj_rel_no_comp_across	the movies the guards hate is popular	5
37	expected	19	19	are	obj_rel_no_comp_across	the movies the guards hate are unpopular	5
38	unexpected	19	19	are	obj_rel_no_comp_across	the movies the guards hate is unpopular	5
39	expected	20	20	bring	obj_rel_no_comp_across	the movies the guards hate bring joy to people	5
40	unexpected	20	20	bring	obj_rel_no_comp_across	the movies the guards hate brings joy to people	5
41	expected	21	21	interest	obj_rel_no_comp_across	the movies the guards hate interest people	5
42	unexpected	21	21	interest	obj_rel_no_comp_across	the movies the guards hate interests people	5
43	expected	22	22	are	obj_rel_no_comp_across	the movies the guards love are good	5
44	unexpected	22	22	are	obj_rel_no_comp_across	the movies the guards love is good	5
45	expected	23	23	are	obj_rel_no_comp_across	the movies the guards love are bad	5
46	unexpected	23	23	are	obj_rel_no_comp_across	the movies the guards love is bad	5
47	expected	24	24	are	obj_rel_no_comp_across	the movies the guards love are new	5
48	unexpected	24	24	are	obj_rel_no_comp_across	the movies the guards love is new	5
49	expected	25	25	are	obj_rel_no_comp_across	the movies the guards love are popular	5
50	unexpected	25	25	are	obj_rel_no_comp_across	the movies the guards love is popular	5
51	expected	26	26	are	obj_rel_no_comp_across	the movies the guards love are unpopular	5
52	unexpected	26	26	are	obj_rel_no_comp_across	the movies the guards love is unpopular	5
53	expected	27	27	bring	obj_rel_no_comp_across	the movies the guards love bring joy to people	5
54	unexpected	27	27	bring	obj_rel_no_comp_across	the movies the guards love brings joy to people	5
55	expected	28	28	interest	obj_rel_no_comp_across	the movies the guards love interest people	5
56	unexpected	28	28	interest	obj_rel_no_comp_across	the movies the guards love interests people	5
57	expected	29	29	are	obj_rel_no_comp_across	the movies the chefs like are good	5
58	unexpected	29	29	are	obj_rel_no_comp_across	the movies the chefs like is good	5
59	expected	30	30	are	obj_rel_no_comp_across	the movies the chefs like are bad	5
60	unexpected	30	30	are	obj_rel_no_comp_across	the movies the chefs like is bad	5
61	expected	31	31	are	obj_rel_no_comp_across	the movies the chefs like are new	5
62	unexpected	31	31	are	obj_rel_no_comp_across	the movies the chefs like is new	5
63	expected	32	32	are	obj_rel_no_comp_across	the movies the chefs like are popular	5
64	unexpected	32	32	are	obj_rel_no_comp_across	the movies the chefs like is popular	5
65	expected	33	33	are	obj_rel_no_comp_across	the movies the chefs like are unpopular	5
66	unexpected	33	33	are	obj_rel_no_comp_across	the movies the chefs like is unpopular	5
67	expected	34	34	bring	obj_rel_no_comp_across	the movies the chefs like bring joy to people	5
68	unexpected	34	34	bring	obj_rel_no_comp_across	the movies the chefs like brings joy to people	5
