sentid	comparison	pairid	contextid	lemma	condition	sentence	ROI
1	expected	1	1	говорят	subj_rel	авторы , которые любят агентов , говорят	6
2	unexpected	1	1	говорят	subj_rel	авторы , которые любят агентов , говорит	6
3	expected	2	2	ждали	subj_rel	авторы , которые любят агентов , ждали	6
4	unexpected	2	2	ждали	subj_rel	авторы , которые любят агентов , ждал	6
5	expected	3	3	читают	subj_rel	авторы , которые любят агентов , читают	6
6	unexpected	3	3	читают	subj_rel	авторы , которые любят агентов , читает	6
7	expected	4	4	старые	subj_rel	авторы , которые любят агентов , старые	6
8	unexpected	4	4	старые	subj_rel	авторы , которые любят агентов , старый	6
9	expected	5	5	маленькие	subj_rel	авторы , которые любят агентов , маленькие	6
10	unexpected	5	5	маленькие	subj_rel	авторы , которые любят агентов , маленький	6
11	expected	6	6	молодые	subj_rel	авторы , которые любят агентов , молодые	6
12	unexpected	6	6	молодые	subj_rel	авторы , которые любят агентов , молодой	6
13	expected	7	7	большие	subj_rel	авторы , которые любят агентов , большие	6
14	unexpected	7	7	большие	subj_rel	авторы , которые любят агентов , большой	6
15	expected	8	8	говорят	subj_rel	режиссёры , которые любят агентов , говорят	6
16	unexpected	8	8	говорят	subj_rel	режиссёры , которые любят агентов , говорит	6
17	expected	9	9	ждали	subj_rel	режиссёры , которые любят агентов , ждали	6
18	unexpected	9	9	ждали	subj_rel	режиссёры , которые любят агентов , ждал	6
19	expected	10	10	читают	subj_rel	режиссёры , которые любят агентов , читают	6
20	unexpected	10	10	читают	subj_rel	режиссёры , которые любят агентов , читает	6
21	expected	11	11	старые	subj_rel	режиссёры , которые любят агентов , старые	6
22	unexpected	11	11	старые	subj_rel	режиссёры , которые любят агентов , старый	6
23	expected	12	12	маленькие	subj_rel	режиссёры , которые любят агентов , маленькие	6
24	unexpected	12	12	маленькие	subj_rel	режиссёры , которые любят агентов , маленький	6
25	expected	13	13	молодые	subj_rel	режиссёры , которые любят агентов , молодые	6
26	unexpected	13	13	молодые	subj_rel	режиссёры , которые любят агентов , молодой	6
27	expected	14	14	большие	subj_rel	режиссёры , которые любят агентов , большие	6
28	unexpected	14	14	большие	subj_rel	режиссёры , которые любят агентов , большой	6
29	expected	15	15	говорят	subj_rel	фермеры , которые любят агентов , говорят	6
30	unexpected	15	15	говорят	subj_rel	фермеры , которые любят агентов , говорит	6
31	expected	16	16	ждали	subj_rel	фермеры , которые любят агентов , ждали	6
32	unexpected	16	16	ждали	subj_rel	фермеры , которые любят агентов , ждал	6
33	expected	17	17	читают	subj_rel	фермеры , которые любят агентов , читают	6
34	unexpected	17	17	читают	subj_rel	фермеры , которые любят агентов , читает	6
35	expected	18	18	старые	subj_rel	фермеры , которые любят агентов , старые	6
36	unexpected	18	18	старые	subj_rel	фермеры , которые любят агентов , старый	6
37	expected	19	19	маленькие	subj_rel	фермеры , которые любят агентов , маленькие	6
38	unexpected	19	19	маленькие	subj_rel	фермеры , которые любят агентов , маленький	6
39	expected	20	20	молодые	subj_rel	фермеры , которые любят агентов , молодые	6
40	unexpected	20	20	молодые	subj_rel	фермеры , которые любят агентов , молодой	6
41	expected	21	21	большие	subj_rel	фермеры , которые любят агентов , большие	6
42	unexpected	21	21	большие	subj_rel	фермеры , которые любят агентов , большой	6
43	expected	22	22	говорят	subj_rel	врачи , которые любят агентов , говорят	6
44	unexpected	22	22	говорят	subj_rel	врачи , которые любят агентов , говорит	6
45	expected	23	23	ждали	subj_rel	врачи , которые любят агентов , ждали	6
46	unexpected	23	23	ждали	subj_rel	врачи , которые любят агентов , ждал	6
47	expected	24	24	читают	subj_rel	врачи , которые любят агентов , читают	6
48	unexpected	24	24	читают	subj_rel	врачи , которые любят агентов , читает	6
49	expected	25	25	старые	subj_rel	врачи , которые любят агентов , старые	6
50	unexpected	25	25	старые	subj_rel	врачи , которые любят агентов , старый	6
51	expected	26	26	маленькие	subj_rel	врачи , которые любят агентов , маленькие	6
