sentid	comparison	pairid	contextid	lemma	condition	sentence	ROI
1	expected	1	1	laugh	sent_comp	the mechanic said the authors laugh	5
2	unexpected	1	1	laugh	sent_comp	the mechanic said the authors laughs	5
3	expected	2	2	swim	sent_comp	the mechanic said the authors swim	5
4	unexpected	2	2	swim	sent_comp	the mechanic said the authors swims	5
5	expected	3	3	smile	sent_comp	the mechanic said the authors smile	5
6	unexpected	3	3	smile	sent_comp	the mechanic said the authors smiles	5
7	expected	4	4	are	sent_comp	the mechanic said the authors are tall	5
8	unexpected	4	4	are	sent_comp	the mechanic said the authors is tall	5
9	expected	5	5	are	sent_comp	the mechanic said the authors are old	5
10	unexpected	5	5	are	sent_comp	the mechanic said the authors is old	5
11	expected	6	6	are	sent_comp	the mechanic said the authors are young	5
12	unexpected	6	6	are	sent_comp	the mechanic said the authors is young	5
13	expected	7	7	are	sent_comp	the mechanic said the authors are short	5
14	unexpected	7	7	are	sent_comp	the mechanic said the authors is short	5
15	expected	8	8	laugh	sent_comp	the mechanic said the pilots laugh	5
16	unexpected	8	8	laugh	sent_comp	the mechanic said the pilots laughs	5
17	expected	9	9	swim	sent_comp	the mechanic said the pilots swim	5
18	unexpected	9	9	swim	sent_comp	the mechanic said the pilots swims	5
19	expected	10	10	smile	sent_comp	the mechanic said the pilots smile	5
20	unexpected	10	10	smile	sent_comp	the mechanic said the pilots smiles	5
21	expected	11	11	are	sent_comp	the mechanic said the pilots are tall	5
22	unexpected	11	11	are	sent_comp	the mechanic said the pilots is tall	5
23	expected	12	12	are	sent_comp	the mechanic said the pilots are old	5
24	unexpected	12	12	are	sent_comp	the mechanic said the pilots is old	5
25	expected	13	13	are	sent_comp	the mechanic said the pilots are young	5
26	unexpected	13	13	are	sent_comp	the mechanic said the pilots is young	5
27	expected	14	14	are	sent_comp	the mechanic said the pilots are short	5
28	unexpected	14	14	are	sent_comp	the mechanic said the pilots is short	5
29	expected	15	15	laugh	sent_comp	the mechanic said the surgeons laugh	5
30	unexpected	15	15	laugh	sent_comp	the mechanic said the surgeons laughs	5
31	expected	16	16	swim	sent_comp	the mechanic said the surgeons swim	5
32	unexpected	16	16	swim	sent_comp	the mechanic said the surgeons swims	5
33	expected	17	17	smile	sent_comp	the mechanic said the surgeons smile	5
34	unexpected	17	17	smile	sent_comp	the mechanic said the surgeons smiles	5
35	expected	18	18	are	sent_comp	the mechanic said the surgeons are tall	5
36	unexpected	18	18	are	sent_comp	the mechanic said the surgeons is tall	5
37	expected	19	19	are	sent_comp	the mechanic said the surgeons are old	5
38	unexpected	19	19	are	sent_comp	the mechanic said the surgeons is old	5
39	expected	20	20	are	sent_comp	the mechanic said the surgeons are young	5
40	unexpected	20	20	are	sent_comp	the mechanic said the surgeons is young	5
41	expected	21	21	are	sent_comp	the mechanic said the surgeons are short	5
42	unexpected	21	21	are	sent_comp	the mechanic said the surgeons is short	5
43	expected	22	22	laugh	sent_comp	the mechanic said the farmers laugh	5
44	unexpected	22	22	laugh	sent_comp	the mechanic said the farmers laughs	5
45	expected	23	23	swim	sent_comp	the mechanic said the farmers swim	5
46	unexpected	23	23	swim	sent_comp	the mechanic said the farmers swims	5
47	expected	24	24	smile	sent_comp	the mechanic said the farmers smile	5
48	unexpected	24	24	smile	sent_comp	the mechanic said the farmers smiles	5
49	expected	25	25	are	sent_comp	the mechanic said the farmers are tall	5
50	unexpected	25	25	are	sent_comp	the mechanic said the farmers is tall	5
51	expected	26	26	are	sent_comp	the mechanic said the farmers are old	5
52	unexpected	26	26	are	sent_comp	the mechanic said the farmers is old	5
53	expected	27	27	are	sent_comp	the mechanic said the farmers are young	5
54	unexpected	27	27	are	sent_comp	the mechanic said the farmers is young	5
55	expected	28	28	are	sent_comp	the mechanic said the farmers are short	5
56	unexpected	28	28	are	sent_comp	the mechanic said the farmers is short	5
57	expected	29	29	laugh	sent_comp	the mechanic said the managers laugh	5
58	unexpected	29	29	laugh	sent_comp	the mechanic said the managers laughs	5
59	expected	30	30	swim	sent_comp	the mechanic said the managers swim	5
60	unexpected	30	30	swim	sent_comp	the mechanic said the managers swims	5
61	expected	31	31	smile	sent_comp	the mechanic said the managers smile	5
62	unexpected	31	31	smile	sent_comp	the mechanic said the managers smiles	5
