sentid	comparison	pairid	contextid	lemma	condition	sentence	ROI
1	expected	1	1	говорят	simple_agrmt	авторы говорят	1
2	unexpected	1	1	говорят	simple_agrmt	авторы говорит	1
3	expected	2	2	ждали	simple_agrmt	авторы ждали	1
4	unexpected	2	2	ждали	simple_agrmt	авторы ждал	1
5	expected	3	3	читают	simple_agrmt	авторы читают	1
6	unexpected	3	3	читают	simple_agrmt	авторы читает	1
7	expected	4	4	старые	simple_agrmt	авторы старые	1
8	unexpected	4	4	старые	simple_agrmt	авторы старый	1
9	expected	5	5	маленькие	simple_agrmt	авторы маленькие	1
10	unexpected	5	5	маленькие	simple_agrmt	авторы маленький	1
11	expected	6	6	молодые	simple_agrmt	авторы молодые	1
12	unexpected	6	6	молодые	simple_agrmt	авторы молодой	1
13	expected	7	7	большие	simple_agrmt	авторы большие	1
14	unexpected	7	7	большие	simple_agrmt	авторы большой	1
15	expected	8	8	говорят	simple_agrmt	режиссёры говорят	1
16	unexpected	8	8	говорят	simple_agrmt	режиссёры говорит	1
17	expected	9	9	ждали	simple_agrmt	режиссёры ждали	1
18	unexpected	9	9	ждали	simple_agrmt	режиссёры ждал	1
19	expected	10	10	читают	simple_agrmt	режиссёры читают	1
20	unexpected	10	10	читают	simple_agrmt	режиссёры читает	1
21	expected	11	11	старые	simple_agrmt	режиссёры старые	1
22	unexpected	11	11	старые	simple_agrmt	режиссёры старый	1
23	expected	12	12	маленькие	simple_agrmt	режиссёры маленькие	1
24	unexpected	12	12	маленькие	simple_agrmt	режиссёры маленький	1
25	expected	13	13	молодые	simple_agrmt	режиссёры молодые	1
26	unexpected	13	13	молодые	simple_agrmt	режиссёры молодой	1
27	expected	14	14	большие	simple_agrmt	режиссёры большие	1
28	unexpected	14	14	большие	simple_agrmt	режиссёры большой	1
29	expected	15	15	говорят	simple_agrmt	фермеры говорят	1
30	unexpected	15	15	говорят	simple_agrmt	фермеры говорит	1
31	expected	16	16	ждали	simple_agrmt	фермеры ждали	1
32	unexpected	16	16	ждали	simple_agrmt	фермеры ждал	1
33	expected	17	17	читают	simple_agrmt	фермеры читают	1
34	unexpected	17	17	читают	simple_agrmt	фермеры читает	1
35	expected	18	18	старые	simple_agrmt	фермеры старые	1
36	unexpected	18	18	старые	simple_agrmt	фермеры старый	1
37	expected	19	19	маленькие	simple_agrmt	фермеры маленькие	1
38	unexpected	19	19	маленькие	simple_agrmt	фермеры маленький	1
39	expected	20	20	молодые	simple_agrmt	фермеры молодые	1
40	unexpected	20	20	молодые	simple_agrmt	фермеры молодой	1
41	expected	21	21	большие	simple_agrmt	фермеры большие	1
42	unexpected	21	21	большие	simple_agrmt	фермеры большой	1
43	expected	22	22	говорят	simple_agrmt	врачи говорят	1
44	unexpected	22	22	говорят	simple_agrmt	врачи говорит	1
45	expected	23	23	ждали	simple_agrmt	врачи ждали	1
46	unexpected	23	23	ждали	simple_agrmt	врачи ждал	1
47	expected	24	24	читают	simple_agrmt	врачи читают	1
48	unexpected	24	24	читают	simple_agrmt	врачи читает	1
49	expected	25	25	старые	simple_agrmt	врачи старые	1
50	unexpected	25	25	старые	simple_agrmt	врачи старый	1
51	expected	26	26	маленькие	simple_agrmt	врачи маленькие	1
52	unexpected	26	26	маленькие	simple_agrmt	врачи маленький	1
53	expected	27	27	молодые	simple_agrmt	врачи молодые	1
54	unexpected	27	27	молодые	simple_agrmt	врачи молодой	1
55	expected	28	28	большие	simple_agrmt	врачи большие	1
56	unexpected	28	28	большие	simple_agrmt	врачи большой	1
57	expected	29	29	говорят	simple_agrmt	сенаторы говорят	1
58	unexpected	29	29	говорят	simple_agrmt	сенаторы говорит	1
59	expected	30	30	ждали	simple_agrmt	сенаторы ждали	1
60	unexpected	30	30	ждали	simple_agrmt	сенаторы ждал	1
