sentid	comparison	pairid	contextid	lemma	condition	sentence	ROI
1	expected	1	1	themselves	simple_reflexives	the authors hurt themselves	3
2	unexpected	1	1	themselves	simple_reflexives	the authors hurt himself	3
3	expected	2	2	themselves	simple_reflexives	the authors hurt themselves	3
4	unexpected	2	2	themselves	simple_reflexives	the authors hurt herself	3
5	expected	3	3	themselves	simple_reflexives	the authors injured themselves	3
6	unexpected	3	3	themselves	simple_reflexives	the authors injured himself	3
7	expected	4	4	themselves	simple_reflexives	the authors injured themselves	3
8	unexpected	4	4	themselves	simple_reflexives	the authors injured herself	3
9	expected	5	5	themselves	simple_reflexives	the authors congratulated themselves	3
10	unexpected	5	5	themselves	simple_reflexives	the authors congratulated himself	3
11	expected	6	6	themselves	simple_reflexives	the authors congratulated themselves	3
12	unexpected	6	6	themselves	simple_reflexives	the authors congratulated herself	3
13	expected	7	7	themselves	simple_reflexives	the authors embarrassed themselves	3
14	unexpected	7	7	themselves	simple_reflexives	the authors embarrassed himself	3
15	expected	8	8	themselves	simple_reflexives	the authors embarrassed themselves	3
16	unexpected	8	8	themselves	simple_reflexives	the authors embarrassed herself	3
17	expected	9	9	themselves	simple_reflexives	the authors disguised themselves	3
18	unexpected	9	9	themselves	simple_reflexives	the authors disguised himself	3
19	expected	10	10	themselves	simple_reflexives	the authors disguised themselves	3
20	unexpected	10	10	themselves	simple_reflexives	the authors disguised herself	3
21	expected	11	11	themselves	simple_reflexives	the authors hated themselves	3
22	unexpected	11	11	themselves	simple_reflexives	the authors hated himself	3
23	expected	12	12	themselves	simple_reflexives	the authors hated themselves	3
24	unexpected	12	12	themselves	simple_reflexives	the authors hated herself	3
25	expected	13	13	themselves	simple_reflexives	the authors doubted themselves	3
26	unexpected	13	13	themselves	simple_reflexives	the authors doubted himself	3
27	expected	14	14	themselves	simple_reflexives	the authors doubted themselves	3
28	unexpected	14	14	themselves	simple_reflexives	the authors doubted herself	3
29	expected	15	15	themselves	simple_reflexives	the pilots hurt themselves	3
30	unexpected	15	15	themselves	simple_reflexives	the pilots hurt himself	3
31	expected	16	16	themselves	simple_reflexives	the pilots hurt themselves	3
32	unexpected	16	16	themselves	simple_reflexives	the pilots hurt herself	3
33	expected	17	17	themselves	simple_reflexives	the pilots injured themselves	3
34	unexpected	17	17	themselves	simple_reflexives	the pilots injured himself	3
35	expected	18	18	themselves	simple_reflexives	the pilots injured themselves	3
36	unexpected	18	18	themselves	simple_reflexives	the pilots injured herself	3
37	expected	19	19	themselves	simple_reflexives	the pilots congratulated themselves	3
38	unexpected	19	19	themselves	simple_reflexives	the pilots congratulated himself	3
39	expected	20	20	themselves	simple_reflexives	the pilots congratulated themselves	3
40	unexpected	20	20	themselves	simple_reflexives	the pilots congratulated herself	3
41	expected	21	21	themselves	simple_reflexives	the pilots embarrassed themselves	3
42	unexpected	21	21	themselves	simple_reflexives	the pilots embarrassed himself	3
43	expected	22	22	themselves	simple_reflexives	the pilots embarrassed themselves	3
44	unexpected	22	22	themselves	simple_reflexives	the pilots embarrassed herself	3
45	expected	23	23	themselves	simple_reflexives	the pilots disguised themselves	3
46	unexpected	23	23	themselves	simple_reflexives	the pilots disguised himself	3
47	expected	24	24	themselves	simple_reflexives	the pilots disguised themselves	3
48	unexpected	24	24	themselves	simple_reflexives	the pilots disguised herself	3
49	expected	25	25	themselves	simple_reflexives	the pilots hated themselves	3
50	unexpected	25	25	themselves	simple_reflexives	the pilots hated himself	3
51	expected	26	26	themselves	simple_reflexives	the pilots hated themselves	3
52	unexpected	26	26	themselves	simple_reflexives	the pilots hated herself	3
53	expected	27	27	themselves	simple_reflexives	the pilots doubted themselves	3
54	unexpected	27	27	themselves	simple_reflexives	the pilots doubted himself	3
55	expected	28	28	themselves	simple_reflexives	the pilots doubted themselves	3
56	unexpected	28	28	themselves	simple_reflexives	the pilots doubted herself	3
57	expected	29	29	themselves	simple_reflexives	the surgeons hurt themselves	3
58	unexpected	29	29	themselves	simple_reflexives	the surgeons hurt himself	3
59	expected	30	30	themselves	simple_reflexives	the surgeons hurt themselves	3
60	unexpected	30	30	themselves	simple_reflexives	the surgeons hurt herself	3
61	expected	31	31	themselves	simple_reflexives	the surgeons injured themselves	3
62	unexpected	31	31	themselves	simple_reflexives	the surgeons injured himself	3
63	expected	32	32	themselves	simple_reflexives	the surgeons injured themselves	3
64	unexpected	32	32	themselves	simple_reflexives	the surgeons injured herself	3
65	expected	33	33	themselves	simple_reflexives	the surgeons congratulated themselves	3
66	unexpected	33	33	themselves	simple_reflexives	the surgeons congratulated himself	3
67	expected	34	34	themselves	simple_reflexives	the surgeons congratulated themselves	3
68	unexpected	34	34	themselves	simple_reflexives	the surgeons congratulated herself	3
69	expected	35	35	themselves	simple_reflexives	the surgeons embarrassed themselves	3
70	unexpected	35	35	themselves	simple_reflexives	the surgeons embarrassed himself	3
71	expected	36	36	themselves	simple_reflexives	the surgeons embarrassed themselves	3
72	unexpected	36	36	themselves	simple_reflexives	the surgeons embarrassed herself	3
73	expected	37	37	themselves	simple_reflexives	the surgeons disguised themselves	3
74	unexpected	37	37	themselves	simple_reflexives	the surgeons disguised himself	3
75	expected	38	38	themselves	simple_reflexives	the surgeons disguised themselves	3
76	unexpected	38	38	themselves	simple_reflexives	the surgeons disguised herself	3
77	expected	39	39	themselves	simple_reflexives	the surgeons hated themselves	3
78	unexpected	39	39	themselves	simple_reflexives	the surgeons hated himself	3
79	expected	40	40	themselves	simple_reflexives	the surgeons hated themselves	3
80	unexpected	40	40	themselves	simple_reflexives	the surgeons hated herself	3
81	expected	41	41	themselves	simple_reflexives	the surgeons doubted themselves	3
82	unexpected	41	41	themselves	simple_reflexives	the surgeons doubted himself	3
83	expected	42	42	themselves	simple_reflexives	the surgeons doubted themselves	3
84	unexpected	42	42	themselves	simple_reflexives	the surgeons doubted herself	3
85	expected	43	43	themselves	simple_reflexives	the farmers hurt themselves	3
86	unexpected	43	43	themselves	simple_reflexives	the farmers hurt himself	3
87	expected	44	44	themselves	simple_reflexives	the farmers hurt themselves	3
