sentid	comparison	pairid	contextid	lemma	condition	sentence	ROI
1	expected	1	1	déménagent	subj_rel	les auteurs qui aiment les gardes déménagent	6
2	unexpected	1	1	déménagent	subj_rel	les auteurs qui aiment les gardes déménage	6
3	expected	2	2	parlent	subj_rel	les auteurs qui aiment les gardes parlent	6
4	unexpected	2	2	parlent	subj_rel	les auteurs qui aiment les gardes parle	6
5	expected	3	3	retournent	subj_rel	les auteurs qui aiment les gardes retournent	6
6	unexpected	3	3	retournent	subj_rel	les auteurs qui aiment les gardes retourne	6
7	expected	4	4	sont	subj_rel	les auteurs qui aiment les gardes sont vieux	6
8	unexpected	4	4	sont	subj_rel	les auteurs qui aiment les gardes est vieux	6
9	expected	5	5	sont	subj_rel	les auteurs qui aiment les gardes sont petits	6,7
10	unexpected	5	5	sont	subj_rel	les auteurs qui aiment les gardes est petit	6,7
11	expected	6	6	sont	subj_rel	les auteurs qui aiment les gardes sont jeunes	6,7
12	unexpected	6	6	sont	subj_rel	les auteurs qui aiment les gardes est jeune	6,7
13	expected	7	7	sont	subj_rel	les auteurs qui aiment les gardes sont grands	6,7
14	unexpected	7	7	sont	subj_rel	les auteurs qui aiment les gardes est grand	6,7
15	expected	8	8	déménagent	subj_rel	les directeurs qui aiment les gardes déménagent	6
16	unexpected	8	8	déménagent	subj_rel	les directeurs qui aiment les gardes déménage	6
17	expected	9	9	parlent	subj_rel	les directeurs qui aiment les gardes parlent	6
18	unexpected	9	9	parlent	subj_rel	les directeurs qui aiment les gardes parle	6
19	expected	10	10	retournent	subj_rel	les directeurs qui aiment les gardes retournent	6
20	unexpected	10	10	retournent	subj_rel	les directeurs qui aiment les gardes retourne	6
21	expected	11	11	sont	subj_rel	les directeurs qui aiment les gardes sont vieux	6
22	unexpected	11	11	sont	subj_rel	les directeurs qui aiment les gardes est vieux	6
23	expected	12	12	sont	subj_rel	les directeurs qui aiment les gardes sont petits	6,7
24	unexpected	12	12	sont	subj_rel	les directeurs qui aiment les gardes est petit	6,7
25	expected	13	13	sont	subj_rel	les directeurs qui aiment les gardes sont jeunes	6,7
26	unexpected	13	13	sont	subj_rel	les directeurs qui aiment les gardes est jeune	6,7
27	expected	14	14	sont	subj_rel	les directeurs qui aiment les gardes sont grands	6,7
28	unexpected	14	14	sont	subj_rel	les directeurs qui aiment les gardes est grand	6,7
29	expected	15	15	déménagent	subj_rel	les agriculteurs qui aiment les gardes déménagent	6
30	unexpected	15	15	déménagent	subj_rel	les agriculteurs qui aiment les gardes déménage	6
31	expected	16	16	parlent	subj_rel	les agriculteurs qui aiment les gardes parlent	6
32	unexpected	16	16	parlent	subj_rel	les agriculteurs qui aiment les gardes parle	6
33	expected	17	17	retournent	subj_rel	les agriculteurs qui aiment les gardes retournent	6
34	unexpected	17	17	retournent	subj_rel	les agriculteurs qui aiment les gardes retourne	6
35	expected	18	18	sont	subj_rel	les agriculteurs qui aiment les gardes sont vieux	6
36	unexpected	18	18	sont	subj_rel	les agriculteurs qui aiment les gardes est vieux	6
37	expected	19	19	sont	subj_rel	les agriculteurs qui aiment les gardes sont petits	6,7
38	unexpected	19	19	sont	subj_rel	les agriculteurs qui aiment les gardes est petit	6,7
39	expected	20	20	sont	subj_rel	les agriculteurs qui aiment les gardes sont jeunes	6,7
40	unexpected	20	20	sont	subj_rel	les agriculteurs qui aiment les gardes est jeune	6,7
41	expected	21	21	sont	subj_rel	les agriculteurs qui aiment les gardes sont grands	6,7
42	unexpected	21	21	sont	subj_rel	les agriculteurs qui aiment les gardes est grand	6,7
43	expected	22	22	déménagent	subj_rel	les chirurgiens qui aiment les gardes déménagent	6
44	unexpected	22	22	déménagent	subj_rel	les chirurgiens qui aiment les gardes déménage	6
45	expected	23	23	parlent	subj_rel	les chirurgiens qui aiment les gardes parlent	6
46	unexpected	23	23	parlent	subj_rel	les chirurgiens qui aiment les gardes parle	6
47	expected	24	24	retournent	subj_rel	les chirurgiens qui aiment les gardes retournent	6
48	unexpected	24	24	retournent	subj_rel	les chirurgiens qui aiment les gardes retourne	6
49	expected	25	25	sont	subj_rel	les chirurgiens qui aiment les gardes sont vieux	6
50	unexpected	25	25	sont	subj_rel	les chirurgiens qui aiment les gardes est vieux	6
51	expected	26	26	sont	subj_rel	les chirurgiens qui aiment les gardes sont petits	6,7
52	unexpected	26	26	sont	subj_rel	les chirurgiens qui aiment les gardes est petit	6,7
53	expected	27	27	sont	subj_rel	les chirurgiens qui aiment les gardes sont jeunes	6,7
54	unexpected	27	27	sont	subj_rel	les chirurgiens qui aiment les gardes est jeune	6,7
55	expected	28	28	sont	subj_rel	les chirurgiens qui aiment les gardes sont grands	6,7
56	unexpected	28	28	sont	subj_rel	les chirurgiens qui aiment les gardes est grand	6,7
57	expected	29	29	déménagent	subj_rel	les sénateurs qui aiment les gardes déménagent	6
58	unexpected	29	29	déménagent	subj_rel	les sénateurs qui aiment les gardes déménage	6
59	expected	30	30	parlent	subj_rel	les sénateurs qui aiment les gardes parlent	6
60	unexpected	30	30	parlent	subj_rel	les sénateurs qui aiment les gardes parle	6
61	expected	31	31	retournent	subj_rel	les sénateurs qui aiment les gardes retournent	6
62	unexpected	31	31	retournent	subj_rel	les sénateurs qui aiment les gardes retourne	6
63	expected	32	32	sont	subj_rel	les sénateurs qui aiment les gardes sont vieux	6
64	unexpected	32	32	sont	subj_rel	les sénateurs qui aiment les gardes est vieux	6
65	expected	33	33	sont	subj_rel	les sénateurs qui aiment les gardes sont petits	6,7
66	unexpected	33	33	sont	subj_rel	les sénateurs qui aiment les gardes est petit	6,7
67	expected	34	34	sont	subj_rel	les sénateurs qui aiment les gardes sont jeunes	6,7
68	unexpected	34	34	sont	subj_rel	les sénateurs qui aiment les gardes est jeune	6,7
69	expected	35	35	sont	subj_rel	les sénateurs qui aiment les gardes sont grands	6,7
70	unexpected	35	35	sont	subj_rel	les sénateurs qui aiment les gardes est grand	6,7
71	expected	36	36	déménagent	subj_rel	les professeurs qui aiment les gardes déménagent	6
72	unexpected	36	36	déménagent	subj_rel	les professeurs qui aiment les gardes déménage	6
73	expected	37	37	parlent	subj_rel	les professeurs qui aiment les gardes parlent	6
74	unexpected	37	37	parlent	subj_rel	les professeurs qui aiment les gardes parle	6
75	expected	38	38	retournent	subj_rel	les professeurs qui aiment les gardes retournent	6
76	unexpected	38	38	retournent	subj_rel	les professeurs qui aiment les gardes retourne	6
77	expected	39	39	sont	subj_rel	les professeurs qui aiment les gardes sont vieux	6
78	unexpected	39	39	sont	subj_rel	les professeurs qui aiment les gardes est vieux	6
79	expected	40	40	sont	subj_rel	les professeurs qui aiment les gardes sont petits	6,7
80	unexpected	40	40	sont	subj_rel	les professeurs qui aiment les gardes est petit	6,7
81	expected	41	41	sont	subj_rel	les professeurs qui aiment les gardes sont jeunes	6,7
82	unexpected	41	41	sont	subj_rel	les professeurs qui aiment les gardes est jeune	6,7
83	expected	42	42	sont	subj_rel	les professeurs qui aiment les gardes sont grands	6,7
84	unexpected	42	42	sont	subj_rel	les professeurs qui aiment les gardes est grand	6,7
85	expected	43	43	déménagent	subj_rel	les clients qui aiment les gardes déménagent	6
86	unexpected	43	43	déménagent	subj_rel	les clients qui aiment les gardes déménage	6
87	expected	44	44	parlent	subj_rel	les clients qui aiment les gardes parlent	6
88	unexpected	44	44	parlent	subj_rel	les clients qui aiment les gardes parle	6
89	expected	45	45	retournent	subj_rel	les clients qui aiment les gardes retournent	6
90	unexpected	45	45	retournent	subj_rel	les clients qui aiment les gardes retourne	6
91	expected	46	46	sont	subj_rel	les clients qui aiment les gardes sont vieux	6
92	unexpected	46	46	sont	subj_rel	les clients qui aiment les gardes est vieux	6
93	expected	47	47	sont	subj_rel	les clients qui aiment les gardes sont petits	6,7
94	unexpected	47	47	sont	subj_rel	les clients qui aiment les gardes est petit	6,7
95	expected	48	48	sont	subj_rel	les clients qui aiment les gardes sont jeunes	6,7
96	unexpected	48	48	sont	subj_rel	les clients qui aiment les gardes est jeune	6,7
97	expected	49	49	sont	subj_rel	les clients qui aiment les gardes sont grands	6,7
98	unexpected	49	49	sont	subj_rel	les clients qui aiment les gardes est grand	6,7
99	expected	50	50	déménagent	subj_rel	les officiers qui aiment les gardes déménagent	6
100	unexpected	50	50	déménagent	subj_rel	les officiers qui aiment les gardes déménage	6
101	expected	51	51	parlent	subj_rel	les officiers qui aiment les gardes parlent	6
102	unexpected	51	51	parlent	subj_rel	les officiers qui aiment les gardes parle	6
103	expected	52	52	retournent	subj_rel	les officiers qui aiment les gardes retournent	6
104	unexpected	52	52	retournent	subj_rel	les officiers qui aiment les gardes retourne	6
105	expected	53	53	sont	subj_rel	les officiers qui aiment les gardes sont vieux	6
106	unexpected	53	53	sont	subj_rel	les officiers qui aiment les gardes est vieux	6
107	expected	54	54	sont	subj_rel	les officiers qui aiment les gardes sont petits	6,7
108	unexpected	54	54	sont	subj_rel	les officiers qui aiment les gardes est petit	6,7
109	expected	55	55	sont	subj_rel	les officiers qui aiment les gardes sont jeunes	6,7
110	unexpected	55	55	sont	subj_rel	les officiers qui aiment les gardes est jeune	6,7
111	expected	56	56	sont	subj_rel	les officiers qui aiment les gardes sont grands	6,7
