sentid	comparison	pairid	contextid	lemma	condition	sentence	ROI
1	expected	1	1	himself	reflexive_sent_comp	the mechanics said the author hurt himself	6
2	unexpected	1	1	himself	reflexive_sent_comp	the mechanics said the author hurt themselves	6
3	expected	2	2	herself	reflexive_sent_comp	the mechanics said the author hurt herself	6
4	unexpected	2	2	herself	reflexive_sent_comp	the mechanics said the author hurt themselves	6
5	expected	3	3	himself	reflexive_sent_comp	the mechanics said the author injured himself	6
6	unexpected	3	3	himself	reflexive_sent_comp	the mechanics said the author injured themselves	6
7	expected	4	4	herself	reflexive_sent_comp	the mechanics said the author injured herself	6
8	unexpected	4	4	herself	reflexive_sent_comp	the mechanics said the author injured themselves	6
9	expected	5	5	himself	reflexive_sent_comp	the mechanics said the author congratulated himself	6
10	unexpected	5	5	himself	reflexive_sent_comp	the mechanics said the author congratulated themselves	6
11	expected	6	6	herself	reflexive_sent_comp	the mechanics said the author congratulated herself	6
12	unexpected	6	6	herself	reflexive_sent_comp	the mechanics said the author congratulated themselves	6
13	expected	7	7	himself	reflexive_sent_comp	the mechanics said the author embarrassed himself	6
14	unexpected	7	7	himself	reflexive_sent_comp	the mechanics said the author embarrassed themselves	6
15	expected	8	8	herself	reflexive_sent_comp	the mechanics said the author embarrassed herself	6
16	unexpected	8	8	herself	reflexive_sent_comp	the mechanics said the author embarrassed themselves	6
17	expected	9	9	himself	reflexive_sent_comp	the mechanics said the author disguised himself	6
18	unexpected	9	9	himself	reflexive_sent_comp	the mechanics said the author disguised themselves	6
19	expected	10	10	herself	reflexive_sent_comp	the mechanics said the author disguised herself	6
20	unexpected	10	10	herself	reflexive_sent_comp	the mechanics said the author disguised themselves	6
21	expected	11	11	himself	reflexive_sent_comp	the mechanics said the author hated himself	6
22	unexpected	11	11	himself	reflexive_sent_comp	the mechanics said the author hated themselves	6
23	expected	12	12	herself	reflexive_sent_comp	the mechanics said the author hated herself	6
24	unexpected	12	12	herself	reflexive_sent_comp	the mechanics said the author hated themselves	6
25	expected	13	13	himself	reflexive_sent_comp	the mechanics said the author doubted himself	6
26	unexpected	13	13	himself	reflexive_sent_comp	the mechanics said the author doubted themselves	6
27	expected	14	14	herself	reflexive_sent_comp	the mechanics said the author doubted herself	6
28	unexpected	14	14	herself	reflexive_sent_comp	the mechanics said the author doubted themselves	6
29	expected	15	15	himself	reflexive_sent_comp	the mechanics said the pilot hurt himself	6
30	unexpected	15	15	himself	reflexive_sent_comp	the mechanics said the pilot hurt themselves	6
31	expected	16	16	herself	reflexive_sent_comp	the mechanics said the pilot hurt herself	6
32	unexpected	16	16	herself	reflexive_sent_comp	the mechanics said the pilot hurt themselves	6
33	expected	17	17	himself	reflexive_sent_comp	the mechanics said the pilot injured himself	6
34	unexpected	17	17	himself	reflexive_sent_comp	the mechanics said the pilot injured themselves	6
35	expected	18	18	herself	reflexive_sent_comp	the mechanics said the pilot injured herself	6
36	unexpected	18	18	herself	reflexive_sent_comp	the mechanics said the pilot injured themselves	6
37	expected	19	19	himself	reflexive_sent_comp	the mechanics said the pilot congratulated himself	6
38	unexpected	19	19	himself	reflexive_sent_comp	the mechanics said the pilot congratulated themselves	6
39	expected	20	20	herself	reflexive_sent_comp	the mechanics said the pilot congratulated herself	6
40	unexpected	20	20	herself	reflexive_sent_comp	the mechanics said the pilot congratulated themselves	6
41	expected	21	21	himself	reflexive_sent_comp	the mechanics said the pilot embarrassed himself	6
42	unexpected	21	21	himself	reflexive_sent_comp	the mechanics said the pilot embarrassed themselves	6
43	expected	22	22	herself	reflexive_sent_comp	the mechanics said the pilot embarrassed herself	6
44	unexpected	22	22	herself	reflexive_sent_comp	the mechanics said the pilot embarrassed themselves	6
45	expected	23	23	himself	reflexive_sent_comp	the mechanics said the pilot disguised himself	6
