	model	pairid	lemma	condition	comparison	surpsum	surpmean
0	bert-base-cased	1	swim	vp_coord	expected	18.29887008666992	18.29887008666992
1	bert-base-cased	1	swim	vp_coord	unexpected	11.896416664123535	11.896416664123535
2	bert-base-cased	2	smile	vp_coord	expected	12.659109115600586	12.659109115600586
3	bert-base-cased	2	smile	vp_coord	unexpected	15.464088439941406	15.464088439941406
4	bert-base-cased	3	are	vp_coord	expected	5.574499607086182	5.574499607086182
5	bert-base-cased	3	are	vp_coord	unexpected	10.7896146774292	10.7896146774292
6	bert-base-cased	4	are	vp_coord	expected	8.5363187789917	8.5363187789917
7	bert-base-cased	4	are	vp_coord	unexpected	13.591635704040527	13.591635704040527
8	bert-base-cased	5	are	vp_coord	expected	4.642481327056885	4.642481327056885
9	bert-base-cased	5	are	vp_coord	unexpected	11.60376262664795	11.60376262664795
10	bert-base-cased	6	are	vp_coord	expected	4.301172733306885	4.301172733306885
11	bert-base-cased	6	are	vp_coord	unexpected	10.34730625152588	10.34730625152588
12	bert-base-cased	7	laugh	vp_coord	expected	10.918011665344238	10.918011665344238
13	bert-base-cased	7	laugh	vp_coord	unexpected	14.614824295043944	14.614824295043944
14	bert-base-cased	8	smile	vp_coord	expected	11.38643741607666	11.38643741607666
15	bert-base-cased	8	smile	vp_coord	unexpected	15.921780586242676	15.921780586242676
16	bert-base-cased	9	are	vp_coord	expected	1.8491499423980715	1.8491499423980715
17	bert-base-cased	9	are	vp_coord	unexpected	9.33491039276123	9.33491039276123
18	bert-base-cased	10	are	vp_coord	expected	6.973372459411621	6.973372459411621
19	bert-base-cased	10	are	vp_coord	unexpected	12.39529037475586	12.39529037475586
20	bert-base-cased	11	are	vp_coord	expected	2.249877691268921	2.249877691268921
21	bert-base-cased	11	are	vp_coord	unexpected	10.994802474975586	10.994802474975586
22	bert-base-cased	12	are	vp_coord	expected	1.5659911632537842	1.5659911632537842
23	bert-base-cased	12	are	vp_coord	unexpected	8.404383659362793	8.404383659362793
24	bert-base-cased	13	laugh	vp_coord	expected	8.767477035522461	8.767477035522461
25	bert-base-cased	13	laugh	vp_coord	unexpected	12.319169998168944	12.319169998168944
