sentid	comparison	pairid	contextid	lemma	condition	sentence	ROI
1	expected	1	1	mögen	obj_rel_within	die Schriftsteller , die die Wächter mögen , schwimmen	6
2	unexpected	1	1	mögen	obj_rel_within	die Schriftsteller , die die Wächter mag , schwimmen	6
3	expected	2	2	vermeiden	obj_rel_within	die Schriftsteller , die die Wächter vermeiden , schwimmen	6
4	unexpected	2	2	vermeiden	obj_rel_within	die Schriftsteller , die die Wächter vermeidet , schwimmen	6
5	expected	3	3	verehren	obj_rel_within	die Schriftsteller , die die Wächter verehren , schwimmen	6
6	unexpected	3	3	verehren	obj_rel_within	die Schriftsteller , die die Wächter verehrt , schwimmen	6
7	expected	4	4	hassen	obj_rel_within	die Schriftsteller , die die Wächter hassen , schwimmen	6
8	unexpected	4	4	hassen	obj_rel_within	die Schriftsteller , die die Wächter hasst , schwimmen	6
9	expected	5	5	mögen	obj_rel_within	die Direktoren , die die Wächter mögen , schwimmen	6
10	unexpected	5	5	mögen	obj_rel_within	die Direktoren , die die Wächter mag , schwimmen	6
11	expected	6	6	vermeiden	obj_rel_within	die Direktoren , die die Wächter vermeiden , schwimmen	6
12	unexpected	6	6	vermeiden	obj_rel_within	die Direktoren , die die Wächter vermeidet , schwimmen	6
13	expected	7	7	verehren	obj_rel_within	die Direktoren , die die Wächter verehren , schwimmen	6
14	unexpected	7	7	verehren	obj_rel_within	die Direktoren , die die Wächter verehrt , schwimmen	6
15	expected	8	8	hassen	obj_rel_within	die Direktoren , die die Wächter hassen , schwimmen	6
16	unexpected	8	8	hassen	obj_rel_within	die Direktoren , die die Wächter hasst , schwimmen	6
17	expected	9	9	mögen	obj_rel_within	die Bauern , die die Wächter mögen , schwimmen	6
18	unexpected	9	9	mögen	obj_rel_within	die Bauern , die die Wächter mag , schwimmen	6
19	expected	10	10	vermeiden	obj_rel_within	die Bauern , die die Wächter vermeiden , schwimmen	6
20	unexpected	10	10	vermeiden	obj_rel_within	die Bauern , die die Wächter vermeidet , schwimmen	6
21	expected	11	11	verehren	obj_rel_within	die Bauern , die die Wächter verehren , schwimmen	6
22	unexpected	11	11	verehren	obj_rel_within	die Bauern , die die Wächter verehrt , schwimmen	6
23	expected	12	12	hassen	obj_rel_within	die Bauern , die die Wächter hassen , schwimmen	6
24	unexpected	12	12	hassen	obj_rel_within	die Bauern , die die Wächter hasst , schwimmen	6
25	expected	13	13	mögen	obj_rel_within	die Chirurgen , die die Wächter mögen , schwimmen	6
26	unexpected	13	13	mögen	obj_rel_within	die Chirurgen , die die Wächter mag , schwimmen	6
27	expected	14	14	vermeiden	obj_rel_within	die Chirurgen , die die Wächter vermeiden , schwimmen	6
28	unexpected	14	14	vermeiden	obj_rel_within	die Chirurgen , die die Wächter vermeidet , schwimmen	6
29	expected	15	15	verehren	obj_rel_within	die Chirurgen , die die Wächter verehren , schwimmen	6
30	unexpected	15	15	verehren	obj_rel_within	die Chirurgen , die die Wächter verehrt , schwimmen	6
31	expected	16	16	hassen	obj_rel_within	die Chirurgen , die die Wächter hassen , schwimmen	6
32	unexpected	16	16	hassen	obj_rel_within	die Chirurgen , die die Wächter hasst , schwimmen	6
