sentid	comparison	pairid	contextid	lemma	condition	sentence	ROI
1	expected	1	1	знает	long_vp_coord	автор знает много иностранных языков и знает много иностранных языков	6
2	unexpected	1	1	знает	long_vp_coord	автор знает много иностранных языков и знают много иностранных языков	6
3	expected	2	2	любит	long_vp_coord	автор знает много иностранных языков и любит смотреть телепередачи	6
4	unexpected	2	2	любит	long_vp_coord	автор знает много иностранных языков и любят смотреть телепередачи	6
5	expected	3	3	занимается	long_vp_coord	автор знает много иностранных языков и занимается спортом каждую неделю	6
6	unexpected	3	3	занимается	long_vp_coord	автор знает много иностранных языков и занимаются спортом каждую неделю	6
7	expected	4	4	предпочитает	long_vp_coord	автор знает много иностранных языков и предпочитает играть в теннис с коллегами	6
8	unexpected	4	4	предпочитает	long_vp_coord	автор знает много иностранных языков и предпочитают играть в теннис с коллегами	6
9	expected	5	5	пишет	long_vp_coord	автор знает много иностранных языков и пишет в дневнике каждый день	6
10	unexpected	5	5	пишет	long_vp_coord	автор знает много иностранных языков и пишут в дневнике каждый день	6
11	expected	6	6	знает	long_vp_coord	режиссёр знает много иностранных языков и знает много иностранных языков	6
12	unexpected	6	6	знает	long_vp_coord	режиссёр знает много иностранных языков и знают много иностранных языков	6
13	expected	7	7	любит	long_vp_coord	режиссёр знает много иностранных языков и любит смотреть телепередачи	6
14	unexpected	7	7	любит	long_vp_coord	режиссёр знает много иностранных языков и любят смотреть телепередачи	6
15	expected	8	8	занимается	long_vp_coord	режиссёр знает много иностранных языков и занимается спортом каждую неделю	6
16	unexpected	8	8	занимается	long_vp_coord	режиссёр знает много иностранных языков и занимаются спортом каждую неделю	6
17	expected	9	9	предпочитает	long_vp_coord	режиссёр знает много иностранных языков и предпочитает играть в теннис с коллегами	6
18	unexpected	9	9	предпочитает	long_vp_coord	режиссёр знает много иностранных языков и предпочитают играть в теннис с коллегами	6
19	expected	10	10	пишет	long_vp_coord	режиссёр знает много иностранных языков и пишет в дневнике каждый день	6
20	unexpected	10	10	пишет	long_vp_coord	режиссёр знает много иностранных языков и пишут в дневнике каждый день	6
21	expected	11	11	знает	long_vp_coord	фермер знает много иностранных языков и знает много иностранных языков	6
22	unexpected	11	11	знает	long_vp_coord	фермер знает много иностранных языков и знают много иностранных языков	6
23	expected	12	12	любит	long_vp_coord	фермер знает много иностранных языков и любит смотреть телепередачи	6
