sentid	comparison	pairid	contextid	lemma	condition	sentence	ROI
1	expected	1	1	говорит	vp_coord	автор говорит и говорит	3
2	unexpected	1	1	говорит	vp_coord	автор говорит и говорят	3
3	expected	2	2	ждал	vp_coord	автор говорит и ждал	3
4	unexpected	2	2	ждал	vp_coord	автор говорит и ждали	3
5	expected	3	3	читает	vp_coord	автор говорит и читает	3
6	unexpected	3	3	читает	vp_coord	автор говорит и читают	3
7	expected	4	4	старый	vp_coord	автор говорит и старый	3
8	unexpected	4	4	старый	vp_coord	автор говорит и старые	3
9	expected	5	5	маленький	vp_coord	автор говорит и маленький	3
10	unexpected	5	5	маленький	vp_coord	автор говорит и маленькие	3
11	expected	6	6	молодой	vp_coord	автор говорит и молодой	3
12	unexpected	6	6	молодой	vp_coord	автор говорит и молодые	3
13	expected	7	7	большой	vp_coord	автор говорит и большой	3
14	unexpected	7	7	большой	vp_coord	автор говорит и большие	3
15	expected	8	8	говорит	vp_coord	режиссёр говорит и говорит	3
16	unexpected	8	8	говорит	vp_coord	режиссёр говорит и говорят	3
17	expected	9	9	ждал	vp_coord	режиссёр говорит и ждал	3
18	unexpected	9	9	ждал	vp_coord	режиссёр говорит и ждали	3
19	expected	10	10	читает	vp_coord	режиссёр говорит и читает	3
20	unexpected	10	10	читает	vp_coord	режиссёр говорит и читают	3
21	expected	11	11	старый	vp_coord	режиссёр говорит и старый	3
22	unexpected	11	11	старый	vp_coord	режиссёр говорит и старые	3
23	expected	12	12	маленький	vp_coord	режиссёр говорит и маленький	3
24	unexpected	12	12	маленький	vp_coord	режиссёр говорит и маленькие	3
25	expected	13	13	молодой	vp_coord	режиссёр говорит и молодой	3
26	unexpected	13	13	молодой	vp_coord	режиссёр говорит и молодые	3
27	expected	14	14	большой	vp_coord	режиссёр говорит и большой	3
28	unexpected	14	14	большой	vp_coord	режиссёр говорит и большие	3
29	expected	15	15	говорит	vp_coord	фермер говорит и говорит	3
30	unexpected	15	15	говорит	vp_coord	фермер говорит и говорят	3
31	expected	16	16	ждал	vp_coord	фермер говорит и ждал	3
32	unexpected	16	16	ждал	vp_coord	фермер говорит и ждали	3
33	expected	17	17	читает	vp_coord	фермер говорит и читает	3
34	unexpected	17	17	читает	vp_coord	фермер говорит и читают	3
35	expected	18	18	старый	vp_coord	фермер говорит и старый	3
36	unexpected	18	18	старый	vp_coord	фермер говорит и старые	3
37	expected	19	19	маленький	vp_coord	фермер говорит и маленький	3
38	unexpected	19	19	маленький	vp_coord	фермер говорит и маленькие	3
39	expected	20	20	молодой	vp_coord	фермер говорит и молодой	3
40	unexpected	20	20	молодой	vp_coord	фермер говорит и молодые	3
41	expected	21	21	большой	vp_coord	фермер говорит и большой	3
42	unexpected	21	21	большой	vp_coord	фермер говорит и большие	3
43	expected	22	22	говорит	vp_coord	врач говорит и говорит	3
44	unexpected	22	22	говорит	vp_coord	врач говорит и говорят	3
45	expected	23	23	ждал	vp_coord	врач говорит и ждал	3
46	unexpected	23	23	ждал	vp_coord	врач говорит и ждали	3
47	expected	24	24	читает	vp_coord	врач говорит и читает	3
48	unexpected	24	24	читает	vp_coord	врач говорит и читают	3
49	expected	25	25	старый	vp_coord	врач говорит и старый	3
50	unexpected	25	25	старый	vp_coord	врач говорит и старые	3
51	expected	26	26	маленький	vp_coord	врач говорит и маленький	3
52	unexpected	26	26	маленький	vp_coord	врач говорит и маленькие	3
53	expected	27	27	молодой	vp_coord	врач говорит и молодой	3
54	unexpected	27	27	молодой	vp_coord	врач говорит и молодые	3
55	expected	28	28	большой	vp_coord	врач говорит и большой	3
56	unexpected	28	28	большой	vp_coord	врач говорит и большие	3
57	expected	29	29	говорит	vp_coord	сенатор говорит и говорит	3
58	unexpected	29	29	говорит	vp_coord	сенатор говорит и говорят	3
59	expected	30	30	ждал	vp_coord	сенатор говорит и ждал	3
60	unexpected	30	30	ждал	vp_coord	сенатор говорит и ждали	3
61	expected	31	31	читает	vp_coord	сенатор говорит и читает	3
62	unexpected	31	31	читает	vp_coord	сенатор говорит и читают	3
63	expected	32	32	старый	vp_coord	сенатор говорит и старый	3
64	unexpected	32	32	старый	vp_coord	сенатор говорит и старые	3
65	expected	33	33	маленький	vp_coord	сенатор говорит и маленький	3
66	unexpected	33	33	маленький	vp_coord	сенатор говорит и маленькие	3
67	expected	34	34	молодой	vp_coord	сенатор говорит и молодой	3
68	unexpected	34	34	молодой	vp_coord	сенатор говорит и молодые	3
