sentid	comparison	pairid	contextid	lemma	condition	sentence	ROI
1	expected	1	1	sind	prep	die Schriftsteller vor den Wächter sind alt	5
2	unexpected	1	1	sind	prep	die Schriftsteller vor den Wächter ist alt	5
3	expected	2	2	sind	prep	die Schriftsteller vor den Wächter sind jung	5
4	unexpected	2	2	sind	prep	die Schriftsteller vor den Wächter ist jung	5
5	expected	3	3	sind	prep	die Schriftsteller vor den Wächter sind klein	5
6	unexpected	3	3	sind	prep	die Schriftsteller vor den Wächter ist klein	5
7	expected	4	4	sind	prep	die Schriftsteller vor den Wächter sind groß	5
8	unexpected	4	4	sind	prep	die Schriftsteller vor den Wächter ist groß	5
9	expected	5	5	schwimmen	prep	die Schriftsteller vor den Wächter schwimmen	5
10	unexpected	5	5	schwimmen	prep	die Schriftsteller vor den Wächter schwimmt	5
11	expected	6	6	sprechen	prep	die Schriftsteller vor den Wächter sprechen	5
12	unexpected	6	6	sprechen	prep	die Schriftsteller vor den Wächter spricht	5
13	expected	7	7	lachen	prep	die Schriftsteller vor den Wächter lachen	5
14	unexpected	7	7	lachen	prep	die Schriftsteller vor den Wächter lacht	5
15	expected	8	8	sind	prep	die Direktoren vor den Wächter sind alt	5
16	unexpected	8	8	sind	prep	die Direktoren vor den Wächter ist alt	5
17	expected	9	9	sind	prep	die Direktoren vor den Wächter sind jung	5
18	unexpected	9	9	sind	prep	die Direktoren vor den Wächter ist jung	5
19	expected	10	10	sind	prep	die Direktoren vor den Wächter sind klein	5
20	unexpected	10	10	sind	prep	die Direktoren vor den Wächter ist klein	5
21	expected	11	11	sind	prep	die Direktoren vor den Wächter sind groß	5
22	unexpected	11	11	sind	prep	die Direktoren vor den Wächter ist groß	5
23	expected	12	12	schwimmen	prep	die Direktoren vor den Wächter schwimmen	5
24	unexpected	12	12	schwimmen	prep	die Direktoren vor den Wächter schwimmt	5
25	expected	13	13	sprechen	prep	die Direktoren vor den Wächter sprechen	5
26	unexpected	13	13	sprechen	prep	die Direktoren vor den Wächter spricht	5
27	expected	14	14	lachen	prep	die Direktoren vor den Wächter lachen	5
28	unexpected	14	14	lachen	prep	die Direktoren vor den Wächter lacht	5
29	expected	15	15	sind	prep	die Bauern vor den Wächter sind alt	5
30	unexpected	15	15	sind	prep	die Bauern vor den Wächter ist alt	5
31	expected	16	16	sind	prep	die Bauern vor den Wächter sind jung	5
32	unexpected	16	16	sind	prep	die Bauern vor den Wächter ist jung	5
33	expected	17	17	sind	prep	die Bauern vor den Wächter sind klein	5
34	unexpected	17	17	sind	prep	die Bauern vor den Wächter ist klein	5
35	expected	18	18	sind	prep	die Bauern vor den Wächter sind groß	5
36	unexpected	18	18	sind	prep	die Bauern vor den Wächter ist groß	5
37	expected	19	19	schwimmen	prep	die Bauern vor den Wächter schwimmen	5
38	unexpected	19	19	schwimmen	prep	die Bauern vor den Wächter schwimmt	5
39	expected	20	20	sprechen	prep	die Bauern vor den Wächter sprechen	5
40	unexpected	20	20	sprechen	prep	die Bauern vor den Wächter spricht	5
41	expected	21	21	lachen	prep	die Bauern vor den Wächter lachen	5
42	unexpected	21	21	lachen	prep	die Bauern vor den Wächter lacht	5
43	expected	22	22	sind	prep	die Chirurgen vor den Wächter sind alt	5
44	unexpected	22	22	sind	prep	die Chirurgen vor den Wächter ist alt	5
45	expected	23	23	sind	prep	die Chirurgen vor den Wächter sind jung	5
46	unexpected	23	23	sind	prep	die Chirurgen vor den Wächter ist jung	5
47	expected	24	24	sind	prep	die Chirurgen vor den Wächter sind klein	5
48	unexpected	24	24	sind	prep	die Chirurgen vor den Wächter ist klein	5
49	expected	25	25	sind	prep	die Chirurgen vor den Wächter sind groß	5
50	unexpected	25	25	sind	prep	die Chirurgen vor den Wächter ist groß	5
51	expected	26	26	schwimmen	prep	die Chirurgen vor den Wächter schwimmen	5
52	unexpected	26	26	schwimmen	prep	die Chirurgen vor den Wächter schwimmt	5
53	expected	27	27	sprechen	prep	die Chirurgen vor den Wächter sprechen	5
54	unexpected	27	27	sprechen	prep	die Chirurgen vor den Wächter spricht	5
55	expected	28	28	lachen	prep	die Chirurgen vor den Wächter lachen	5
56	unexpected	28	28	lachen	prep	die Chirurgen vor den Wächter lacht	5
57	expected	29	29	sind	prep	die Senatoren vor den Wächter sind alt	5
58	unexpected	29	29	sind	prep	die Senatoren vor den Wächter ist alt	5
59	expected	30	30	sind	prep	die Senatoren vor den Wächter sind jung	5
60	unexpected	30	30	sind	prep	die Senatoren vor den Wächter ist jung	5
61	expected	31	31	sind	prep	die Senatoren vor den Wächter sind klein	5
62	unexpected	31	31	sind	prep	die Senatoren vor den Wächter ist klein	5
63	expected	32	32	sind	prep	die Senatoren vor den Wächter sind groß	5
64	unexpected	32	32	sind	prep	die Senatoren vor den Wächter ist groß	5
